code,source,main_label,main_β_k25,main_SE_k25,main_mean,het_β,het_SE,het_mean,het_pval,het_n,m_beta,h_beta_num,match_beta,m_mean_num,h_mean_num,match_mean
absent_hh_share,census,(1) Migrant-HH share,0.0063 **,(0.0028),"Census, muni × year — mean .24",+0.0063,0.0028,0.237,0.024,1425,,0.0063,DIFF,,0.237,
log_remit_amount_intl_12m_rs,hh,"(2) log(intl remit, Rs)",0.497,(0.345),HRVS HH × year — mean 7.30 (log),+0.4971,0.3452,7.299,0.152,5646,0.497,0.4971,OK,,7.299,
log_n_migrants_international,hh,(3) log(# intl migrants),0.0368 *,(0.0190),HRVS HH × year — mean 0.53 (log),+0.0368,0.0190,0.533,0.055,5646,,0.0368,DIFF,,0.533,
amen_asset_count_mean,census,"(1) Durables per household (count, 0–8)",0.0614 **,(0.0252),"Census, muni × year — mean 2.89",+0.0614,0.0252,2.891,0.015,950,,0.0614,DIFF,,2.891,
housing_foundation_modern,census,(2) Modern housing,0.0210 ***,(0.0064),"Census, muni × year — mean .28",+0.0210,0.0064,0.277,0.001,950,,0.021,DIFF,,0.277,
amen_toilet_any,census,(3) Toilet adoption,0.0587 ***,(0.0078),"Census, muni × year — mean .66",+0.0587,0.0078,0.658,0.000,1425,,0.0587,DIFF,,0.658,
edu_literate,census,(1) Literate (pop 6+),0.0074 ***,(0.0021),"Census, muni × year — mean .64",+0.0074,0.0021,0.640,0.001,1425,,0.0074,DIFF,,0.64,
edu_literate_female,census,"(2) Literate, female",0.0104 ***,(0.0024),"Census, muni × year — mean .55",+0.0104,0.0024,0.552,0.000,1425,,0.0104,DIFF,,0.552,
edu_school_attend_6_16,census,(3) School attendance 6&ndash;16,0.0090 ***,(0.0024),"Census, muni × year — mean .84",+0.0090,0.0024,0.844,0.000,1425,,0.009,DIFF,,0.844,
hlt_spend_total,hh,(4) Health spending — total (Rs),"6,603 **","(2,657)","HRVS HH × year — mean Rs 12,401",+6603.0738,2656.8725,12400.877,0.014,11561,,6603.0738,DIFF,,12400.877,
ind_agri_forestry_fish,census,(1) Agriculture,-0.0056,(0.0039),Mean .72,-0.0056,0.0039,0.700,0.153,1425,-0.0056,-0.0056,OK,,0.7,
ind_manufacturing,census,(2) Manufacturing,0.0002,(0.0013),Mean .047,+0.0002,0.0013,0.048,0.845,1425,0.0002,0.0002,OK,,0.048,
ind_construction,census,(3) Construction,0.0078 ***,(0.0017),Mean .040,+0.0078,0.0017,0.040,0.000,1425,,0.0078,DIFF,,0.04,
ind_wholesale_retail,census,(not found),,,,-0.0007,0.0013,0.070,0.607,1425,,-0.0007,DIFF,,0.07,
ind_finance_real_estate_prof,census,(5) Finance / real-est. / prof.,-0.0021 ***,(0.0007),Mean .010,-0.0021,0.0007,0.013,0.002,1425,,-0.0021,DIFF,,0.013,
ind_public_admin_defence,census,(6) Public admin &amp; defence,0.0007,(0.0013),Mean .015,+0.0007,0.0013,0.017,0.611,1425,0.0007,0.0007,OK,,0.017,
occ_share_managers,census,(1) Managers,-0.0041 ***,(0.0011),Mean .021,-0.0041,0.0011,0.021,0.000,1425,,-0.0041,DIFF,,0.021,
occ_share_professionals,census,(2) Professionals,0.0004,(0.0005),Mean .034,+0.0004,0.0005,0.034,0.419,1425,0.0004,0.0004,OK,,0.034,
occ_share_technicians,census,(3) Technicians,-0.0009 **,(0.0004),Mean .014,-0.0009,0.0004,0.014,0.023,1425,,-0.0009,DIFF,,0.014,
