dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
census,absent_hh_share,full,0,0.00600224465466951,***,0.212706407126807,0.600224465466951,2.8218447839661,0.00207296488236959,0.00390148798852192,2142,714,714,3,0.135023030004202,0.26648414725708,,curated,urb_full,0
census,absent_hh_share,full,25,0.00633557221410122,**,0.237475060617869,0.633557221410122,2.66788950284597,0.00278834661245888,0.0235239474392341,1425,475,475,3,0.133108691850646,0.322787199451,,curated,urb_full,0
census,absent_hh_share,full,50,0.00761507401302318,**,0.251692561690551,0.761507401302318,3.02554591278931,0.00344913376818473,0.0278234956641399,1203,401,401,3,0.132236249443768,0.335366521179194,,curated,urb_full,0
census,absent_hh_share,full,100,0.0134115767898978,***,0.266911919398183,1.34115767898978,5.02472007250086,0.0038496980476613,0.000565046279072997,939,313,313,3,0.130636261406532,0.358430808496852,,curated,urb_full,0
census,absent_hh_share,rural,0,0.0122562645783186,***,0.218660744503597,1.22562645783186,5.60515084961534,0.00304192917318017,0.0000663069600174469,1281,427,427,3,0.138766733500363,0.278679086151189,,curated,urb_rural,0
census,absent_hh_share,rural,25,0.0126535269897106,***,0.252723893574769,1.26535269897106,5.0068582003573,0.00388829452206947,0.00128872119252252,777,259,259,3,0.134746298171041,0.325645508116981,,curated,urb_rural,0
census,absent_hh_share,rural,50,0.00993146194163178,**,0.273863837817476,0.993146194163178,3.62642326959972,0.00472394780926135,0.0367128574339341,633,211,211,3,0.129894148374356,0.320012425033841,,curated,urb_rural,0
census,absent_hh_share,rural,100,0.0157287716686768,**,0.295671705178465,1.57287716686768,5.31967428509367,0.00652191727503874,0.0170796390595942,456,152,152,3,0.12602043967211,0.361466307971002,,curated,urb_rural,0
census,absent_hh_share,urban,0,0.000644572064757914,"",0.20384751493207,0.0644572064757914,0.316203052547739,0.00289168394974214,0.823768220992845,861,287,287,3,0.128823418860027,0.295702483350296,,curated,urb_urban,0
census,absent_hh_share,urban,25,-0.00133844215597383,"",0.219190580359364,-0.133844215597383,-0.610629413809411,0.00428359345001341,0.754995475891479,648,216,216,3,0.128860869422313,0.365604254760717,,curated,urb_urban,0
census,absent_hh_share,urban,50,0.00461708458980342,"",0.227070776096965,0.461708458980342,2.03332400107348,0.00546377578329533,0.399159467567153,570,190,190,3,0.130556176299757,0.40567903844726,,curated,urb_urban,0
census,absent_hh_share,urban,100,0.00618023559938219,"",0.23975982350624,0.618023559938219,2.57767773974915,0.00602006923291841,0.306155839174113,483,161,161,3,0.129221841904483,0.43544733953807,,curated,urb_urban,0
