category,dataset,outcome,spec_level,spec_label,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
consumption,hh,food_exp_protein_7day,L1_raw,L1 raw treatment,0,-13.7352435639058,"",695.108696920205,-1373.52435639058,-1.97598499698854,35.5957160714323,0.699887532988926,16955,5906,281,3,585.704252253088,0.0000283019097011561,,category,L1_raw,0
consumption,hh,food_exp_protein_7day,L1_raw,L1 raw treatment,25,-25.5667634381313,"",723.57801152016,-2556.67634381313,-3.53338037241046,27.2952418269809,0.350114945799631,11844,4130,191,3,599.735388118167,0.000353863043949243,,category,L1_raw,0
consumption,hh,food_exp_protein_7day,L1_raw,L1 raw treatment,50,-12.5937222314664,"",737.136907003012,-1259.37222314664,-1.70846448086134,24.2814783698651,0.60468348149935,10509,3657,169,3,597.368740192583,0.000116505703483649,,category,L1_raw,0
consumption,hh,food_exp_protein_7day,L1_raw,L1 raw treatment,100,-25.4691543068558,"",748.538094684192,-2546.91543068558,-3.40251945595384,23.0466045812056,0.271119895090889,8506,2956,133,3,607.720180363834,0.00063892756575934,,category,L1_raw,0
consumption,hh,food_exp_protein_7day,L2_Cmig,L2 + year x mig_int,0,-4.70570724925172,"",695.108696920205,-470.570724925172,-0.676974302019402,36.9307691958112,0.898699690896329,16955,5906,281,3,585.704252253088,0.0000657650613811178,,category,L2_Cmig,0
consumption,hh,food_exp_protein_7day,L2_Cmig,L2 + year x mig_int,25,-51.203412838625,"",723.57801152016,-5120.3412838625,-7.07641913151176,64.3454299375649,0.427165556787114,11844,4130,191,3,599.735388118167,0.000475091113405268,,category,L2_Cmig,0
consumption,hh,food_exp_protein_7day,L2_Cmig,L2 + year x mig_int,50,-22.1705137055496,"",737.136907003012,-2217.05137055496,-3.00765210572464,61.9952553228308,0.721079352902505,10509,3657,169,3,597.368740192583,0.000135028370788826,,category,L2_Cmig,0
consumption,hh,food_exp_protein_7day,L2_Cmig,L2 + year x mig_int,100,-63.2099316577022,"",748.538094684192,-6320.99316577022,-8.44445087118385,54.4559863967538,0.247837411681923,8506,2956,133,3,607.720180363834,0.00100453940599787,,category,L2_Cmig,0
consumption,hh,food_exp_protein_7day,L3_Cfx,L3 + year x fx,0,27.34010759238,"",695.108696920205,2734.010759238,3.93321328211183,44.5355194275725,0.539783515606018,16955,5906,281,3,585.704252253088,0.00168969302993927,,category,L3_Cfx,0
consumption,hh,food_exp_protein_7day,L3_Cfx,L3 + year x fx,25,-37.9612578622999,"",723.57801152016,-3796.12578622999,-5.246325518177,67.7191727078087,0.575751916337304,11844,4130,191,3,599.735388118167,0.000887432096120189,,category,L3_Cfx,0
consumption,hh,food_exp_protein_7day,L3_Cfx,L3 + year x fx,50,-17.2264414643313,"",737.136907003012,-1722.64414643313,-2.33693921721666,65.8665496743525,0.79399993274334,10509,3657,169,3,597.368740192583,0.000440969333227459,,category,L3_Cfx,0
consumption,hh,food_exp_protein_7day,L3_Cfx,L3 + year x fx,100,-56.5569337674455,"",748.538094684192,-5655.69337674455,-7.55565203282096,63.0712795306498,0.371503751533773,8506,2956,133,3,607.720180363834,0.00164273373294743,,category,L3_Cfx,0
consumption,hh,food_exp_protein_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",0,116.502674188998,**,695.108696920205,11650.2674188998,16.7603534102194,50.6196385971141,0.0220959187363583,16955,5906,281,3,585.704252253088,0.00664274184821245,,category,L4_BlockA,0
consumption,hh,food_exp_protein_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",25,-13.0483788026529,"",723.57801152016,-1304.83788026529,-1.80331333939234,67.6317995691125,0.847217830383219,11844,4130,191,3,599.735388118167,0.00783961155581003,,category,L4_BlockA,0
consumption,hh,food_exp_protein_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",50,-14.3753698513201,"",737.136907003012,-1437.53698513201,-1.95016281436325,64.9267632724853,0.825042869953501,10509,3657,169,3,597.368740192583,0.0093424317117683,,category,L4_BlockA,0
consumption,hh,food_exp_protein_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",100,-19.6803863040584,"",748.538094684192,-1968.03863040584,-2.62917631631848,68.2840749236036,0.773635441677008,8506,2956,133,3,607.720180363834,0.0144912087932358,,category,L4_BlockA,0
consumption,hh,food_exp_total_7day,L1_raw,L1 raw treatment,0,-30.6777189967831,"",2216.5500839944,-3067.77189967831,-1.38403003921749,90.5341302515883,0.73497480271833,16955,5906,281,3,1166.30416693642,0.0000427631362465153,,category,L1_raw,0
consumption,hh,food_exp_total_7day,L1_raw,L1 raw treatment,25,52.5395585725867,"",2282.24373403456,5253.95585725867,2.302101120449,55.6288723981698,0.346131221004188,11844,4130,191,3,1191.31118969491,0.000466848372039141,,category,L1_raw,0
consumption,hh,food_exp_total_7day,L1_raw,L1 raw treatment,50,60.2927843118672,"",2307.51674887048,6029.27843118672,2.61288609676962,51.651477461524,0.244743233486152,10509,3657,169,3,1199.04132379575,0.000810788018375974,,category,L1_raw,0
consumption,hh,food_exp_total_7day,L1_raw,L1 raw treatment,100,49.695420301222,"",2333.38050366407,4969.5420301222,2.1297606722601,47.1304075402429,0.293615147379634,8506,2956,133,3,1228.35126164565,0.000726237288805387,,category,L1_raw,0
consumption,hh,food_exp_total_7day,L2_Cmig,L2 + year x mig_int,0,-59.5675160570941,"",2216.5500839944,-5956.75160570941,-2.68739770363089,112.552672263106,0.597057433573541,16955,5906,281,3,1166.30416693642,0.000205338721279591,,category,L2_Cmig,0
consumption,hh,food_exp_total_7day,L2_Cmig,L2 + year x mig_int,25,-61.1214337863912,"",2282.24373403456,-6112.14337863912,-2.6781291093016,114.425840070067,0.593856922256991,11844,4130,191,3,1191.31118969491,0.0011460141765296,,category,L2_Cmig,0
consumption,hh,food_exp_total_7day,L2_Cmig,L2 + year x mig_int,50,-26.2152684782673,"",2307.51674887048,-2621.52684782673,-1.1360813953398,115.56000373974,0.820812944401039,10509,3657,169,3,1199.04132379575,0.00124075298724824,,category,L2_Cmig,0
consumption,hh,food_exp_total_7day,L2_Cmig,L2 + year x mig_int,100,-51.3109116996012,"",2333.38050366407,-5131.09116996012,-2.19899461828144,106.003439137458,0.629152850534525,8506,2956,133,3,1228.35126164565,0.0015106439935717,,category,L2_Cmig,0
consumption,hh,food_exp_total_7day,L3_Cfx,L3 + year x fx,0,-35.0081850928808,"",2216.5500839944,-3500.81850928808,-1.57939968718385,121.53465186655,0.773520755754909,16955,5906,281,3,1166.30416693642,0.000836656026413585,,category,L3_Cfx,0
consumption,hh,food_exp_total_7day,L3_Cfx,L3 + year x fx,25,-16.8804143130247,"",2282.24373403456,-1688.04143130247,-0.73964117246949,119.901603203096,0.888188497535482,11844,4130,191,3,1191.31118969491,0.00252065140826574,,category,L3_Cfx,0
consumption,hh,food_exp_total_7day,L3_Cfx,L3 + year x fx,50,0.93243051523451,"",2307.51674887048,93.243051523451,0.0404083964153643,119.47255983631,0.993782186841418,10509,3657,169,3,1199.04132379575,0.00242772217371667,,category,L3_Cfx,0
consumption,hh,food_exp_total_7day,L3_Cfx,L3 + year x fx,100,0.111000107087116,"",2333.38050366407,11.1000107087116,0.0047570512787269,117.39445724375,0.999247002937085,8506,2956,133,3,1228.35126164565,0.00394630733717183,,category,L3_Cfx,0
consumption,hh,food_exp_total_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",0,158.371940643913,"",2216.5500839944,15837.1940643913,7.14497460659738,104.930704031571,0.132349636443522,16955,5906,281,3,1166.30416693642,0.0126576720362839,,category,L4_BlockA,0
consumption,hh,food_exp_total_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",25,1.56208306319217,"",2282.24373403456,156.208306319218,0.0684450586892714,119.927258900696,0.989621311068887,11844,4130,191,3,1191.31118969491,0.00769778474037197,,category,L4_BlockA,0
consumption,hh,food_exp_total_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",50,-2.51333426777463,"",2307.51674887048,-251.333426777463,-0.108919437703102,117.285783486319,0.982928753333071,10509,3657,169,3,1199.04132379575,0.00893704632836301,,category,L4_BlockA,0
consumption,hh,food_exp_total_7day,L4_BlockA,"L4 + Block A (saturated, MAIN)",100,29.7388015671995,"",2333.38050366407,2973.88015671995,1.27449430217237,130.310687705431,0.819832560570051,8506,2956,133,3,1228.35126164565,0.0142298801306037,,category,L4_BlockA,0
consumption,hh,food_insec_score,L1_raw,L1 raw treatment,0,-0.590737000510255,***,0.856159589360709,-59.0737000510255,-68.998468025261,0.186311500282429,0.00168960195412789,16955,5906,281,3,2.55168002787801,0.00233158269457101,,category,L1_raw,0
consumption,hh,food_insec_score,L1_raw,L1 raw treatment,25,-0.167257750147788,*,0.764754987895484,-16.7257750147788,-21.8707628972859,0.0984111289357919,0.0908461546163905,11844,4130,191,3,2.40131801963319,0.000772806197331111,,category,L1_raw,0
consumption,hh,food_insec_score,L1_raw,L1 raw treatment,50,-0.179942285331448,*,0.768072289156627,-17.9942285331448,-23.4277798941336,0.0976909510677077,0.0672447854017117,10509,3657,169,3,2.39921639362598,0.00119906515784785,,category,L1_raw,0
consumption,hh,food_insec_score,L1_raw,L1 raw treatment,100,-0.235067418032704,**,0.736652320576945,-23.5067418032704,-31.9102256880966,0.111570372992888,0.0370186911168615,8506,2956,133,3,2.33625652740969,0.00303212617501358,,category,L1_raw,0
consumption,hh,food_insec_score,L2_Cmig,L2 + year x mig_int,0,-0.3397738691218,**,0.856159589360709,-33.97738691218,-39.6858101391479,0.155335431740422,0.0295435895613743,16955,5906,281,3,2.55168002787801,0.00357983860898092,,category,L2_Cmig,0
consumption,hh,food_insec_score,L2_Cmig,L2 + year x mig_int,25,-0.00600241559215153,"",0.764754987895484,-0.600241559215153,-0.78488086866481,0.216901609253189,0.97795164510795,11844,4130,191,3,2.40131801963319,0.00113541219935565,,category,L2_Cmig,0
consumption,hh,food_insec_score,L2_Cmig,L2 + year x mig_int,50,-0.0533323665145367,"",0.768072289156627,-5.33323665145367,-6.94366497365732,0.216026213977094,0.805303180059928,10509,3657,169,3,2.39921639362598,0.00145476721907412,,category,L2_Cmig,0
consumption,hh,food_insec_score,L2_Cmig,L2 + year x mig_int,100,-0.239607568414264,"",0.736652320576945,-23.9607568414264,-32.5265476971013,0.246260975651597,0.332341725194328,8506,2956,133,3,2.33625652740969,0.00434486985711946,,category,L2_Cmig,0
consumption,hh,food_insec_score,L3_Cfx,L3 + year x fx,0,-0.378199530852684,**,0.856159589360709,-37.8199530852684,-44.1739525612373,0.158819005994743,0.017919049639296,16955,5906,281,3,2.55168002787801,0.00452675199292008,,category,L3_Cfx,0
consumption,hh,food_insec_score,L3_Cfx,L3 + year x fx,25,0.0248809378982152,"",0.764754987895484,2.48809378982152,3.25345218952866,0.222456162416855,0.911063206418688,11844,4130,191,3,2.40131801963319,0.00208584607049567,,category,L3_Cfx,0
