dataset,outcome,group,spec,threshold,lag,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,edu_literate,Education,edu_L0,25,0,0.0073898065653227,***,0.639975374673741,0.73898065653227,1.15470170537265,0.00213697537067042,0.000593116784382065,1425,475,475,3,0.148252524325314,0.217531397057224,
census,edu_literate,Education,edu_L1,25,1,0.00753433365826886,***,0.639975374673741,0.753433365826886,1.17728493258196,0.00219392794439516,0.000646535995338012,1425,475,475,3,0.148252524325314,0.218110550427494,
census,edu_literate,Education,edu_L2,25,2,0.00685733613659699,***,0.708729201140594,0.685733613659699,0.967553774496822,0.00197549924626735,0.000565558539669692,950,475,475,2,0.104403281393094,0.260594160406802,
census,edu_literate_female,Education,edu_L0,25,0,0.010373061789745,***,0.551756134292075,1.0373061789745,1.88000842130265,0.00237786687072709,0.0000158012543768889,1425,475,475,3,0.166478396021487,0.245802784456227,
census,edu_literate_female,Education,edu_L1,25,1,0.0104849799116505,***,0.551756134292075,1.04849799116505,1.90029240456079,0.00244388964234482,0.0000216407049023983,1425,475,475,3,0.166478396021487,0.245886235938,
census,edu_literate_female,Education,edu_L2,25,2,0.00964259915777784,***,0.630619442026183,0.964259915777784,1.52906785220515,0.00225603428907426,0.0000232068326635283,950,475,475,2,0.11696673580556,0.27148251494201,
census,edu_literate_male,Education,edu_L0,25,0,0.00543523610117409,**,0.735256205433682,0.543523610117409,0.739230224921146,0.00213976132379314,0.0113997865898832,1425,475,475,3,0.133852194615756,0.202693314418263,
census,edu_literate_male,Education,edu_L1,25,1,0.00557819318752235,**,0.735256205433682,0.557819318752235,0.758673391166025,0.00220502880796848,0.0117369885411738,1425,475,475,3,0.133852194615756,0.203474535867364,
census,edu_literate_male,Education,edu_L2,25,2,0.00514212667201667,***,0.794989200574614,0.514212667201667,0.646817172899955,0.00193714446723168,0.00821001545881396,950,475,475,2,0.0934516000636875,0.252148531661166,
census,edu_school_attend_6_16,Education,edu_L0,25,0,0.00901516078125636,***,0.84414139932467,0.901516078125636,1.06796809023567,0.00242516267579084,0.000225378181601384,1425,475,475,3,0.11627659826249,0.290588145853301,
census,edu_school_attend_6_16,Education,edu_L1,25,1,0.00944023080960652,***,0.84414139932467,0.944023080960652,1.11832340140632,0.00251327194887864,0.000194017219092271,1425,475,475,3,0.11627659826249,0.290858674317419,
census,edu_school_attend_6_16,Education,edu_L2,25,2,0.00396415872935938,"",0.894664459674292,0.396415872935938,0.443088879466897,0.00244639634388839,0.10580982865903,950,475,475,2,0.0756413693279077,0.248107087055673,
census,edu_attain_primary_plus,Education,edu_L0,25,0,-0.00628253207064968,*,0.846504566624782,-0.628253207064968,-0.742173441036431,0.00323405853385024,0.0526544765875654,1425,475,475,3,0.117398775426027,0.0870882368108346,
census,edu_attain_primary_plus,Education,edu_L1,25,1,-0.00599917164969611,*,0.846504566624782,-0.599917164969611,-0.708699265925552,0.00343127118682702,0.0810453394766488,1425,475,475,3,0.117398775426027,0.0854349473872764,
census,edu_attain_primary_plus,Education,edu_L2,25,2,-0.0127967794050095,***,0.897403872356016,-1.27967794050095,-1.42597773412914,0.00297347638731382,0.0000204218017054692,950,475,475,2,0.0745981274152518,0.170135328593286,
