dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,capital_intensity_aggregate,full,0,-7362410.88921906,"",50536506.593224,-736241088.921906,-14.5684998539377,10067165.9928314,0.466857027593288,714,714,903400704.488463
nec_cs,capital_intensity_aggregate,full,25,-4418498.39977424,"",20351670.2799153,-441849839.977424,-21.7107408827018,11768387.3601034,0.708715801031068,469,475,143012521.16725
nec_cs,capital_intensity_aggregate,full,50,-9914073.54761302,"",22976666.8302364,-991407354.761302,-43.1484410722554,20565385.2243598,0.63163099128023,399,401,154467371.737671
nec_cs,capital_intensity_aggregate,full,100,14834727.9646498,"",15075808.1043509,1483472796.46498,98.4008808149296,13404610.4574596,0.274060900247558,305,313,90748489.4509884
nec_cs,capital_intensity_aggregate,receiver,0,-6927274.59413974,"",62622363.9466136,-692727459.413974,-11.0619819463304,9854541.96218264,0.484450420090793,559,564,1015949714.72857
nec_cs,capital_intensity_aggregate,receiver,25,-8934769.39134533,"",26363302.1427954,-893476939.134534,-33.8909342348339,15343501.3108271,0.562919369764326,327,338,165625281.510451
nec_cs,capital_intensity_aggregate,receiver,50,-18092955.1095966,"",31581347.1971746,-1809295510.95966,-57.2900041174155,29211335.0252393,0.538477417339809,262,268,184377136.040237
nec_cs,capital_intensity_aggregate,receiver,100,21013541.7381819,"",21352660.4870239,2101354173.81819,98.4118196931566,21674820.4783281,0.338274717442975,174,186,107651186.059542
nec_cs,capital_intensity_aggregate,sender,0,4428169.50887603,"",5093682.94447905,442816950.887603,86.9345335613329,5657611.38628745,0.440377557929909,137,150,52326268.1307141
nec_cs,capital_intensity_aggregate,sender,25,2270066.33807651,"",5520052.9831745,227006633.807651,41.123995457939,2807404.12623407,0.42608284402117,131,137,54750578.954351
nec_cs,capital_intensity_aggregate,sender,50,-4596707.53703734,"",5637912.40663169,-459670753.703734,-81.5320850254854,5432670.93587164,0.405510555514798,127,133,55568327.2867197
nec_cs,capital_intensity_aggregate,sender,100,-9241323.15872725,"",5882937.68563293,-924132315.872725,-157.086878232554,9053875.70425751,0.317171303991942,122,127,56864168.4458347
