dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,formality_index,full,0,-0.00037955978519314,"",0.629904179737776,-0.037955978519314,-0.0602567497410713,0.00482178562933169,0.937466828474562,714,714,0.0891411507236176
nec_cs,formality_index,full,25,-0.00996677366221406,*,0.637840915761833,-0.996677366221406,-1.56257985587359,0.00573502497760645,0.08763256305204,469,475,0.08178763931886
nec_cs,formality_index,full,50,-0.0098770332154198,**,0.639558524518048,-0.98770332154198,-1.5443517421432,0.00475479876859528,0.0423744067306125,399,401,0.0797106703513384
nec_cs,formality_index,full,100,-0.00407681884646328,"",0.642664378392245,-0.407681884646328,-0.634362037719014,0.00447317695105388,0.366739704752657,305,313,0.0811648156339859
nec_cs,formality_index,rural,0,0.0000158123964245037,"",0.603020386762316,0.00158123964245037,0.00262219931060743,0.00764705821539434,0.998355954284557,425,427,0.085535990063367
nec_cs,formality_index,rural,25,-0.0214069113465605,*,0.608249512601908,-2.14069113465605,-3.51942926431429,0.0108346109742583,0.0543296184050979,252,259,0.0786002888277439
nec_cs,formality_index,rural,50,-0.0173645990570306,*,0.608489497921046,-1.73645990570306,-2.85372206362775,0.00926011671976557,0.0678991939736018,206,211,0.0742742751241199
nec_cs,formality_index,rural,100,0.00318917654674837,"",0.610359049900902,0.318917654674837,0.522508275623367,0.00833498495604787,0.704379163826913,147,152,0.0780769471613889
nec_cs,formality_index,urban,0,-0.00685091358201853,"",0.669902018067118,-0.685091358201853,-1.02267397279764,0.0052940259357867,0.200595471713018,277,287,0.0789142402177316
nec_cs,formality_index,urban,25,-0.00207986120359687,"",0.673323200106373,-0.207986120359687,-0.308894926428837,0.00597876811736115,0.729487642779776,204,216,0.0708101912880844
nec_cs,formality_index,urban,50,0.00167895155109181,"",0.674061496159983,0.167895155109181,0.249079877823688,0.00556648541772504,0.764467962924797,176,190,0.0710151130594469
nec_cs,formality_index,urban,100,0.00584766355446672,"",0.673163818955501,0.584766355446672,0.868683578915474,0.00619347906856085,0.351947418453843,142,161,0.0718712517974001
nec_cs,log_cap_total,full,0,-0.251311559797036,**,21.0872875625999,-25.1311559797036,-1.19176806903681,0.101057178963571,0.0151124539742119,714,714,1.87299380321112
nec_cs,log_cap_total,full,25,-0.28934558066054,*,21.473321415029,-28.934558066054,-1.34746542031467,0.151931107372813,0.0619022611160086,469,475,1.93043472950286
nec_cs,log_cap_total,full,50,-0.238472450059333,"",21.5556252064502,-23.8472450059333,-1.10631191522096,0.175701162735648,0.180143289608352,399,401,1.9895667889614
nec_cs,log_cap_total,full,100,-0.0920111792374908,"",21.6018485069556,-9.20111792374908,-0.42594123001957,0.186024883079512,0.62317430306924,305,313,2.01205469565624
nec_cs,log_cap_total,rural,0,-0.13266920365467,*,20.4284743648855,-13.266920365467,-0.649432753934455,0.0732358869661088,0.0742877681836626,425,427,1.40143806705899
nec_cs,log_cap_total,rural,25,-0.0938380327416091,"",20.6210691082522,-9.38380327416091,-0.45505900906009,0.128885358291396,0.4703402639929,252,259,1.30048963830229
nec_cs,log_cap_total,rural,50,-0.193866233964355,"",20.6584252130807,-19.3866233964355,-0.9384366521878,0.122829386676305,0.122173387855531,206,211,1.35250259206958
nec_cs,log_cap_total,rural,100,-0.0688100598335469,"",20.5943911826904,-6.88100598335469,-0.334120388522977,0.103753358144905,0.511669132329673,147,152,1.30589629216026
nec_cs,log_cap_total,urban,0,-0.322115036349194,*,22.0674730518823,-32.2115036349194,-1.45968247289518,0.168299155328313,0.0604007094301812,277,287,2.05137783746982
nec_cs,log_cap_total,urban,25,-0.494020374597448,**,22.4952350606548,-49.4020374597448,-2.19611119094956,0.229741198250013,0.0367043011254262,204,216,2.06449346507874
nec_cs,log_cap_total,urban,50,-0.472404761939558,*,22.5519894096132,-47.2404761939558,-2.09473653680498,0.242958707890983,0.0587318579080452,176,190,2.10910848743382
nec_cs,log_cap_total,urban,100,-0.17040466444916,"",22.5529883410444,-17.040466444916,-0.755574657656513,0.299683905888392,0.573467262386371,142,161,2.10007827337854
nec_cs,log_emp_total,full,0,-0.130366356708506,*,7.66338720887844,-13.0366356708506,-1.70115841931449,0.0694938728280034,0.0645547073802665,714,714,0.987275437053452
nec_cs,log_emp_total,full,25,-0.141540266659441,"",7.91875233568091,-14.1540266659441,-1.78740615515501,0.0891056149239398,0.117715584800689,469,475,1.02206066431843
nec_cs,log_emp_total,full,50,-0.131932461895996,"",7.96444073649083,-13.1932461895996,-1.65651884747561,0.0862373344924204,0.13167699258437,399,401,1.04597720295722
nec_cs,log_emp_total,full,100,-0.0999425978725071,"",8.00656631685347,-9.99425978725071,-1.24825791628219,0.0859755703301772,0.250920057014167,305,313,1.10740814933891
nec_cs,log_emp_total,rural,0,-0.0432872171070066,"",7.17938418973765,-4.32872171070066,-0.602937744561465,0.0474764966503316,0.364979953142768,425,427,0.649259788635695
nec_cs,log_emp_total,rural,25,-0.0402384102465031,"",7.32368245881855,-4.02384102465031,-0.549428657956783,0.0579446474248497,0.490983443729685,252,259,0.629161436550105
nec_cs,log_emp_total,rural,50,-0.0466984713478839,"",7.33462085101166,-4.66984713478839,-0.636685553302225,0.0572005781915445,0.418990491009416,206,211,0.614063546737296
nec_cs,log_emp_total,rural,100,-0.00778980503658127,"",7.26194725289996,-0.778980503658127,-0.10726881875203,0.0406706658891309,0.849246717959058,147,152,0.567930296887404
nec_cs,log_emp_total,urban,0,-0.184327723785356,**,8.38348926174644,-18.4327723785356,-2.19869934856882,0.0849331180248091,0.0339554682009709,277,287,0.965385850971395
nec_cs,log_emp_total,urban,25,-0.292614693291201,***,8.63228519728901,-29.2614693291201,-3.38977091932849,0.0853165911608452,0.00126748048769123,204,216,0.943350050376084
nec_cs,log_emp_total,urban,50,-0.174375241419207,**,8.66387229352295,-17.4375241419207,-2.01267095718353,0.0785772332322112,0.0320689614171306,176,190,0.980753673582756
nec_cs,log_emp_total,urban,100,-0.118302714244607,"",8.70956071263567,-11.8302714244607,-1.35830862368266,0.0982139820926631,0.236948911020693,142,161,1.03100036455762
nec_cs,log_n_firms,full,0,-0.0841442566640159,"",6.59868754529771,-8.41442566640159,-1.27516655526413,0.0596079696691432,0.162194975511842,714,714,0.885891705163643
nec_cs,log_n_firms,full,25,-0.129159339252362,*,6.8165054606492,-12.9159339252362,-1.89480284286401,0.0742076617537532,0.0871654053837809,469,475,0.923049465973341
nec_cs,log_n_firms,full,50,-0.133692139106299,*,6.87073482890883,-13.3692139106299,-1.94582009690995,0.0710224807341812,0.0649822457894296,399,401,0.940699511862647
nec_cs,log_n_firms,full,100,-0.0917519146498612,"",6.93322155125042,-9.17519146498612,-1.32336625869562,0.0698007172358991,0.195062172193321,305,313,0.992257812338059
nec_cs,log_n_firms,rural,0,-0.00642853654293349,"",6.14056912597355,-0.642853654293349,-0.104689588392416,0.0331815877307681,0.846934195656209,425,427,0.569701843640389
nec_cs,log_n_firms,rural,25,-0.0248697489033017,"",6.24775037302873,-2.48697489033017,-0.398059260028431,0.0562302100806595,0.6604018825796,252,259,0.552271611971914
nec_cs,log_n_firms,rural,50,-0.0693873380814779,*,6.27141559994596,-6.93873380814779,-1.10640631250902,0.0369500004018513,0.0675242158025006,206,211,0.533895268768258
nec_cs,log_n_firms,rural,100,-0.0155520361250545,"",6.24370961276289,-1.55520361250545,-0.249083270837328,0.0252752525822201,0.542449024467144,147,152,0.530252163849374
nec_cs,log_n_firms,urban,0,-0.129152968513359,*,7.28027836429218,-12.9152968513359,-1.77401140520697,0.0722305941295007,0.0788151875706535,277,287,0.832799401618322
nec_cs,log_n_firms,urban,25,-0.25552535356212,***,7.49848494071264,-25.552535356212,-3.40769309510456,0.0862120706084721,0.00475685140057515,204,216,0.809604980548653
nec_cs,log_n_firms,urban,50,-0.160739479933401,**,7.53629460423076,-16.0739479933401,-2.13287150217249,0.0755537012197596,0.0394409490129223,176,190,0.842504970369719
nec_cs,log_n_firms,urban,100,-0.0825036884377205,"",7.58418934410821,-8.25036884377205,-1.08783793091629,0.0795221683967409,0.307048943908773,142,161,0.881196755216365
nec_cs,log_rev_total,full,0,-0.152504931331305,"",20.8847006805088,-15.2504931331305,-0.730223208195814,0.118487487689714,0.202018513243976,714,714,1.64033566964371
nec_cs,log_rev_total,full,25,-0.195961288719558,"",21.2510410088225,-19.5961288719558,-0.922125596756432,0.13683991699907,0.157591332537612,469,475,1.68678805152463
nec_cs,log_rev_total,full,50,-0.120293726349087,"",21.3356707574882,-12.0293726349087,-0.563815066872774,0.134154074241442,0.373726577381462,399,401,1.72297248123115
nec_cs,log_rev_total,full,100,-0.0539042417297494,"",21.423459615841,-5.39042417297494,-0.251613150706487,0.144468927679976,0.710736745422058,305,313,1.76866682788641
nec_cs,log_rev_total,rural,0,-0.048066345528749,"",20.1207869802697,-4.8066345528749,-0.238888993635699,0.0906439614281509,0.597574969088795,425,427,1.14176514299519
nec_cs,log_rev_total,rural,25,0.0107329177463904,"",20.3032706794029,1.07329177463904,0.0528629988530797,0.104915510848989,0.918972605299008,252,259,1.13572523722647
nec_cs,log_rev_total,rural,50,0.16410271614576,"",20.3332514221324,16.410271614576,0.807065789621509,0.104949721573369,0.125590714950544,206,211,1.12980424035269
nec_cs,log_rev_total,rural,100,0.0450811773316808,"",20.2686304027418,4.50811773316808,0.222418468519622,0.0672322656415924,0.507050156067121,147,152,1.01579011338301
