dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,fe_struct,sample
census,absent_hh_share,first_stage,first_stage_pref,0,0.00600224465466951,***,0.212706407126807,0.600224465466951,2.8218447839661,0.00207296488236959,0.00390148798852192,2142,714,714,3,0.135023030004202,0.26648414725708,,lgcode + year,census (muni)
census,absent_hh_share,first_stage,first_stage_pref,25,0.00633557221410122,**,0.237475060617869,0.633557221410122,2.66788950284597,0.00278834661245888,0.0235239474392341,1425,475,475,3,0.133108691850646,0.322787199451,,lgcode + year,census (muni)
census,absent_hh_share,first_stage,first_stage_pref,50,0.00761507401302318,**,0.251692561690551,0.761507401302318,3.02554591278931,0.00344913376818473,0.0278234956641399,1203,401,401,3,0.132236249443768,0.335366521179194,,lgcode + year,census (muni)
census,absent_hh_share,first_stage,first_stage_pref,100,0.0134115767898978,***,0.266911919398183,1.34115767898978,5.02472007250086,0.0038496980476613,0.000565046279072997,939,313,313,3,0.130636261406532,0.358430808496852,,lgcode + year,census (muni)
hh,remittance_any,full sample,first_stage_pref,0,0.023397378805283,"",0.689629024731685,2.3397378805283,3.39274855990672,0.0477537819864646,0.624546825130074,17144,5906,281,3,0.462658965751795,0.0113543997038079,,lgcode + year,HH full
hh,remittance_any,full sample,first_stage_pref,25,0.0111093303650273,"",0.712496869521663,1.11093303650273,1.55921111239205,0.0437304066762093,0.799738344818196,11979,4130,191,3,0.452617037041383,0.0108805428675171,,lgcode + year,HH full
hh,remittance_any,full sample,first_stage_pref,50,-0.0327568834477027,"",0.711408132530121,-3.27568834477027,-4.60451349230476,0.0424457441680003,0.441355332296911,10624,3657,169,3,0.453129041347315,0.013035636413102,,lgcode + year,HH full
hh,remittance_any,full sample,first_stage_pref,100,-0.02676358196254,"",0.72490403629173,-2.676358196254,-3.69201723575027,0.0378869501074202,0.481180494718331,8597,2956,133,3,0.446588595252631,0.0211463595847496,,lgcode + year,HH full
hh,remittance_any,full sample,first_stage_pref,0,0.0252635217354286,"",0.689629024731685,2.52635217354286,3.66334954438119,0.0480205327462995,0.599236337732108,16955,5906,281,3,0.462658965751795,0.0171984162407074,,hhid + year,HH full
hh,remittance_any,full sample,first_stage_pref,25,0.00614971660303627,"",0.712496869521663,0.614971660303627,0.863121911983263,0.0444859056753448,0.890197408891909,11844,4130,191,3,0.452617037041383,0.0171070722748222,,hhid + year,HH full
hh,remittance_any,full sample,first_stage_pref,50,-0.0340525028672715,"",0.711408132530121,-3.40525028672715,-4.78663390396787,0.0427962211975146,0.427335362321565,10509,3657,169,3,0.453129041347315,0.0207013763331508,,hhid + year,HH full
hh,remittance_any,full sample,first_stage_pref,100,-0.027459460127743,"",0.72490403629173,-2.7459460127743,-3.78801313732681,0.038647043283726,0.478635797517236,8506,2956,133,3,0.446588595252631,0.0328050612946088,,hhid + year,HH full
hh,remittance_amt,full sample,first_stage_pref,0,362.161311088852,"",829.93117125525,36216.1311088852,43.6375115952197,338.109723366552,0.285030934488912,17144,5906,281,3,6573.06020047301,0.00573272720040363,,lgcode + year,HH full
hh,remittance_amt,full sample,first_stage_pref,25,553.708753340433,"",980.933800818098,55370.8753340433,56.4471071216671,389.136133540688,0.156399790477539,11979,4130,191,3,6639.37196534542,0.00886964076183883,,lgcode + year,HH full
hh,remittance_amt,full sample,first_stage_pref,50,336.167499597643,"",1074.65926204819,33616.7499597643,31.2813104087468,369.430297868502,0.36414626998912,10624,3657,169,3,7036.63264093826,0.00908271222481216,,lgcode + year,HH full
hh,remittance_amt,full sample,first_stage_pref,100,165.801776661151,"",1202.68523903687,16580.1776661151,13.7859658769844,397.156319804494,0.677011194094357,8597,2956,133,3,7684.03564975541,0.00981371367671347,,lgcode + year,HH full
hh,remittance_amt,full sample,first_stage_pref,0,418.954773833427,"",829.93117125525,41895.4773833427,50.480664944753,350.145837563046,0.23250776834299,16955,5906,281,3,6573.06020047301,0.0074449460312902,,hhid + year,HH full
hh,remittance_amt,full sample,first_stage_pref,25,628.81762601799,"",980.933800818098,62881.762601799,64.1039818888447,448.272489005112,0.162321056127124,11844,4130,191,3,6639.37196534542,0.0114886865669209,,hhid + year,HH full
hh,remittance_amt,full sample,first_stage_pref,50,408.306834274933,"",1074.65926204819,40830.6834274932,37.9940739073649,428.909613151251,0.342482448417334,10509,3657,169,3,7036.63264093826,0.0117784458327438,,hhid + year,HH full
hh,remittance_amt,full sample,first_stage_pref,100,249.193438783935,"",1202.68523903687,24919.3438783935,20.7197553188141,442.327236410472,0.5741394226302,8506,2956,133,3,7684.03564975541,0.0126061676093029,,hhid + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,0,0.116029983681642,"",2.16146626078706,11.6029983681642,5.36811449647109,0.312859078954774,0.711014942223304,17144,5906,281,3,3.17364349626498,0.00626042570300445,,lgcode + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,25,-0.162937375431599,"",2.40442817014052,-16.2937375431599,-6.77655408695686,0.369516651418008,0.659752460549997,11979,4130,191,3,3.29009929189048,0.0112854908049507,,lgcode + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,50,-0.486903124171912,"",2.47232647599749,-48.6903124171912,-19.6941273290157,0.345262551420207,0.160317549450764,10624,3657,169,3,3.33187783069289,0.0148827116222771,,lgcode + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,100,-0.590747242656214,"",2.5725081315054,-59.0747242656214,-22.9638629873064,0.400170022938572,0.142260908000144,8597,2956,133,3,3.37645743168436,0.017992421583384,,lgcode + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,0,0.129404917139513,"",2.16146626078706,12.9404917139513,5.98690432911927,0.31413425015982,0.680697521090448,16955,5906,281,3,3.17364349626498,0.0093785580148007,,hhid + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,25,-0.141536121186088,"",2.40442817014052,-14.1536121186088,-5.88647741462025,0.372160162566425,0.704140349170113,11844,4130,191,3,3.29009929189048,0.01691450075129,,hhid + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,50,-0.468735483627033,"",2.47232647599749,-46.8735483627033,-18.9592874637609,0.350283660719132,0.182652733780804,10509,3657,169,3,3.33187783069289,0.0223522184725368,,hhid + year,HH full
hh,log_remittance_amt,full sample,first_stage_pref,100,-0.582140886628814,"",2.5725081315054,-58.2140886628814,-22.6293118182741,0.406817918428278,0.154804354662476,8506,2956,133,3,3.37645743168436,0.0272909580926153,,hhid + year,HH full
hh,remit_received,migrant HHs only,first_stage_pref,0,-0.0727272470028243,"",0.707426221577165,-7.27272470028243,-10.2805416006044,0.0483813560898998,0.133912400934486,8268,3294,281,3,0.454971865958741,0.00554861561481324,,lgcode + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,25,0.0394431443033044,"",0.722495338192914,3.94431443033044,5.45929395225699,0.0396734906007238,0.321392907007201,5899,2330,191,3,0.447805558640017,0.0065614217102663,,lgcode + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,50,0.0399066842620627,"",0.722326103216156,3.99066842620627,5.52474624471942,0.037252372541775,0.28559260733433,5348,2111,169,3,0.447893530639651,0.00632051620105567,,lgcode + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,100,0.0732797900150503,**,0.733986779120128,7.32797900150503,9.98380244708154,0.0347713774068439,0.0369678478727661,4387,1727,133,3,0.441921603775529,0.00536867389597351,,lgcode + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,0,-0.0780072874190661,*,0.707426221577165,-7.80072874190661,-11.0269148979456,0.0463168830329744,0.0932557331370707,7899,3294,281,3,0.454971865958741,0.00896865448441808,,hhid + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,25,0.0361713420891883,"",0.722495338192914,3.61713420891883,5.0064464332267,0.0388888161826528,0.353488182809115,5646,2330,191,3,0.447805558640017,0.00715045015761429,,hhid + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,50,0.042287195541593,"",0.722326103216156,4.2287195541593,5.85430809620604,0.0361035570687469,0.243146781861963,5124,2111,169,3,0.447893530639651,0.00838660153072501,,hhid + year,HH migrant-only
hh,remit_received,migrant HHs only,first_stage_pref,100,0.0751250183930108,**,0.733986779120128,7.51250183930108,10.2352004872714,0.0349421546602241,0.0333795954442145,4213,1727,133,3,0.441921603775529,0.00761574647755536,,hhid + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,0,565.488503676796,"",133741.056603774,56548.8503676796,0.422823415663698,17476.5964074827,0.974210484982345,8268,3294,281,3,221758.07530586,0.00329335802117559,,lgcode + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,25,5602.86244985026,"",154286.333785387,560286.244985026,3.63147033984478,17893.054029385,0.754524911615405,5899,2330,191,3,241432.929931734,0.00397716262740055,,lgcode + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,50,13775.4094137689,"",158458.23092745,1377540.94137689,8.69340098847628,16769.8079296807,0.412559244129537,5348,2111,169,3,247887.207327856,0.00386319375436472,,lgcode + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,100,16368.3845644494,"",166060.432869843,1636838.45644494,9.85688419665802,18076.8630640204,0.366856654128506,4387,1727,133,3,258019.024332327,0.00504434575667168,,lgcode + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,0,2522.30339967712,"",133741.056603774,252230.339967712,1.88596042511447,19092.1961259452,0.894990787508244,7899,3294,281,3,221758.07530586,0.0049884111752232,,hhid + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,25,8548.70947009466,"",154286.333785387,854870.947009466,5.54080796422704,18271.0045883317,0.640403830490393,5646,2330,191,3,241432.929931734,0.00701170384685845,,hhid + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,50,16647.5945272328,"",158458.23092745,1664759.45272328,10.5059828257548,16948.5009736739,0.327391178160755,5124,2111,169,3,247887.207327856,0.00660615458732905,,hhid + year,HH migrant-only
hh,remit_amount_12m_rs,migrant HHs only,first_stage_pref,100,21773.5038247677,"",166060.432869843,2177350.38247677,13.1117951750937,17587.0994074257,0.21789927189929,4213,1727,133,3,258019.024332327,0.00990637495981916,,hhid + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,0,-0.695684280002161,"",8.25532975227472,-69.5684280002161,-8.42709256781012,0.538926681042209,0.19781356483141,8268,3294,281,3,5.3796188551411,0.00617628544984306,,lgcode + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,25,0.51760774677983,"",8.54683800490676,51.760774677983,6.05613147789475,0.459277423694658,0.261161865674534,5899,2330,191,3,5.36350484612935,0.00702043782903827,,lgcode + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,50,0.565987100234865,"",8.56497871284811,56.5987100234865,6.6081553639572,0.424272240791762,0.184003295307425,5348,2111,169,3,5.37656037423716,0.00667106624197289,,lgcode + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,100,0.932990290426785,**,8.72554665183375,93.2990290426785,10.6926285269555,0.396758792113952,0.0201760536469845,4387,1727,133,3,5.32123777836071,0.00562268499475294,,lgcode + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,0,-0.766716291302163,"",8.25532975227472,-76.6716291302163,-9.28753077478095,0.52551660409593,0.145692501217474,7899,3294,281,3,5.3796188551411,0.010055383674791,,hhid + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,25,0.47915995931609,"",8.54683800490676,47.915995931609,5.60628338855847,0.44197175791783,0.279675812095237,5646,2330,191,3,5.36350484612935,0.00806862725475721,,hhid + year,HH migrant-only
