dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,amen_water_piped,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.00783770762739623,**,0.564873935368685,0.783770762739623,1.38751447653195,0.00343398654603172,0.0227598121182124,2142,714,714,3,0.324800567674477,0.00629224583125121,,FALSE,TRUE,none,log_int
census,amen_water_traditional,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.00448469225066093,"",0.419204984125423,-0.448469225066093,-1.06980890506759,0.00336908980342253,0.183572123916745,2142,714,714,3,0.320701296950645,0.00261289891443139,,FALSE,TRUE,none,log_int
census,amen_cooking_wood,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.0249255571470385,***,0.749112032738296,2.49255571470385,3.32734705327398,0.00420270991029616,4.69805234292878e-09,2142,714,714,3,0.270511028040459,0.0528362776258641,,FALSE,TRUE,none,log_int
census,amen_cooking_kerosene,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.00405974912340325,***,0.0185194230902063,0.405974912340325,21.9215744660544,0.000826448700659589,1.11732956910207e-06,2142,714,714,3,0.0525022964354219,0.017969623725854,,FALSE,TRUE,none,log_int
census,amen_cooking_lpg,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.016221664704305,***,0.114854050877284,-1.6221664704305,-14.1237201303741,0.00309224459559145,2.05253730096169e-07,2142,714,714,3,0.191936108129906,0.0425472193235713,,FALSE,TRUE,none,log_int
census,amen_cooking_biogas,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.00301898903237496,***,0.012798126640631,0.301898903237496,23.5893042563775,0.000694910365214728,1.59911000443532e-05,2142,714,714,3,0.0271256092070207,0.0251371202469439,,FALSE,TRUE,none,log_int
census,amen_cooking_electric,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.000746542596052638,***,0.00237492956156754,0.0746542596052638,31.4343047530173,0.000130990191169203,1.76176171182807e-08,1428,714,714,2,0.00756252039263598,0.049087085579988,,FALSE,TRUE,none,log_int
census,amen_cooking_modern,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.0125710914135902,***,0.129123390605957,-1.25710914135902,-9.73571972869971,0.00308058106469874,4.99622755258884e-05,2142,714,714,3,0.198003549670342,0.0326504096377717,,FALSE,TRUE,none,log_int
census,amen_cooking_traditional,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.0131923888341564,***,0.865800801437237,1.31923888341564,1.52372102361847,0.00309270948938641,2.26210248756959e-05,2142,714,714,3,0.196678415957227,0.0352878983831801,,FALSE,TRUE,none,log_int
census,amen_lighting_electricity,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.0349183715560741,***,0.621849464358114,3.49183715560741,5.61524509667586,0.00354170252696192,1.39279011189578e-21,2142,714,714,3,0.36880394426875,0.0778082548952664,,FALSE,TRUE,none,log_int
