dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
hh,agro_hh,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,0.0134991760126527,"",0.956369575361643,1.34991760126527,1.41150203440423,0.0151706224913131,0.374324554007511,16955,5906,281,3,0.204277372040828,0.000258516028675659,,FALSE,TRUE,none,log_int
hh,n_plots_owned,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,0.00846188531677368,"",1.84359866311984,0.846188531677368,0.458987386248914,0.0147523786181584,0.566702558438303,14446,5103,281,3,1.18846122824109,9.04897174007768e-05,,FALSE,TRUE,none,log_int
hh,total_owned_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,-48.8535585819546,"",5221.7886431392,-4885.35585819546,-0.93557135151654,63.626336983806,0.443241298532526,14446,5103,281,3,6504.02999452828,4.88237645928091e-05,,FALSE,TRUE,none,log_int
hh,cultivated_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,-128.645469988599,"",4262.47649648682,-12864.5469988599,-3.01809218407726,104.16522487001,0.217860766837461,14446,5103,281,3,5522.1647409247,0.000298276973007772,,FALSE,TRUE,none,log_int
hh,cultivated_area_total_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,-59.3130267023943,"",3799.78212518332,-5931.30267023943,-1.56095862205607,104.9942237032,0.572582503011244,16955,5906,281,3,5442.18733324127,4.11157859331324e-05,,FALSE,TRUE,none,log_int
hh,rented_in_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_none,0,815.171000847923,"",1214.51985302312,81517.1000847923,67.1187876277889,595.524445494155,0.172468081713448,2008,999,239,3,3147.22052361072,0.00238044938490734,,FALSE,TRUE,none,log_int
hh,share_self_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,-0.0170436752030508,"",0.855267972799554,-1.70436752030508,-1.9927877279517,0.011642881214831,0.144350961203568,14432,5096,281,3,0.311808590642733,0.000200006279481801,,FALSE,TRUE,none,log_int
hh,share_rented_out_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,0.0152043004152079,*,0.070942358140537,1.52043004152079,21.4319072747597,0.00861295613074303,0.0786062849318751,14446,5103,281,3,0.237474130216447,0.00070348344875526,,FALSE,TRUE,none,log_int
hh,share_fallow_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,0.00127352400246959,"",0.0657383704456084,0.127352400246959,1.93726128870702,0.00769742298017263,0.868710687841385,14432,5096,281,3,0.20381585862548,0.000913948168155931,,FALSE,TRUE,none,log_int
hh,share_self_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,-0.0826645349101699,**,0.696800766188783,-8.26645349101699,-11.8634391523866,0.0409906907898977,0.0446848512805908,14432,5096,281,3,0.413896096162244,0.00251775026995804,,FALSE,TRUE,none,log_int
hh,share_fallow_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,0.0759483680247255,*,0.234116023766075,7.59483680247255,32.4404826303611,0.0419823024789787,0.071514641524042,14432,5096,281,3,0.378252731125604,0.00295523021884914,,FALSE,TRUE,none,log_int
hh,share_both_seasons,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_none,0,-0.0773680383574588,*,0.691423666902499,-7.73680383574588,-11.1896716963796,0.0404644724347863,0.0568967627746922,14432,5096,281,3,0.416623652242109,0.00230320094011405,,FALSE,TRUE,none,log_int
hh,n_crops_total,Cropping,tx_log_int_nocmig_cfx_blk_none,0,0.550571004174999,*,3.69802276812463,55.0571004174999,14.8882534991587,0.289857593821411,0.0585324289592789,14145,5820,281,3,2.36477466286735,0.00556000598700113,,FALSE,TRUE,none,log_int
hh,multi_season,Cropping,tx_log_int_nocmig_cfx_blk_none,0,-0.0734630328592292,**,0.801078490113841,-7.34630328592292,-9.170516218553,0.0328954187951547,0.026323956902096,14145,5820,281,3,0.399202144401243,0.00246569112719097,,FALSE,TRUE,none,log_int
hh,grows_staple,Cropping,tx_log_int_nocmig_cfx_blk_none,0,-0.0166966350246583,"",0.920244990346848,-1.66966350246583,-1.81436847793816,0.0109454953084804,0.128279498020273,14145,5820,281,3,0.270922561844425,0.000680638302188008,,FALSE,TRUE,none,log_int
hh,grows_cashcrop,Cropping,tx_log_int_nocmig_cfx_blk_none,0,0.0429281810189813,*,0.18001464616204,4.29281810189813,23.8470490786286,0.0247685050115403,0.0841652988588264,14145,5820,281,3,0.384212442342413,0.000637755425084263,,FALSE,TRUE,none,log_int
hh,grows_horticulture,Cropping,tx_log_int_nocmig_cfx_blk_none,0,0.0276158799846329,"",0.372278809666467,2.76158799846329,7.41806389930564,0.055087243766821,0.616545667541577,14145,5820,281,3,0.483428232469319,0.00080256620305752,,FALSE,TRUE,none,log_int
hh,crop_simpson_diversity,Cropping,tx_log_int_nocmig_cfx_blk_none,0,-0.0389134467145944,"",0.222684916431967,-3.89134467145944,-17.4746665998291,0.0325854104866579,0.233569559119839,3900,3037,281,3,0.249111553090237,0.00221326548549738,,FALSE,TRUE,none,log_int
hh,staple_value_share,Cropping,tx_log_int_nocmig_cfx_blk_none,0,0.017503413053555,"",0.560964723280229,1.7503413053555,3.12023418356937,0.0457363065648935,0.702276044748969,3900,3037,281,3,0.465216157597066,0.00479656060805367,,FALSE,TRUE,none,log_int
hh,food_exp_total_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,-11.5990619413381,"",2216.5500839944,-1159.90619413381,-0.523293474173871,97.5610562441576,0.905447528052661,16955,5906,281,3,1166.30416693642,0.000741219986982511,,FALSE,TRUE,none,log_int
hh,food_exp_protein_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,6.53458219888658,"",695.108696920205,653.458219888658,0.940080627366501,41.1259628980767,0.873868589856859,16955,5906,281,3,585.704252253088,0.00153691671772938,,FALSE,TRUE,none,log_int
hh,food_exp_staples_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,-11.4887822511263,"",644.719027064862,-1148.87822511263,-1.78198281248655,31.7396173114986,0.717647636800199,16955,5906,281,3,409.373091492198,0.000317856374339121,,FALSE,TRUE,none,log_int
hh,food_insec_any,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,-0.0837823255904249,***,0.135499300046664,-8.37823255904249,-61.832294013011,0.0242955337114185,0.000650498778424021,16955,5906,281,3,0.342266084792086,0.00279998062550435,,FALSE,TRUE,none,log_int
hh,food_insec_score,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,-0.622626197887141,***,0.856159589360709,-62.2626197887141,-72.7231471356939,0.172268975402365,0.000357022773392211,16955,5906,281,3,2.55168002787801,0.00346271765280171,,FALSE,TRUE,none,log_int
hh,food_insec_worried,Consumption — food,tx_log_int_nocmig_cfx_blk_none,0,-0.0805869097686031,***,0.136024265048997,-8.05869097686031,-59.2445103376043,0.024737205526425,0.00126149512721238,16955,5906,281,3,0.342824327812614,0.00258245834003101,,FALSE,TRUE,none,log_int
hh,nonfood_exp_30day,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,643.285016203218,**,1717.15533131125,64328.5016203218,37.4622495981185,255.210987451601,0.0122713881265605,16955,5906,281,3,4122.88192031996,0.000977112330242447,,FALSE,TRUE,none,log_int
hh,nonfood_exp_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,22801.0393438637,*,90938.6206427905,2280103.93438637,25.0729988894672,12648.0254132652,0.0725049927145813,16955,5906,281,3,215824.168670608,0.000681952215354831,,FALSE,TRUE,none,log_int
hh,nonfood_communication_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,445.045216573528,*,1162.50699953336,44504.5216573528,38.283228982894,243.338417891237,0.0684759446514497,16955,5906,281,3,5198.80800821161,0.000458887981371614,,FALSE,TRUE,none,log_int
hh,nonfood_transport_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,7199.69968735584,"",12143.7286689221,719969.968735584,59.2873892660426,4508.10705347824,0.111381130760731,16955,5906,281,3,99629.1372662096,0.000241415357642549,,FALSE,TRUE,none,log_int
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,-78.2253561467999,"",449.339360709286,-7822.53561467999,-17.4089703655875,102.239780431577,0.44484649829145,16955,5906,281,3,2937.86936518739,6.33702669063929e-05,,FALSE,TRUE,none,log_int
hh,nonfood_ceremonies_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,2232.03907290141,"",24219.50629958,223203.907290141,9.21587354132034,2799.51851770529,0.425955934452009,16955,5906,281,3,70420.5046589843,0.000326963686657522,,FALSE,TRUE,none,log_int
hh,nonfood_fuel_lighting_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,1569.92059489207,***,4343.42399673355,156992.059489207,36.1447695659628,344.021160027251,7.5391221308672e-06,16955,5906,281,3,4927.44290365128,0.00506914236656419,,FALSE,TRUE,none,log_int
hh,nonfood_clothing_footwear_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_none,0,552.775854057002,"",11835.7999883341,55277.5854057002,4.67037170788491,787.8363419605,0.483487761733666,16955,5906,281,3,8837.51994127472,0.00124144629668654,,FALSE,TRUE,none,log_int
hh,any_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-0.00962726500020664,"",0.682244645069924,-0.962726500020664,-1.41111624250564,0.0090725066292501,0.289537440503168,16562,5906,281,3,0.465617527751341,0.000170454726556524,,FALSE,TRUE,none,log_int
hh,n_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-0.0331989111941076,"",1.3372868354281,-3.31989111941076,-2.4825572431123,0.0261110064610274,0.204622755796977,16562,5906,281,3,1.23675726730066,0.000292356735888788,,FALSE,TRUE,none,log_int
hh,n_private_school,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-0.0150838861618334,"",0.359709683129758,-1.50838861618334,-4.19335004567898,0.0227613993302555,0.508070462325544,16562,5906,281,3,0.719524615035333,0.000454189154716622,,FALSE,TRUE,none,log_int
hh,n_scholarship,Education spending,tx_log_int_nocmig_cfx_blk_none,0,0.0324769133443973,"",0.323774119313153,3.24769133443973,10.0307317376982,0.0623434095314751,0.602823225588697,16562,5906,281,3,0.712653560855895,0.000938293009897895,,FALSE,TRUE,none,log_int
hh,edu_spend_total_12m,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-1883.06794345043,"",15271.1260400071,-188306.794345043,-12.3309043387972,1516.79429766804,0.215467925142629,16562,5906,281,3,43935.4603571633,0.000111459376543332,,FALSE,TRUE,none,log_int
hh,edu_spend_per_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-213.939473142232,"",12208.5532982823,-21393.9473142232,-1.75237366717588,875.71428719578,0.807175218458667,10853,4478,281,3,21429.6589226558,0.000213827982693426,,FALSE,TRUE,none,log_int
hh,edu_spend_tuition_12m,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-2127.23268681979,*,7068.45164335871,-212723.268681979,-30.094747678135,1170.5298007079,0.0702362363097116,16562,5906,281,3,38770.7576757655,0.000166525441027909,,FALSE,TRUE,none,log_int
hh,edu_spend_books_12m,Education spending,tx_log_int_nocmig_cfx_blk_none,0,-62.3099952149281,"",2029.07529356228,-6230.99952149281,-3.07085673028601,128.349711548479,0.627722296298618,16562,5906,281,3,2568.61622557517,0.00137801994485176,,FALSE,TRUE,none,log_int
hh,any_insured,Health,tx_log_int_nocmig_cfx_blk_none,0,0.0229070786100664,*,0.0428984481029091,2.29070786100664,53.3983853101507,0.0122219362223351,0.0619358534073973,16562,5906,281,3,0.202634138624347,0.00150460933486396,,FALSE,TRUE,none,log_int
hh,n_insured,Health,tx_log_int_nocmig_cfx_blk_none,0,0.0262410235126665,*,0.0470289726795303,2.62410235126665,55.7975690676486,0.0151091728575639,0.0835291360713373,16562,5906,281,3,0.232180066819286,0.00130815498728942,,FALSE,TRUE,none,log_int
hh,n_chronic,Health,tx_log_int_nocmig_cfx_blk_none,0,-0.102021126570909,"",0.942231663421255,-10.2021126570909,-10.8276054108041,0.0952097641325405,0.284849156914719,16562,5906,281,3,1.11390799900284,0.0014210938134358,,FALSE,TRUE,none,log_int
hh,n_acute_illness,Health,tx_log_int_nocmig_cfx_blk_none,0,-0.250951702746367,"",1.45117129875494,-25.0951702746367,-17.2930447950339,0.208822816171446,0.230477904147507,16562,5906,281,3,1.63492552897364,0.00150938966408365,,FALSE,TRUE,none,log_int
hh,any_health_spending,Health,tx_log_int_nocmig_cfx_blk_none,0,-0.00346035919955494,"",0.778898920162861,-0.346035919955494,-0.444262934506497,0.0371476290422661,0.925849781840941,16562,5906,281,3,0.415000668590282,0.000651758277971926,,FALSE,TRUE,none,log_int
hh,hlt_spend_total,Health,tx_log_int_nocmig_cfx_blk_none,0,5078.25512301457,**,12797.5013276686,507825.512301457,39.6816143479135,2146.40332982413,0.0186656950200959,16562,5906,281,3,46965.9817991215,0.00059645319364332,,FALSE,TRUE,none,log_int
hh,hlt_spend_medicines,Health,tx_log_int_nocmig_cfx_blk_none,0,1818.95031299718,***,1490.13837257332,181895.031299718,122.065866262878,496.857677030859,0.000300365463746195,16562,5906,281,3,8004.42832944255,0.00209134864362337,,FALSE,TRUE,none,log_int
hh,hlt_spend_hospital,Health,tx_log_int_nocmig_cfx_blk_none,0,2294.22260712895,"",7925.17070868,229422.260712895,28.948557595311,1696.07174976123,0.177252902582382,16562,5906,281,3,38279.8777263794,0.000193233951802707,,FALSE,TRUE,none,log_int
hh,has_enterprise,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,-0.0140672292685099,"",0.163497433504433,-1.40672292685099,-8.60394500818174,0.0088468033353254,0.112942531189353,16955,5906,281,3,0.369829691470827,0.000380134572630531,,FALSE,TRUE,none,log_int
hh,n_enterprises,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,-0.0141445579941724,"",0.177146523565096,-1.41445579941724,-7.98466586276229,0.0100615356013661,0.160890687131942,16955,5906,281,3,0.417700726015181,0.00057108235591441,,FALSE,TRUE,none,log_int
hh,n_workers_total,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,0.00197092327911077,"",0.300688287447503,0.197092327911077,0.655470585782251,0.0643409936274563,0.975584473333373,16955,5906,281,3,1.9465072871189,0.000279102523777497,,FALSE,TRUE,none,log_int
