dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.0236037277963855,"",0.95079678957776,-2.36037277963855,-2.48252077153812,0.119550579181648,0.843789150586172,8506,2956,133,3,0.216304638957966,0.017522383745191,
hh,n_plots_owned,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.0165981505644303,"",1.77731730902058,-1.65981505644303,-0.933887858976456,0.0970548408649467,0.864471277912104,7139,2517,133,3,1.12527270970169,0.0308435354356289,
hh,total_owned_area_sqm,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,-10.2217140465348,"",5366.11171598628,-1022.17140465348,-0.190486418985335,294.371849502518,0.972352423757617,7139,2517,133,3,6320.88737858822,0.00308538651912782,
hh,cultivated_area_sqm,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,-788.814570338994,"",4307.9897088774,-78881.4570338994,-18.3105026623786,897.279449612904,0.38093481325994,7139,2517,133,3,5095.76786514324,0.00268950908362042,
hh,cultivated_area_total_sqm,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,-272.255311679862,"",3774.44844077273,-27225.5311679862,-7.21311513329678,871.254667728692,0.755163945840002,8506,2956,133,3,4978.182786806,0.00327104711942527,
hh,rented_in_area_sqm,Land — agriculture,tx_lin_int_cmig_cfx_blk_blockA_only,100,1965.57619289299,"",1122.02108593224,196557.619289299,175.181751710118,3810.33450729934,0.60707279941562,1050,504,112,3,2559.81174208002,0.0383554693213084,
hh,share_self_wet,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.185729104368652,**,0.845706561975745,-18.5729104368652,-21.9614122343749,0.0930485741464209,0.047986862860478,7132,2516,133,3,0.319714621521344,0.00968924199532695,
hh,share_rented_out_wet,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,0.0187618200672694,"",0.0733025422260814,1.87618200672694,25.5950469076553,0.076630932479157,0.806965544756474,7139,2517,133,3,0.240315107813612,0.00634060017178117,
hh,share_fallow_wet,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,0.135861413526251,**,0.0717199871959308,13.5861413526251,189.433125740936,0.0632769884244185,0.0336137972739231,7132,2516,133,3,0.211514535485555,0.0152701465064932,
hh,share_self_dry,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.33627912863946,"",0.662233364934526,-33.627912863946,-50.7795509023783,0.255564438537366,0.190512078260321,7132,2516,133,3,0.428925933383652,0.0207768691897022,
hh,share_fallow_dry,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,0.354267537943421,"",0.268073194068632,35.4267537943421,132.15328715512,0.253140449797984,0.164011737581024,7132,2516,133,3,0.399762738352473,0.0258697729148613,
hh,share_both_seasons,Land use — wet/dry,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.32547459004161,"",0.656345996853048,-32.547459004161,-49.5888741002685,0.246488140178216,0.188970672708573,7132,2516,133,3,0.431389903238914,0.0187633690747864,
hh,n_crops_total,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,-3.40662398156216,**,3.50690441077892,-340.662398156216,-97.1404858111177,1.49110767229777,0.0239303277497176,7004,2907,133,3,2.24003392851934,0.0406540885669741,
hh,multi_season,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.369951502595908,"",0.764579702372972,-36.9951502595908,-48.386257370908,0.294684986992853,0.211546543594584,7004,2907,133,3,0.424289660402856,0.0204314829701132,
hh,grows_staple,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,0.168678234544799,"",0.910711891674487,16.8678234544799,18.5215803248882,0.15144256038265,0.267384742000126,7004,2907,133,3,0.285178269147177,0.00706154812483939,
hh,grows_cashcrop,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.542089690580406,***,0.210483979085668,-54.2089690580406,-257.544395034347,0.160673694269372,0.000973336560799165,7004,2907,133,3,0.407679722098863,0.0194587770770158,
hh,grows_horticulture,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.364987618489606,"",0.379139294811637,-36.4987618489607,-96.2674203081321,0.273203840238031,0.183863178240818,7004,2907,133,3,0.485205371346028,0.0268901091917078,
hh,crop_simpson_diversity,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,0.213991678711829,"",0.216401632169936,21.3991678711829,98.8863515335161,0.232562106945248,0.359388424411456,2068,1587,133,3,0.24790918431055,0.0181255355279543,
hh,staple_value_share,Cropping,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.164123951085828,"",0.548760140743359,-16.4123951085828,-29.908139986899,0.230427440599306,0.477722527176232,2068,1587,133,3,0.47114003708963,0.0448793439131017,
hh,food_exp_total_7day,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,360.253096381987,"",2333.38050366407,36025.3096381987,15.4391063016206,551.197978869633,0.514518033053882,8506,2956,133,3,1228.35126164565,0.0144130002528126,
hh,food_exp_protein_7day,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,296.564523357157,"",748.538094684192,29656.4523357157,39.619162399781,232.324419709327,0.204016413353303,8506,2956,133,3,607.720180363834,0.0149389362904587,
hh,food_exp_staples_7day,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-29.1342956009835,"",662.528440153542,-2913.42956009835,-4.39744074899359,223.204501295482,0.89634791686858,8506,2956,133,3,442.099664951423,0.0162795905706239,
hh,food_insec_any,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.108796275484116,"",0.117250203559381,-10.8796275484116,-92.789839319141,0.146145547386765,0.457934882601053,8506,2956,133,3,0.321736902002709,0.0113494844111183,
hh,food_insec_score,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.290346003198493,"",0.736652320576945,-29.0346003198493,-39.4142521632313,1.11998222104615,0.795852680273877,8506,2956,133,3,2.33625652740969,0.0080523270983478,
hh,food_insec_worried,Consumption — food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.113076540718609,"",0.117366523205769,-11.3076540718609,-96.3447988659946,0.146241866885159,0.44077704072414,8506,2956,133,3,0.321875245365397,0.0115124789042733,
hh,nonfood_exp_30day,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-901.508971587906,"",1812.10492032104,-90150.8971587906,-49.749270115562,1508.77677098193,0.551190680030695,8506,2956,133,3,5232.43211797031,0.00324005503397506,
hh,nonfood_exp_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,28375.3294133823,"",97749.0079446318,2837532.94133823,29.0287645982607,129842.273287354,0.827348315808555,8506,2956,133,3,249707.261084605,0.00593323855477557,
hh,nonfood_communication_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-896.125382290133,"",995.384669070606,-89612.5382290133,-90.0280474609728,1636.53912358586,0.58490950348705,8506,2956,133,3,3821.02496601862,0.0119018029295657,
hh,nonfood_transport_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,52213.7314858245,"",14268.2170873561,5221373.14858245,365.944330438414,38662.8093646428,0.179169691938214,8506,2956,133,3,116747.724771068,0.00244751739496873,
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,288.838145155757,"",527.9581249273,28883.8145155757,54.7085330291167,1010.22024776751,0.775390655276553,8506,2956,133,3,3240.33979180749,0.00284450668773439,
hh,nonfood_ceremonies_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,44341.4097378803,*,27485.2568337792,4434140.97378803,161.32798032793,25639.2030309428,0.086068427124585,8506,2956,133,3,72275.4026780285,0.00551792771266402,
hh,nonfood_fuel_lighting_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,5379.19528378645,**,4944.22286844248,537919.528378645,108.797589164523,2393.22316692469,0.0262558434577111,8506,2956,133,3,4683.78174489425,0.0416508814656016,
hh,nonfood_clothing_footwear_12m,Consumption — non-food,tx_lin_int_cmig_cfx_blk_blockA_only,100,-1468.23360610792,"",12594.070722345,-146823.360610792,-11.6581337240143,7325.13888565843,0.841446808104374,8506,2956,133,3,9494.99973511689,0.0230347360986209,
hh,any_enrolled,Education spending,tx_lin_int_cmig_cfx_blk_blockA_only,100,-0.0189483448055225,"",0.650758199130128,-1.89483448055225,-2.91173354878216,0.0817157206482324,0.816989330335414,8327,2956,133,3,0.476758517923738,0.00922361430163743,
