dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0146678955282073,"",0.564873935368685,-1.46678955282073,-2.59666708088306,0.0269611314615861,0.586585006577853,2142,714,714,3,0.324800567674477,0.013643952391976,
census,amen_water_traditional,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.00722015647485151,"",0.419204984125423,0.722015647485151,1.72234509327573,0.0264434531585172,0.784900484237748,2142,714,714,3,0.320701296950645,0.011097853881757,
census,amen_cooking_wood,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.00758689667519635,"",0.749112032738296,-0.758689667519635,-1.01278531696565,0.022285784495252,0.733628037828791,2142,714,714,3,0.270511028040459,0.0434695453244239,
census,amen_cooking_kerosene,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.00159467198330607,"",0.0185194230902063,0.159467198330607,8.61080809881918,0.00463808241344457,0.731081972841628,2142,714,714,3,0.0525022964354219,0.0181372943047577,
census,amen_cooking_lpg,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.0304812265858565,**,0.114854050877284,3.04812265858565,26.5390957942131,0.0143652601165897,0.0341928365023269,2142,714,714,3,0.191936108129906,0.0373942734103047,
census,amen_cooking_biogas,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.000153933692758719,"",0.012798126640631,0.0153933692758719,1.20278300942902,0.00219754475134317,0.944175068004294,2142,714,714,3,0.0271256092070207,0.0138035272396072,
census,amen_cooking_electric,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.000946354307292738,"",0.00237492956156754,0.0946354307292738,39.8476789630809,0.00070196669278525,0.178039225702818,1428,714,714,2,0.00756252039263598,0.0389929508336759,
census,amen_cooking_modern,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.0298433246728002,**,0.129123390605957,2.98433246728002,23.1122529641995,0.014712706715292,0.0428901762846445,2142,714,714,3,0.198003549670342,0.0323420505655732,
census,amen_cooking_traditional,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0304652686541792,**,0.865800801437237,-3.04652686541792,-3.51873879114071,0.0147028023321098,0.0386176420498521,2142,714,714,3,0.196678415957227,0.0338845665943262,
census,amen_lighting_electricity,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0191851438435677,"",0.621849464358114,-1.91851438435677,-3.0851749407505,0.0191959560343173,0.317922226142921,2142,714,714,3,0.36880394426875,0.0628219778159686,
census,amen_lighting_kerosene,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0610451628587331,**,0.322508890687332,-6.10451628587331,-18.9282108560274,0.0254577659957718,0.0167455388242726,2142,714,714,3,0.355554669705146,0.0202301232254078,
census,amen_lighting_biogas,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.000133363227231181,"",0.00177763841863936,0.0133363227231181,7.50226963103438,0.000429888492438514,0.756478624346086,2142,714,714,3,0.00322661013209961,0.00120582158436977,
census,amen_lighting_others,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.103668253295426,***,0.090682250764139,10.3668253295426,114.320335481155,0.0246435094839033,2.92155380332044e-05,2142,714,714,3,0.206672389712942,0.040455274999976,
census,amen_toilet_modern,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0218381542924903,"",0.336634870833062,-2.18381542924903,-6.48719315335574,0.0226936893996964,0.336224788649961,2142,714,714,3,0.293383631246549,0.0214408171032279,
census,amen_toilet_ordinary,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0335347180101465,"",0.259704638520692,-3.35347180101465,-12.9126372948763,0.0244867346389681,0.171272488136683,2142,714,714,3,0.191711767289333,0.130511348023397,
census,amen_toilet_none,Amenities,tx_lin_int_cmig_cfx_blk_none,0,0.0540584777549616,***,0.395287102648561,5.40584777549616,13.6757504590337,0.0168687288088862,0.00141248469637794,2142,714,714,3,0.331156431946023,0.206428588385071,
census,amen_toilet_any,Amenities,tx_lin_int_cmig_cfx_blk_none,0,-0.0550206614643018,***,0.597969062636336,-5.50206614643018,-9.20125553347623,0.0169724644743794,0.00124320096986757,2142,714,714,3,0.335841072172858,0.210519175303083,
census,amen_assets_radio,Assets,tx_lin_int_cmig_cfx_blk_none,0,-0.0838291237015116,***,0.442765044091116,-8.38291237015116,-18.9330943849895,0.0265268650012727,0.00164349939595721,1428,714,714,2,0.182099348365536,0.108362467432575,
census,amen_assets_tv,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0465727115386972,***,0.31878430498242,4.65727115386972,14.6094744348426,0.0091529256589254,4.62574955178303e-07,1428,714,714,2,0.207029709785699,0.139346826411896,
census,amen_assets_landline,Assets,tx_lin_int_cmig_cfx_blk_none,0,-0.00459191831746563,*,0.0274360547364006,-0.459191831746563,-16.7368025817988,0.0027282710128744,0.0927959608504938,1428,714,714,2,0.0412461164585271,0.0332425300441265,
census,amen_assets_mobile,Assets,tx_lin_int_cmig_cfx_blk_none,0,-0.0967366151047028,***,0.736893730839095,-9.67366151047028,-13.1276208571553,0.0173345943597971,3.40764514601456e-08,1428,714,714,2,0.21653386499115,0.188752481857647,
census,amen_assets_computer,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0146304406447753,***,0.0505545902913793,1.46304406447753,28.9398856967301,0.00360564545947157,5.5045767720663e-05,1428,714,714,2,0.0723458824544718,0.0687508195141472,
census,amen_assets_internet,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0677721359726312,***,0.133022548537404,6.77721359726312,50.9478556213157,0.0165240152235976,4.5793564805046e-05,1428,714,714,2,0.180177985084859,0.11388420025465,
census,amen_assets_cycle,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.00110434299241798,"",0.262381245225638,0.110434299241798,0.420892503756618,0.00467822339583833,0.813453643447555,1428,714,714,2,0.326180363589175,0.0104736123786201,
census,amen_assets_motorcycle,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0652909516586634,***,0.115020626504345,6.52909516586634,56.7645592299019,0.0132458386326746,1.02788441815435e-06,1428,714,714,2,0.129711343814126,0.0563327808410278,
census,amen_assets_car,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.00135728456488147,"",0.0117554383176144,0.135728456488147,11.5460140933044,0.00117017335853899,0.246477607482693,1428,714,714,2,0.0151658398360243,0.0585473671378813,
census,amen_assets_fridge,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0516054624964699,***,0.071314930170963,5.16054624964699,72.3627750497074,0.00818087472340777,4.9575171258153e-10,1428,714,714,2,0.118081672204542,0.0686038581207396,
census,amen_assets_none,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.0802997757136886,***,0.121587265371822,8.02997757136886,66.0429161459688,0.0130504411132435,1.26721264302454e-09,1428,714,714,2,0.104797809275339,0.201505948170438,
census,amen_asset_count_mean,Assets,tx_lin_int_cmig_cfx_blk_none,0,0.238262553282562,***,2.66992412165453,23.8262553282562,8.92394474247878,0.0686561695900864,0.000551024974670446,1428,714,714,2,1.29316091786062,0.0319882920394637,
census,edu_literate,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0207300405709868,***,0.607474131361805,-2.07300405709868,-3.41249766875098,0.00631977631078917,0.00108783276154837,2142,714,714,3,0.159875612228507,0.127837728120717,
census,edu_literate_female,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0273340183129142,***,0.511324559496916,-2.73340183129142,-5.34572764113027,0.00813411240221123,0.000819705366432963,2142,714,714,3,0.181521725168403,0.169452583796372,
census,edu_literate_male,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0122149280590008,*,0.709944299429457,-1.22149280590008,-1.72054738221256,0.00626835758460404,0.0517273574623676,2142,714,714,3,0.145354065407514,0.0827471681572192,
census,edu_school_attend_6_16,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0145503881346735,*,0.819741308928368,-1.45503881346735,-1.77499754815271,0.00837205583079753,0.0826477050770956,2142,714,714,3,0.136643285142398,0.155111382515618,
census,edu_school_attend_6_16_female,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0205166682847415,*,0.796467476708623,-2.05166682847415,-2.57595807546668,0.0111227252207255,0.0655144291993581,2142,714,714,3,0.16790421638126,0.170975319406643,
census,edu_school_attend_6_16_male,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.00829934248453266,"",0.842189359499717,-0.829934248453266,-0.985448508808363,0.00762045707363688,0.276483384239486,2142,714,714,3,0.110677811629462,0.10556579607365,
census,edu_attain_primary_plus,Education,tx_lin_int_cmig_cfx_blk_none,0,0.00832681919462338,"",0.853466198332302,0.832681919462338,0.975647214956401,0.0110070097247996,0.4495984673643,2142,714,714,3,0.114726573735517,0.0288324826065493,
census,edu_attain_secondary_plus,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.00863290678559135,"",0.549112487257879,-0.863290678559135,-1.57215634062554,0.00811518111644143,0.287780729950384,2142,714,714,3,0.144188510611148,0.0344026968810331,
census,edu_attain_higher_secondary_plus,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.0202697578361513,***,0.128158559426947,-2.02697578361513,-15.816156116912,0.00573311023379856,0.000433213596676685,2142,714,714,3,0.0794445436000049,0.0301561763394917,
census,edu_attain_tertiary,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.00693139229742709,***,0.0490636358651743,-0.693139229742709,-14.1273515001505,0.00226395524672571,0.00228407901940382,2142,714,714,3,0.0398183907471633,0.0258651900532269,
census,edu_years_mean,Education,tx_lin_int_cmig_cfx_blk_none,0,-0.176356320943789,*,7.1078787839108,-17.6356320943789,-2.48113855490874,0.0977965628524613,0.0717635134536574,2142,714,714,3,1.43692989665145,0.0272167284049344,
census,housing_own,Housing,tx_lin_int_cmig_cfx_blk_none,0,0.00398355989934663,"",0.929920629002053,0.398355989934663,0.428376333969663,0.00287827523358023,0.16678864558011,2142,714,714,3,0.089909924759792,0.0273085396415866,
census,housing_rented,Housing,tx_lin_int_cmig_cfx_blk_none,0,-0.00730340502533141,***,0.051270415611312,-0.730340502533141,-14.2448718978592,0.00245161533426452,0.00298994631074767,2142,714,714,3,0.0815671838193877,0.0351275124793544,
census,housing_foundation_modern,Housing,tx_lin_int_cmig_cfx_blk_none,0,0.0604430952318547,***,0.240715241721307,6.04430952318547,25.1097914696378,0.0135962320561665,1.01627820118036e-05,1428,714,714,2,0.244758420920797,0.0447404361073377,
census,housing_foundation_traditional,Housing,tx_lin_int_cmig_cfx_blk_none,0,-0.0636584882040062,***,0.754381212555889,-6.36584882040062,-8.43850392142289,0.0143017252725647,9.91150071925195e-06,1428,714,714,2,0.243936462899943,0.0432758522296105,
census,housing_roof_modern,Housing,tx_lin_int_cmig_cfx_blk_none,0,0.037613808676837,*,0.54272975531938,3.7613808676837,6.9304858095909,0.0206973331686685,0.0695867894741658,1428,714,714,2,0.336008424083018,0.0176113759762753,
census,housing_roof_traditional,Housing,tx_lin_int_cmig_cfx_blk_none,0,-0.0366745089340523,*,0.153228753737781,-3.66745089340523,-23.9344822948917,0.0196543219819476,0.0624550016047845,1428,714,714,2,0.198157309122645,0.00726664732436988,
census,fem_ownership_house,Female Ownership,tx_lin_int_cmig_cfx_blk_none,0,0.0101823381100251,***,0.0788328684231063,1.01823381100251,12.9163613017037,0.00376806736525337,0.00705057881524553,2142,714,714,3,0.0536354502970384,0.0186610204595647,
census,fem_ownership_land,Female Ownership,tx_lin_int_cmig_cfx_blk_none,0,0.0091801407276077,*,0.14464779509554,0.91801407276077,6.34654729548018,0.00499898361859089,0.0667144697835875,2142,714,714,3,0.083081539485376,0.0105856450407468,
census,fem_ownership_both,Female Ownership,tx_lin_int_cmig_cfx_blk_none,0,0.00601575363457192,*,0.0713804660104904,0.601575363457192,8.4277309617001,0.00324559715011588,0.0642218728612538,2142,714,714,3,0.0484806960310248,0.0182065790235318,
census,fem_ownership_livestock,Female Ownership,tx_lin_int_cmig_cfx_blk_none,0,-0.000656548782160019,"",0.0831342948278826,-0.0656548782160019,-0.789744814121907,0.00253544939161488,0.795750334780101,714,714,714,1,0.0557990550548397,,1-year outcome: cross-section (no entity FE)
census,ent_has_nonagro,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,-0.013173424945315,"",0.13044985616077,-1.3173424945315,-10.0984587741359,0.0100590505150406,0.190749903335518,1428,714,714,2,0.0808586613944414,0.018493862882925,
census,ent_cottage,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,0.0161926433460304,"",0.0610141031096225,1.61926433460304,26.5391811413462,0.0172555755943283,0.348357213543108,1424,714,714,2,0.0819324000786066,0.00428259028469569,
census,ent_trade,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,0.0314512953979952,*,0.160805823851676,3.14512953979952,19.5585549357997,0.0172779654997207,0.0691317192434047,1424,714,714,2,0.141538044824238,0.0119910719668989,
census,ent_transport,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,-0.00237396389229735,"",0.0111031020325206,-0.237396389229735,-21.3810868831439,0.00258338328630133,0.358440687751209,1424,714,714,2,0.0174076958511481,0.0020693326653396,
census,ent_services,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,-0.0246996119097122,"",0.184987170978896,-2.46996119097122,-13.3520674860907,0.0180873401877401,0.172504379439545,1424,714,714,2,0.199160487150713,0.0153517944257842,
census,ent_other,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,-0.0237108276372729,"",0.127611385499748,-2.37108276372729,-18.5804954192899,0.0155807053357762,0.128502024523452,1424,714,714,2,0.148561215247708,0.0197478253714547,
census,ent_female_owner_share,Enterprise,tx_lin_int_cmig_cfx_blk_none,0,-0.00335441678596586,***,0.0410761353900376,-0.335441678596586,-8.16633978370668,0.0011790931377393,0.00456975038840862,714,714,714,1,0.0277815193078132,,1-year outcome: cross-section (no entity FE)
census,absent_hh_share,Absent HH,tx_lin_int_cmig_cfx_blk_none,0,0.0265976906368971,***,0.212706407126807,2.65976906368971,12.5044144161772,0.00758531215860929,0.000482526932880424,2142,714,714,3,0.135023030004202,0.158945509033174,
census,hh_death_12m,Absent HH,tx_lin_int_cmig_cfx_blk_none,0,0.00386200534351906,*,0.0298942820585817,0.386200534351906,12.9188763789375,0.001998736717795,0.0537278003281574,1428,714,714,2,0.00991701666136726,0.0428874493438848,
census,mar_ever_married_15_60,Marriage,tx_lin_int_cmig_cfx_blk_none,0,0.00592307448499809,"",0.754170902995177,0.592307448499809,0.785375630573217,0.00449626571345158,0.188150547818191,2142,714,714,3,0.0509260167939982,0.181315943569311,
census,mar_never_married_15_60,Marriage,tx_lin_int_cmig_cfx_blk_none,0,-0.00616934006442273,"",0.244374862159695,-0.616934006442273,-2.52453955775171,0.00447889240399878,0.168812994031257,2142,714,714,3,0.0517803006600111,0.186434310417963,
census,mar_female_age_first_mean,Marriage,tx_lin_int_cmig_cfx_blk_none,0,-0.0278022747510322,"",17.895327611547,-2.78022747510322,-0.155360524012383,0.0785300791465128,0.723418484810508,2142,714,714,3,0.921607145805544,0.0413286811906656,
census,mar_female_married_by_18,Marriage,tx_lin_int_cmig_cfx_blk_none,0,0.0111374576952685,"",0.432788547343024,1.11374576952685,2.5734178419562,0.0112628328258727,0.323063065023449,2142,714,714,3,0.123534377048716,0.168790362563612,
