dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-0.0133376828241903,"",0.95079678957776,-1.33376828241903,-1.40279005676002,0.00815352116147844,0.104259813506569,8506,2956,133,3,0.216304638957966,0.0173942438475119,
hh,n_plots_owned,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,0.0140536948487647,***,1.77731730902058,1.40536948487647,0.79072514386917,0.00515532016458899,0.0072801152314486,7139,2517,133,3,1.12527270970169,0.0126158201965476,
hh,total_owned_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-27.4323249379061,"",5366.11171598628,-2743.23249379061,-0.511214197352284,42.9602396235418,0.524221113640759,7139,2517,133,3,6320.88737858822,0.00230666106510657,
hh,cultivated_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,18.3168700602611,"",4307.9897088774,1831.68700602611,0.425183700474397,65.0722737881186,0.778779207962799,7139,2517,133,3,5095.76786514324,0.00246922866472754,
hh,cultivated_area_total_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,54.7080283048517,"",3774.44844077273,5470.80283048517,1.44943106690448,62.556763144137,0.383415802645836,8506,2956,133,3,4978.182786806,0.00283341383265789,
hh,rented_in_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_blockA_only,100,236.391497854802,**,1122.02108593224,23639.1497854802,21.0683650083451,118.620867857838,0.0489511604848633,1050,504,112,3,2559.81174208002,0.0238170579565247,
hh,share_self_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-0.00236951169278272,"",0.845706561975745,-0.236951169278272,-0.280181306296956,0.00836212909157428,0.777343093994877,7132,2516,133,3,0.319714621521344,0.00668589959965704,
hh,share_rented_out_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,0.00487787451336035,"",0.0733025422260814,0.487787451336035,6.65444112199532,0.00607080921332156,0.423132298427253,7139,2517,133,3,0.240315107813612,0.00632056824448046,
hh,share_fallow_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-0.00175060938267375,"",0.0717199871959308,-0.175060938267375,-2.44089472282153,0.00754390442310425,0.816853785081987,7132,2516,133,3,0.211514535485555,0.0111232916124955,
hh,share_self_dry,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-0.0576056626476951,***,0.662233364934526,-5.76056626476951,-8.69869530862289,0.0203225066993189,0.00531086055880484,7132,2516,133,3,0.428925933383652,0.0193312613942063,
hh,share_fallow_dry,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,0.0519416440040292,**,0.268073194068632,5.19416440040292,19.3759186495652,0.0202914135655341,0.0116002016088224,7132,2516,133,3,0.399762738352473,0.0232830205013082,
hh,share_both_seasons,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_blockA_only,100,-0.0546737817535704,***,0.656345996853048,-5.46737817535704,-8.33002441025195,0.0199140387093228,0.00688484679099649,7132,2516,133,3,0.431389903238914,0.0175092315333416,
