dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,0.018245476902451,***,0.564873935368685,1.8245476902451,3.23000863733293,0.00307254016770522,4.50020056560534e-09,2142,714,714,3,0.324800567674477,0.275189659789566,
census,amen_water_traditional,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.0165655555353827,***,0.419204984125423,-1.65655555353827,-3.95165996652999,0.00308027019593715,1.0222528721894e-07,2142,714,714,3,0.320701296950645,0.261382348366814,
census,amen_cooking_wood,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.00303878404987916,"",0.749112032738296,-0.303878404987916,-0.405651480296108,0.00365481866890341,0.406000125333611,2142,714,714,3,0.270511028040459,0.454745093253328,
census,amen_cooking_kerosene,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.00033504093661649,"",0.0185194230902063,-0.033504093661649,-1.80913268725779,0.000650798454349754,0.60684171262199,2142,714,714,3,0.0525022964354219,0.696655266454886,
census,amen_cooking_lpg,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.00325305450124364,"",0.114854050877284,-0.325305450124364,-2.83233762883939,0.00321376785252369,0.311774104128929,2142,714,714,3,0.191936108129906,0.573197181123058,
census,amen_cooking_biogas,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.000166863879156653,"",0.012798126640631,-0.0166863879156653,-1.30381487730321,0.000553612077836347,0.763190216694511,2142,714,714,3,0.0271256092070207,0.16071392875946,
census,amen_cooking_electric,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.000125828714662406,"",0.00237492956156754,-0.0125828714662406,-5.29820827946383,8.63221114168692e-05,0.1453732170063,1428,714,714,2,0.00756252039263598,0.365832472299187,
census,amen_cooking_modern,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,-0.00350577339650765,"",0.129123390605957,-0.350577339650765,-2.71505679958958,0.00298160530747829,0.24006700742853,2142,714,714,3,0.198003549670342,0.569328474714066,
census,amen_cooking_traditional,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,0.00351819386871927,"",0.865800801437237,0.351819386871926,0.406351422045237,0.00304146265461579,0.24776434564442,2142,714,714,3,0.196678415957227,0.566304847173287,
census,amen_lighting_electricity,Amenities,tx_lin_int_nocmig_cfx_blk_khanna_full,0,0.0025452908794233,*,0.621849464358114,0.25452908794233,0.409309812954588,0.00137445277241814,0.0644594725478964,2142,714,714,3,0.36880394426875,0.719375833024268,
