dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.0120209885010499,"",0.951999332164621,1.20209885010499,1.26270976196139,0.0109722398413004,0.27464852595338,11844,4130,191,3,0.213776562717466,0.0467741438154177,
hh,n_plots_owned,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.010431830910376,*,1.81348225758624,1.0431830910376,0.575237550118681,0.00629059036894154,0.0989022587086155,9967,3525,191,3,1.19073799017918,0.0381150620912758,
hh,total_owned_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-85.60920933096,"",5408.33183677302,-8560.920933096,-1.58291339944925,68.2139154104146,0.21101624459728,9967,3525,191,3,6970.53204680879,0.00855605934028014,
hh,cultivated_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,22.5394370959772,"",4358.97543523603,2253.94370959772,0.517081076295552,86.3377312785081,0.794328013042807,9967,3525,191,3,5888.13815298297,0.00527508672331734,
hh,cultivated_area_total_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,44.5210777267925,"",3844.67680924866,4452.10777267925,1.15799272437396,79.7032187791602,0.577102204477436,11844,4130,191,3,5706.56108613098,0.00683812531428629,
hh,rented_in_area_sqm,Land — agriculture,tx_lin_int_nocmig_cfx_blk_khanna_full,25,155.265094525286,"",1214.67640975573,15526.5094525286,12.7824244612201,147.122417823145,0.292963825295139,1502,719,161,3,3090.75849272239,0.0844615904682393,
hh,share_self_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.00449696826392597,"",0.842604068039324,0.449696826392597,0.533698855073187,0.0122086483529523,0.713027672807433,9959,3523,191,3,0.322221099198865,0.0117143027506477,
hh,share_rented_out_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.00235024987253387,"",0.0711100559956446,0.235024987253387,3.30508792269523,0.00772120551900188,0.761164689141118,9967,3525,191,3,0.237335339452482,0.00362782821482832,
hh,share_fallow_wet,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-0.00339922324699981,"",0.0771898017953513,-0.339922324699981,-4.40372065731166,0.0115179753730765,0.768221907379275,9959,3523,191,3,0.220742884823853,0.0184631393764885,
hh,share_self_dry,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-0.0454157469106177,*,0.65449772265852,-4.54157469106177,-6.93902290845908,0.0263923604283316,0.0869166111346184,9959,3523,191,3,0.430397057132127,0.0441692038014016,
hh,share_fallow_dry,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.0491633921949001,*,0.277594868887282,4.91633921949001,17.7104830474597,0.0274382411505466,0.0747589878325269,9959,3523,191,3,0.403206951549677,0.0549805525205637,
hh,share_both_seasons,Land use — wet/dry,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-0.0446773782430999,*,0.64833819484502,-4.46773782430999,-6.89106065296364,0.0259441786053519,0.0866864072423822,9959,3523,191,3,0.432893124656754,0.040852302661552,
hh,n_crops_total,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.0127006803806953,"",3.51664742109315,1.27006803806953,0.361158764581161,0.140024311487737,0.927823823660651,9748,4058,191,3,2.25727408727567,0.0635829685317336,
hh,multi_season,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-0.0458444910247767,"",0.763953040800616,-4.58444910247767,-6.00095667879429,0.031004442570707,0.140891766992751,9748,4058,191,3,0.424671810433918,0.0487606774155996,
hh,grows_staple,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,-0.0116141520559077,"",0.911566589684373,-1.16141520559077,-1.27408707025222,0.0137135675479258,0.398110985098333,9748,4058,191,3,0.283937845687468,0.0112380719093473,
hh,grows_cashcrop,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.00167251972198887,"",0.20121247113164,0.167251972198887,0.831220705447553,0.0166459837683056,0.920072479992393,9748,4058,191,3,0.400925779169451,0.0301304607169661,
hh,grows_horticulture,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.0279748719508666,"",0.376154734411085,2.79748719508666,7.43706496069087,0.0303962567013575,0.358562459921726,9748,4058,191,3,0.484442910384609,0.0471802494349977,
hh,crop_simpson_diversity,Cropping,tx_lin_int_nocmig_cfx_blk_khanna_full,25,0.0342139047744739,"",0.218716540701697,3.42139047744739,15.6430348910546,0.0298079199562961,0.252649212215116,2928,2209,191,3,0.24889091239525,0.0448677357369752,
