dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.00541385704397252,*,0.625192530622425,0.541385704397252,0.86595037189306,0.00302072910512461,0.0740640844157199,939,313,313,3,0.309931118936912,0.00959205146172448,
census,amen_water_traditional,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.00769635750612295,***,0.356317561394895,-0.769635750612295,-2.15997142436472,0.00286387767558843,0.00758750479529867,939,313,313,3,0.306284498998786,0.0203844711733827,
census,amen_cooking_wood,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.00364016046273484,"",0.709958747051805,0.364016046273484,0.51272844765292,0.0042070972770148,0.387570353074871,939,313,313,3,0.281825699113915,0.143883943312875,
census,amen_cooking_kerosene,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.00690427365418075,***,0.0276989405122722,-0.690427365418075,-24.9261290377578,0.00139041530598218,1.12948471463676e-06,939,313,313,3,0.0735932122935056,0.213345942828871,
census,amen_cooking_lpg,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.0170652981079247,***,0.171366749100857,1.70652981079247,9.95834851128617,0.00415940643525998,5.2141800848836e-05,939,313,313,3,0.241348819223786,0.187962298756961,
census,amen_cooking_biogas,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.000415275292255646,"",0.016672790090558,0.0415275292255646,2.49073664335774,0.000636332025901342,0.514489649244819,939,313,313,3,0.0281486435381437,0.021388671375334,
census,amen_cooking_electric,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.00060630257940201,***,0.00265997205491977,0.060630257940201,22.7935695144097,0.000108057251530635,4.44255834603682e-08,626,313,313,2,0.010245603811387,0.0731480071156856,
census,amen_cooking_modern,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.0181362306419612,***,0.189654412907767,1.81362306419612,9.56277808878679,0.0039603639960337,6.74516965366114e-06,939,313,313,3,0.245067322847228,0.198113122204885,
census,amen_cooking_traditional,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.0176859951778571,***,0.805589175763796,-1.76859951778571,-2.19541122323157,0.00401346976079736,1.44537244924823e-05,939,313,313,3,0.243938164415082,0.199524087021584,
census,amen_lighting_electricity,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.00820253149113503,*,0.678715522521455,-0.820253149113503,-1.20853748278252,0.00454508426667153,0.0720851302175373,939,313,313,3,0.34951286517809,0.191113695677328,
census,amen_lighting_kerosene,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.00858239654745141,**,0.297063903651657,0.858239654745141,2.88907418301326,0.00433939316596301,0.048832362918487,939,313,313,3,0.341786217435051,0.190835025840166,
census,amen_lighting_biogas,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-7.66412880200168e-05,"",0.001751522576041,-0.00766412880200168,-4.37569512767861,4.96731495379992e-05,0.123865808251221,939,313,313,3,0.00236530988968525,0.00301180887669428,
census,amen_lighting_others,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.00160171032958991,"",0.0481171957975878,0.160171032958991,3.32876906694177,0.00207236900789707,0.440173446288213,939,313,313,3,0.127854691182229,0.0526324348119323,
census,amen_toilet_modern,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.0104357933309057,**,0.40502936059628,-1.04357933309057,-2.57655230611979,0.00502385314278476,0.0385964204414834,939,313,313,3,0.299824917258869,0.0438420653101566,
census,amen_toilet_ordinary,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.0299925049772964,***,0.29800076532167,2.99925049772964,10.0645731378984,0.00672992674518549,1.16245961432155e-05,939,313,313,3,0.182696740340858,0.0834958675295737,
census,amen_toilet_none,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,-0.0191493823618528,***,0.289628103906663,-1.91493823618528,-6.61171416155938,0.00499918396256396,0.000154602734041017,939,313,313,3,0.279319272360086,0.19570712276371,
census,amen_toilet_any,Amenities,tx_lin_int_nocmig_cfx_blk_none,100,0.019586496239708,***,0.704312720543224,1.9586496239708,2.78093745411858,0.00497935610231903,0.000103201166666808,939,313,313,3,0.283463769887996,0.198989205642827,
census,amen_assets_radio,Assets,tx_lin_int_nocmig_cfx_blk_none,100,0.00515533813968527,"",0.465744379516754,0.515533813968527,1.10690292066097,0.00411695343659759,0.211426979667932,626,313,313,2,0.171892613929443,0.0248530998969441,
census,amen_assets_tv,Assets,tx_lin_int_nocmig_cfx_blk_none,100,-0.0159099793417314,***,0.413180677357186,-1.59099793417314,-3.85061069251734,0.00355483432281467,1.06942124491843e-05,626,313,313,2,0.204218618862764,0.0682404304717657,
census,amen_assets_landline,Assets,tx_lin_int_nocmig_cfx_blk_none,100,-0.00170677922329941,**,0.0411654628269488,-0.170677922329941,-4.1461436507452,0.000819951608041626,0.0381975744674933,626,313,313,2,0.0537621563214499,0.163011623744297,
census,amen_assets_mobile,Assets,tx_lin_int_nocmig_cfx_blk_none,100,-0.00274343359495376,"",0.798030175235375,-0.274343359495376,-0.343775671658606,0.00329360035973588,0.405505098257195,626,313,313,2,0.172956726240201,0.142062729636255,
census,amen_assets_computer,Assets,tx_lin_int_nocmig_cfx_blk_none,100,0.00303311450947904,***,0.0767420948508957,0.303311450947904,3.95234781559216,0.000956053116500657,0.00166157915559552,626,313,313,2,0.0954830977270498,0.198649217986454,
census,amen_assets_internet,Assets,tx_lin_int_nocmig_cfx_blk_none,100,0.000632639884884044,"",0.181602034808946,0.0632639884884044,0.348366077257676,0.00463489764256552,0.89151808803794,626,313,313,2,0.21959328344021,0.138936743201653,
census,amen_assets_cycle,Assets,tx_lin_int_nocmig_cfx_blk_none,100,5.41419197855342e-05,"",0.236321082858123,0.00541419197855342,0.0229103214705726,0.00101141383868441,0.957343149317558,626,313,313,2,0.301719115365936,0.0538688217549048,
census,amen_assets_motorcycle,Assets,tx_lin_int_nocmig_cfx_blk_none,100,0.0132742700017366,***,0.134385264314965,1.32742700017366,9.87777199338244,0.00198496739987048,1.04963543778955e-10,626,313,313,2,0.138074210974563,0.0981325105735495,
