dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00931945912177974,"",0.608945191349095,-0.931945912177974,-1.53042658915375,0.00807339744710949,0.249049303245885,1203,401,401,3,0.318723152342788,0.111842844530557,
census,amen_water_traditional,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0158548824717702,**,0.373728637767356,1.58548824717702,4.24235150040598,0.00778585415003467,0.04237137765577,1203,401,401,3,0.315228702251807,0.0933234516266395,
census,amen_cooking_wood,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0177096428810148,*,0.712157854582553,1.77096428810148,2.4867580645299,0.0107392296125992,0.0999202653651964,1203,401,401,3,0.282105539939607,0.250093285460214,
census,amen_cooking_kerosene,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0023147199706762,"",0.0251420605621556,0.23147199706762,9.20656429473553,0.00272583514618709,0.396290029305997,1203,401,401,3,0.0676088400599599,0.434209661111273,
census,amen_cooking_lpg,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0129101812947054,"",0.157607921744222,1.29101812947054,8.19132766413673,0.00874510883982782,0.140656993332044,1203,401,401,3,0.229010135128636,0.270648175399747,
census,amen_cooking_biogas,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00234423781436573,**,0.0156021220970677,0.234423781436573,15.0251215814181,0.00118959127129342,0.0494559901076814,1203,401,401,3,0.0270938141164293,0.0694418303736853,
census,amen_cooking_electric,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.000710328539003126,**,0.00246086673954468,0.0710328539003126,28.8649737748316,0.000298824901077127,0.0179201739472881,802,401,401,2,0.00914492683344314,0.163686917122111,
census,amen_cooking_modern,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0152793755733017,*,0.174709398491137,1.52793755733017,8.74559451595661,0.0082707799916938,0.0654285171391814,1203,401,401,3,0.233039709239164,0.290230364336338,
census,amen_cooking_traditional,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0144739903693611,*,0.820432532041599,-1.44739903693611,-1.76419020505482,0.00825891433283523,0.0804489652388297,1203,401,401,3,0.23182097213417,0.291506552324925,
census,amen_lighting_electricity,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00349273832173282,"",0.666303596594586,0.349273832173282,0.52419622820346,0.00861464417772011,0.685369431703906,1203,401,401,3,0.355497639308858,0.387444633282446,
census,amen_lighting_kerosene,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00708489532477873,"",0.308255297117672,-0.708489532477873,-2.29838558851242,0.00824488364336132,0.390685232277066,1203,401,401,3,0.348621803864556,0.386840016084677,
census,amen_lighting_biogas,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.000103748158851583,"",0.00180031749979106,0.0103748158851583,5.76277011491717,0.000147815574852787,0.483164870422536,1203,401,401,3,0.00260094435326343,0.0384783249079959,
census,amen_lighting_others,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.012677735232546,**,0.0504724315283475,1.2677735232546,25.1181384543077,0.00549072984722684,0.0214561599471293,1203,401,401,3,0.134140601781393,0.087346560460216,
census,amen_toilet_modern,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0217425803769412,*,0.389194489021544,-2.17425803769412,-5.58655916007527,0.0113439211151263,0.0559917916512242,1203,401,401,3,0.30119808555121,0.154423870657651,
census,amen_toilet_ordinary,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0860381659375042,***,0.28695741245915,8.60381659375042,29.982904152982,0.0131432100728254,1.81273838973213e-10,1203,401,401,3,0.186732884966432,0.326668121264813,
census,amen_toilet_none,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0642323549114926,***,0.316326750469055,-6.42323549114926,-20.3056980847328,0.00881103116142342,1.67108298439163e-12,1203,401,401,3,0.296565006014603,0.437550069599404,
census,amen_toilet_any,Amenities,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0650449888212619,***,0.677514629269966,6.50449888212619,9.60052905298134,0.00874378313280814,6.25014854220143e-13,1203,401,401,3,0.300687019873904,0.441550332372782,
census,amen_assets_radio,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00659234009052616,"",0.457705807814622,0.659234009052615,1.44030072985138,0.00779337560333329,0.398119725884007,802,401,401,2,0.177854629698716,0.0584610614802144,
census,amen_assets_tv,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00135637188535344,"",0.397191506776869,-0.135637188535344,-0.341490656827014,0.00610005426670979,0.824151751684512,802,401,401,2,0.202182577384957,0.115846217463675,
census,amen_assets_landline,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0025419877233683,"",0.0368938375572151,0.25419877233683,6.89000627659341,0.00164722047522458,0.123573418481076,802,401,401,2,0.0498840817808509,0.289307667542001,
census,amen_assets_mobile,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.025593902767527,***,0.785024536093198,2.5593902767527,3.26026787581688,0.00577828830527337,1.22166891031593e-05,802,401,401,2,0.179575401270195,0.247711694721972,
census,amen_assets_computer,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00280694180835446,"",0.0691932069856468,-0.280694180835446,-4.05667251257299,0.00192996305737175,0.14661914483048,802,401,401,2,0.0885758249456326,0.28550456918319,
census,amen_assets_internet,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0243441168602707,***,0.16933499384169,-2.43441168602707,-14.3763059884892,0.00938992773688227,0.00987506519241551,802,401,401,2,0.208457799309064,0.229281523442442,
census,amen_assets_cycle,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00367442187138328,"",0.250265749257149,0.367442187138328,1.46820804776118,0.00266299375240399,0.168416337323003,802,401,401,2,0.313551604195727,0.129967484544714,
census,amen_assets_motorcycle,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0155661330936425,***,0.131860852705922,1.55661330936425,11.8049692340139,0.0046336677291854,0.000856263671584222,802,401,401,2,0.135772930309602,0.238066653924266,
census,amen_assets_car,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00213848054688285,***,0.0150158344865028,-0.213848054688285,-14.2415031865532,0.000717932362233669,0.00307143845328564,802,401,401,2,0.0180190535994542,0.327468912014017,
census,amen_assets_fridge,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00351327232806521,"",0.102113639026135,-0.35132723280652,-3.4405514890778,0.00539320107026798,0.515145496938418,802,401,401,2,0.142754671759728,0.171858836007462,
census,amen_assets_none,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00390564137936396,"",0.0951266632577124,0.390564137936396,4.10572729622924,0.00302754044784899,0.197782853053069,802,401,401,2,0.0772816187795596,0.201030313944655,
census,amen_asset_count_mean,Assets,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0898753820316497,***,2.95665686724969,8.98753820316497,3.03976369484,0.0273167296751242,0.00109022090696528,802,401,401,2,1.32801346481541,0.186381760890607,
census,edu_literate,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00675570850800514,***,0.651504369627357,0.675570850800514,1.03693986148845,0.00251573119087634,0.00754610245638018,1203,401,401,3,0.14461900855669,0.278063103964668,
census,edu_literate_female,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0102305816382609,***,0.564283368248319,1.02305816382609,1.81302200524168,0.00293726692631814,0.000550518966110098,1203,401,401,3,0.163229508814505,0.271547031241138,
census,edu_literate_male,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00396359230235814,*,0.746709902264311,0.396359230235814,0.530807518467213,0.00236764498902792,0.0948994585458365,1203,401,401,3,0.129107038952799,0.284955573869121,
census,edu_school_attend_6_16,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0090249550960133,***,0.852009875959683,0.90249550960133,1.05925475169496,0.00270644129069329,0.000933880795345472,1203,401,401,3,0.11110095580692,0.3021864124395,
census,edu_school_attend_6_16_female,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0153753676090292,***,0.836427430264626,1.53753676090292,1.83821895991202,0.00346532027625974,1.18127971732572e-05,1203,401,401,3,0.136200974227446,0.336557425925871,
census,edu_school_attend_6_16_male,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00273181115472041,"",0.867120487217033,0.273181115472041,0.315044010030023,0.00223302979891075,0.22191195023043,1203,401,401,3,0.0892000783774043,0.22494135839247,
census,edu_attain_primary_plus,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00887451474315846,**,0.84775154238952,-0.887451474315846,-1.04682967820315,0.00409675673782446,0.0308836978854996,1203,401,401,3,0.115992464028622,0.0871571473767913,
census,edu_attain_secondary_plus,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0118594992426638,***,0.561061000946156,-1.18594992426638,-2.11376289256681,0.00329121462315775,0.000353705432159839,1203,401,401,3,0.14544100209698,0.184060732638937,
census,edu_attain_higher_secondary_plus,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00127496207102935,"",0.131131955695741,-0.127496207102935,-0.972274122096963,0.00189823841642525,0.50219081787937,1203,401,401,3,0.0825875525094638,0.231454778760333,
census,edu_attain_tertiary,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.000959831690888976,"",0.0528843594223643,-0.0959831690888976,-1.81496325449122,0.00110424843548278,0.385249618332993,1203,401,401,3,0.0449269689499129,0.239643105341514,
census,edu_years_mean,Education,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0283197023035581,"",7.19385240975626,-2.83197023035581,-0.393665322701799,0.0311858334640705,0.364374756430507,1203,401,401,3,1.48524206429654,0.170180349428348,
census,housing_own,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00320447408818888,*,0.90515269521185,0.320447408818888,0.354025801960285,0.00193692975359515,0.0988288607843009,1203,401,401,3,0.105968033780211,0.18380177625425,
census,housing_rented,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00349579547645371,**,0.0730645491189431,-0.349579547645371,-4.78453027988011,0.00166733184960029,0.0366529442626871,1203,401,401,3,0.0988877853653747,0.227545547556515,
census,housing_foundation_modern,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0188819034658662,***,0.285935657520562,1.88819034658662,6.60354977395863,0.00710622511182354,0.0081974065324037,802,401,401,2,0.271576396624524,0.151226257886797,
census,housing_foundation_traditional,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0189533148508107,***,0.709541249424963,-1.89533148508107,-2.67120690533089,0.00706186931120236,0.00757922318552928,802,401,401,2,0.271364436064919,0.144990111452831,
census,housing_roof_modern,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.00314065506412167,"",0.65046220202667,-0.314065506412167,-0.48283436829015,0.00909337948630384,0.729991615003923,802,401,401,2,0.305392778644576,0.203381961674757,
census,housing_roof_traditional,Housing,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0243987890118123,***,0.151077310528634,2.43987890118123,16.1498698424261,0.00873928074453636,0.00549204001189402,802,401,401,2,0.201819240064634,0.203998188059134,
census,fem_ownership_house,Female Ownership,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00149003588783806,"",0.0966445446126412,0.149003588783806,1.54176926779492,0.00202517062646106,0.462309076089302,1203,401,401,3,0.0542489408325164,0.116634475102349,
census,fem_ownership_land,Female Ownership,tx_log_int_cmig_cfx_blk_blockA_only,50,0.000953113795124045,"",0.176700135037806,0.0953113795124045,0.539396189437048,0.00233013831946723,0.682731109685782,1203,401,401,3,0.0768005517017975,0.136979671315825,
census,fem_ownership_both,Female Ownership,tx_log_int_cmig_cfx_blk_blockA_only,50,0.000952347291774591,"",0.0879651204372117,0.0952347291774591,1.08264194608176,0.00167287563837783,0.569480538786697,1203,401,401,3,0.0493868362868126,0.141978569179991,
census,fem_ownership_livestock,Female Ownership,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00421953707494491,"",0.0817618072705584,0.421953707494491,5.1607678643673,0.0028106573823667,0.134076390104431,401,401,401,1,0.0443823196688202,,1-year outcome: cross-section (no entity FE)
census,ent_has_nonagro,Enterprise,tx_log_int_cmig_cfx_blk_blockA_only,50,-0.0100225330365365,**,0.13638318835066,-1.00225330365365,-7.34880387952745,0.00462279972178033,0.0307427156850268,802,401,401,2,0.0833327910328896,0.239389883487982,
census,ent_cottage,Enterprise,tx_log_int_cmig_cfx_blk_blockA_only,50,0.0133227135026183,***,0.0592501427061263,1.33227135026183,22.4855382521143,0.00425703677800518,0.0018789498497522,802,401,401,2,0.0760908192323309,0.0528628323050699,
census,ent_trade,Enterprise,tx_log_int_cmig_cfx_blk_blockA_only,50,0.00478668927145946,"",0.163034311782794,0.478668927145946,2.93600115160827,0.0044790056971219,0.285851804447946,802,401,401,2,0.137929059016283,0.0838607835042615,
