dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.00619976947119784,"",0.951999332164621,-0.619976947119784,-0.651236745838995,0.0215813194268343,0.774214973766256,11844,4130,191,3,0.213776562717466,0.00823208065821945,
hh,n_plots_owned,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,0.00480965651260421,"",1.81348225758624,0.480965651260421,0.265216629083866,0.00925325992553705,0.603822174748348,9967,3525,191,3,1.19073799017918,0.021280178913868,
hh,total_owned_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,-29.4076969585367,"",5408.33183677302,-2940.76969585367,-0.543748014102686,45.4702152710627,0.518576621534686,9967,3525,191,3,6970.53204680879,0.00200678183295711,
hh,cultivated_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,-262.915424377951,*,4358.97543523603,-26291.5424377951,-6.03158765825242,150.98636070636,0.0832462445885044,9967,3525,191,3,5888.13815298297,0.00180017935747179,
hh,cultivated_area_total_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,-134.34099693558,"",3844.67680924866,-13434.099693558,-3.49420779953239,137.290283023254,0.329062521538482,11844,4130,191,3,5706.56108613098,0.00230762796175388,
hh,rented_in_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_blockA_only,25,491.431296658994,"",1214.67640975573,49143.1296658994,40.4577954023014,394.821953571531,0.215186587913153,1502,719,161,3,3090.75849272239,0.034398055423423,
hh,share_self_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0374333430477393,**,0.842604068039324,-3.74333430477393,-4.44257801114631,0.0178837196178151,0.0376631241180742,9959,3523,191,3,0.322221099198865,0.00817090101503915,
hh,share_rented_out_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,0.0167020935524791,"",0.0711100559956446,1.67020935524791,23.4876675578797,0.0129421206861995,0.198437655328419,9967,3525,191,3,0.237335339452482,0.00296784403406858,
hh,share_fallow_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,0.0137396759591439,"",0.0771898017953513,1.37396759591439,17.7998591000028,0.0140816651194582,0.330446906228794,9959,3523,191,3,0.220742884823853,0.0144347336843045,
hh,share_self_dry,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0560404669395875,"",0.65449772265852,-5.60404669395875,-8.56236240394472,0.0416973262161355,0.180556766592207,9959,3523,191,3,0.430397057132127,0.0202476694639311,
hh,share_fallow_dry,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,0.0460662975783041,"",0.277594868887282,4.60662975783041,16.5947943357013,0.0425962723901541,0.280861863785127,9959,3523,191,3,0.403206951549677,0.0255059401534355,
hh,share_both_seasons,Land use — wet/dry,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0587492372555634,"",0.64833819484502,-5.87492372555634,-9.06151106362119,0.0395456693850583,0.139041008637628,9959,3523,191,3,0.432893124656754,0.0185073555032865,
hh,n_crops_total,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.675800606581296,**,3.51664742109315,-67.5800606581296,-19.217184029533,0.26011578891966,0.0101095913298276,9748,4058,191,3,2.25727408727567,0.0266505602159851,
hh,multi_season,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0210616177048854,"",0.763953040800616,-2.10616177048854,-2.75692569831426,0.0448999858486049,0.639551328379972,9748,4058,191,3,0.424671810433918,0.0209580043042549,
hh,grows_staple,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.00401639147507296,"",0.911566589684373,-0.401639147507296,-0.440603190213852,0.0201243556912943,0.842023568394895,9748,4058,191,3,0.283937845687468,0.00324998401512255,
hh,grows_cashcrop,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0482922027940954,"",0.20121247113164,-4.82922027940954,-24.0006012164629,0.0369019644105148,0.192229549855288,9748,4058,191,3,0.400925779169451,0.00914490472044571,
hh,grows_horticulture,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.185278426729672,***,0.376154734411085,-18.5278426729672,-49.2559071520787,0.0539394967742524,0.000727764594407203,9748,4058,191,3,0.484442910384609,0.0258465958553022,
hh,crop_simpson_diversity,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.1252379074077,***,0.218716540701697,-12.52379074077,-57.2603731779525,0.0375296878885775,0.00103891575511985,2928,2209,191,3,0.24889091239525,0.0264242312200995,
hh,staple_value_share,Cropping,tx_log_int_cmig_cfx_blk_blockA_only,25,0.026135015194036,"",0.553494870453179,2.6135015194036,4.72181705543861,0.0451379324196794,0.56334880417383,2928,2209,191,3,0.467824499239452,0.0313994633902175,
hh,food_exp_total_7day,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,1.56208306319217,"",2282.24373403456,156.208306319218,0.0684450586892714,119.927258900696,0.989621311068887,11844,4130,191,3,1191.31118969491,0.00769778474037197,
hh,food_exp_protein_7day,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,-13.0483788026529,"",723.57801152016,-1304.83788026529,-1.80331333939234,67.6317995691125,0.847217830383219,11844,4130,191,3,599.735388118167,0.00783961155581003,
hh,food_exp_staples_7day,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,-13.3984804041279,"",649.701853243176,-1339.84804041279,-2.06225060575794,41.296266941039,0.745956000292646,11844,4130,191,3,412.762575285629,0.0107271981891719,
hh,food_insec_any,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,0.000392322576643942,"",0.120043409299608,0.0392322576643942,0.326817256301654,0.0332150697830144,0.990588331883714,11844,4130,191,3,0.325025857587435,0.0117067997136429,
hh,food_insec_score,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,-0.0458814743445407,"",0.764754987895484,-4.58814743445407,-5.99949984906946,0.221910670185523,0.836421431158355,11844,4130,191,3,2.40131801963319,0.00903524007761158,
hh,food_insec_worried,Consumption — food,tx_log_int_cmig_cfx_blk_blockA_only,25,0.000258007280428296,"",0.12012688872193,0.0258007280428296,0.214778958460776,0.0332985715803669,0.993825943310763,11844,4130,191,3,0.325123428163192,0.0115737040780377,
hh,nonfood_exp_30day,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,194.500342962707,"",1785.41080223725,19450.0342962707,10.893870627364,405.347438965931,0.631895831363726,11844,4130,191,3,4736.63024352799,0.00419824194215768,
hh,nonfood_exp_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,44312.7205825012,"",97931.8133650555,4431272.05825012,45.2485449414879,32679.1604359938,0.176710686659943,11844,4130,191,3,236354.566877558,0.00597168933005554,
hh,nonfood_communication_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,-334.280046390534,"",1087.60614408548,-33428.0046390534,-30.7353951803586,372.776332294955,0.370997326318656,11844,4130,191,3,5612.56964674425,0.00448580694912981,
hh,nonfood_transport_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,7501.08751251828,"",13757.1710743802,750108.751251828,54.5249271958788,9101.16487492096,0.410865132433927,11844,4130,191,3,108746.966426205,0.00119371780710653,
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,-123.282898556792,"",540.227982302362,-12328.2898556792,-22.8205318116586,276.19851561828,0.655848309602828,11844,4130,191,3,3303.30051472227,0.0031062600446401,
hh,nonfood_ceremonies_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,1275.04796326051,"",26690.8276984723,127504.796326051,4.77710162331716,6795.09989404245,0.851357325993355,11844,4130,191,3,77539.6847599501,0.00275627054448924,
hh,nonfood_fuel_lighting_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,646.546363943175,"",4760.19350530094,64654.6363943175,13.5823546505658,542.353212112613,0.234703701997517,11844,4130,191,3,4518.01522984218,0.027848870514074,
hh,nonfood_clothing_footwear_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_blockA_only,25,2636.3069892108,**,12151.0350613574,263630.69892108,21.6961516109419,1200.45005845783,0.0292954712334111,11844,4130,191,3,9186.72889092836,0.0160750255663873,
