dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.00136618552933471,"",0.608945191349095,-0.136618552933471,-0.224352790488087,0.00822604489892174,0.868177523899766,1203,401,401,3,0.318723152342788,0.300870207711718,
census,amen_water_traditional,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00791118327389164,"",0.373728637767356,0.791118327389164,2.11682554517439,0.00783925648982725,0.313500683188498,1203,401,401,3,0.315228702251807,0.289168252767976,
census,amen_cooking_wood,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00741165745936838,"",0.712157854582553,0.741165745936838,1.04073238983131,0.0104360293162565,0.47799458102914,1203,401,401,3,0.282105539939607,0.467586300424783,
census,amen_cooking_kerosene,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00335168506731857,*,0.0251420605621556,0.335168506731857,13.3309879635068,0.00176114877512339,0.057741971719182,1203,401,401,3,0.0676088400599599,0.78450657938888,
census,amen_cooking_lpg,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.000345849104102268,"",0.157607921744222,0.0345849104102268,0.219436371138463,0.00829600988746546,0.966767736269081,1203,401,401,3,0.229010135128636,0.606159251683742,
census,amen_cooking_biogas,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00154056346277907,"",0.0156021220970677,0.154056346277907,9.8740636254129,0.00105811206260229,0.146189497890313,1203,401,401,3,0.0270938141164293,0.193990262968322,
census,amen_cooking_electric,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.000237746587822607,"",0.00246086673954468,0.0237746587822607,9.66109151715365,0.000286910148276784,0.407799625845666,802,401,401,2,0.00914492683344314,0.378884195625835,
census,amen_cooking_modern,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00147226900555259,"",0.174709398491137,0.147226900555259,0.84269593866599,0.00776292376831554,0.849676524288976,1203,401,401,3,0.233039709239164,0.625200682254954,
census,amen_cooking_traditional,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.00121003855101324,"",0.820432532041599,-0.121003855101324,-0.147487880326019,0.00785036052044852,0.877578695992798,1203,401,401,3,0.23182097213417,0.621547931801666,
census,amen_lighting_electricity,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00454806567202662,"",0.666303596594586,0.454806567202662,0.682581588223649,0.00318119382215049,0.153591561658569,1203,401,401,3,0.355497639308858,0.837361222378116,
census,amen_lighting_kerosene,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.00887111815266955,***,0.308255297117672,-0.887111815266955,-2.8778477565896,0.00334458005432693,0.00831053728812585,1203,401,401,3,0.348621803864556,0.848427842058603,
census,amen_lighting_biogas,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,9.94175121271389e-05,"",0.00180031749979106,0.00994175121271389,5.52222106037834,0.000159259349914833,0.532819845012438,1203,401,401,3,0.00260094435326343,0.0797451195791684,
census,amen_lighting_others,Amenities,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00898661911595857,*,0.0504724315283475,0.898661911595857,17.8050053144582,0.00495224302762938,0.070325658076344,1203,401,401,3,0.134140601781393,0.395920581840814,
