dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00796808901083688,"",0.951713102409639,0.796808901083688,0.837236451895272,0.0233603852998407,0.733458970878512,10509,3657,169,3,0.214381900187361,0.0528680320336737,
hh,n_plots_owned,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,0.000164571402272905,"",1.8288799821866,0.0164571402272905,0.00899848015593371,0.0119587204690729,0.989036488927804,8856,3124,169,3,1.20589376482017,0.0433836443077991,
hh,total_owned_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,-41.8185759001862,"",5484.48552872763,-4181.85759001862,-0.762488581310705,65.355044151193,0.523130311389077,8856,3124,169,3,6981.54368462641,0.00893070282171971,
hh,cultivated_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,-42.2447799724322,"",4413.93825962081,-4224.47799724322,-0.957076820917322,170.149723367415,0.804220966913384,8856,3124,169,3,5834.53061055234,0.00559012335807407,
hh,cultivated_area_total_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,0.986531556293713,"",3880.70484578466,98.6531556293713,0.0254214529446967,154.602355780553,0.994916232232042,10509,3657,169,3,5630.27824724116,0.00823143257770775,
hh,rented_in_area_sqm,Land — agriculture,tx_log_int_cmig_cfx_blk_khanna_full,50,264.994980275753,"",1128.82655756212,26499.4980275753,23.4752609690591,486.68829981396,0.587047030738867,1305,628,140,3,2531.26843681017,0.175249814544335,
hh,share_self_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0374334638985569,*,0.842892823981961,-3.74334638985569,-4.44107042241921,0.0193571604573094,0.0548147327300522,8848,3123,169,3,0.321071217018462,0.0160879607094131,
hh,share_rented_out_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,0.0231969166147409,"",0.0719684298049361,2.31969166147409,32.2320726985624,0.0150050056690203,0.12399945335763,8856,3124,169,3,0.237800819018579,0.00700229619192017,
hh,share_fallow_wet,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,0.0092340527726243,"",0.0757938497590308,0.92340527726243,12.1831161789273,0.0146951525610161,0.530612258143708,8848,3123,169,3,0.217212826143355,0.0250131388873003,
hh,share_self_dry,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0760688628457456,*,0.655848080888471,-7.60688628457456,-11.5985492772497,0.0388134643143348,0.0516667937641243,8848,3123,169,3,0.429448480126574,0.0471312340489675,
hh,share_fallow_dry,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,0.0592280273776072,"",0.275300369392291,5.92280273776072,21.5139658215314,0.0390522618823558,0.13123825635672,8848,3123,169,3,0.401504326381559,0.0581104823639713,
hh,share_both_seasons,Land use — wet/dry,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0775140595875995,**,0.649820225735268,-7.75140595875995,-11.9285390816964,0.0384257586585793,0.0452622784552275,8848,3123,169,3,0.431942688938914,0.0445842811284949,
hh,n_crops_total,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.3060655755974,"",3.54146816803811,-30.60655755974,-8.64233592044265,0.253198964980766,0.228440267099642,8671,3600,169,3,2.26642157985992,0.0706817125351875,
hh,multi_season,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0356374326884771,"",0.764183629276743,-3.56374326884771,-4.66346455526742,0.0400019586308695,0.374261101548971,8671,3600,169,3,0.424530945284999,0.0543028397495369,
hh,grows_staple,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.00871057336756416,"",0.91056734517107,-0.871057336756416,-0.956609460437843,0.02171350809024,0.68881269618593,8671,3600,169,3,0.285382678352335,0.013190076268319,
hh,grows_cashcrop,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00431977763215483,"",0.20560848852317,0.431977763215483,2.10097241761885,0.0394003053486394,0.912827185588562,8671,3600,169,3,0.404167445920105,0.0329098532326783,
hh,grows_horticulture,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0908150312881816,*,0.381117366825466,-9.08150312881816,-23.8286258232286,0.0526914476464341,0.0866333597943931,8671,3600,169,3,0.485687615729516,0.046244132487515,
hh,crop_simpson_diversity,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.136607446319113,***,0.220573613441766,-13.6607446319113,-61.9328142598428,0.0373103338281213,0.000347042068855296,2618,1968,169,3,0.249885595690561,0.0574097242235026,
hh,staple_value_share,Cropping,tx_log_int_cmig_cfx_blk_khanna_full,50,0.00888956021120326,"",0.549480513389996,0.888956021120326,1.61781173209574,0.0557261886635389,0.87347212381062,2618,1968,169,3,0.469153419921592,0.064846210756077,
hh,food_exp_total_7day,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-154.347418078407,"",2307.51674887048,-15434.7418078407,-6.68889697784251,118.978884910331,0.196317860150227,10509,3657,169,3,1199.04132379575,0.0440981756679948,
hh,food_exp_protein_7day,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-27.4184430748941,"",737.136907003012,-2741.84430748941,-3.71958625520049,69.5328074525953,0.693842070468672,10509,3657,169,3,597.368740192583,0.0194878090722777,
hh,food_exp_staples_7day,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-71.0370176141295,**,657.126741340362,-7103.70176141295,-10.8102460522658,32.4526438168178,0.0299804552881883,10509,3657,169,3,424.375514318,0.062778081491947,
hh,food_insec_any,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0449219880969776,"",0.120670180722892,-4.49219880969776,-37.2270828036108,0.0330175671068981,0.175479115237707,10509,3657,169,3,0.325758924369377,0.047617114964713,
hh,food_insec_score,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.174929033754673,"",0.768072289156627,-17.4929033754673,-22.7750741986476,0.229024192496397,0.446056863538692,10509,3657,169,3,2.39921639362598,0.0457590314069949,
hh,food_insec_worried,Consumption — food,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0448717991241698,"",0.120764307228916,-4.48717991241698,-37.1565077081201,0.0330473212037511,0.176346658131699,10509,3657,169,3,0.325868508219041,0.0472050537146888,
hh,nonfood_exp_30day,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,-105.426019173247,"",1809.11455195783,-10542.6019173247,-5.82749273997907,709.167119429824,0.881998844181186,10509,3657,169,3,4937.22048182876,0.0201628041188653,
hh,nonfood_exp_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,27750.245524019,"",98999.6704913404,2775024.5524019,28.0306443307266,32710.8610921702,0.397450415467678,10509,3657,169,3,242980.473686109,0.0223742198833716,
hh,nonfood_communication_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,-20.4585046054725,"",1032.56984186747,-2045.85046054725,-1.98131920727725,401.358507280134,0.959407476282347,10509,3657,169,3,3828.35278096847,0.0116927158074214,
hh,nonfood_transport_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,576.526557279291,"",14330.6407473645,57652.6557279291,4.02303405299808,13989.5926212176,0.967176537289147,10509,3657,169,3,114558.458098552,0.00545075074342494,
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,-405.924476432775,"",521.009789156627,-40592.4476432775,-77.911103568679,278.651223086001,0.147052564146057,10509,3657,169,3,3245.64102510443,0.00710765207894404,
hh,nonfood_ceremonies_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,1851.78999712998,"",27291.3228539157,185178.999712998,6.78527020123646,4932.98683702392,0.707844558124182,10509,3657,169,3,70646.5966354098,0.00716629626730603,
hh,nonfood_fuel_lighting_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,349.416532158292,"",4835.4469126506,34941.6532158292,7.22614762337978,444.667842607654,0.43309609024593,10509,3657,169,3,4595.81713237067,0.0560563570190451,
hh,nonfood_clothing_footwear_12m,Consumption — non-food,tx_log_int_cmig_cfx_blk_khanna_full,50,988.604541143667,"",12368.9598079819,98860.4541143667,7.99262473555538,1165.69123600199,0.397597659427607,10509,3657,169,3,9396.16551797078,0.0827758153389205,
hh,any_enrolled,Education spending,tx_log_int_cmig_cfx_blk_khanna_full,50,-0.0230476741347123,*,0.653721682847896,-2.30476741347123,-3.52560955823075,0.013240168617373,0.0835602375001785,10274,3657,169,3,0.475805835372829,0.0112131774546866,
