dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.00115770437778784,"",0.564873935368685,0.115770437778784,0.204949158617529,0.00588642299746946,0.844138966290672,2142,714,714,3,0.324800567674477,0.0131492468762855,
census,amen_water_traditional,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.00308607872158739,"",0.419204984125423,0.308607872158739,0.736174148316916,0.00582913113353635,0.596676527418608,2142,714,714,3,0.320701296950645,0.0112210987313819,
census,amen_cooking_wood,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.0225546820373117,***,0.749112032738296,2.25546820373117,3.01085565998261,0.00647820920676728,0.000528762050972786,2142,714,714,3,0.270511028040459,0.0548380528965326,
census,amen_cooking_kerosene,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.00793819537760073,***,0.0185194230902063,0.793819537760073,42.8641612588824,0.00134278211210348,5.24736180749887e-09,2142,714,714,3,0.0525022964354219,0.029278471979334,
census,amen_cooking_lpg,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.0259210784009089,***,0.114854050877284,-2.59210784009089,-22.568710640084,0.004651490970073,3.5593943233049e-08,2142,714,714,3,0.191936108129906,0.0563107424046769,
census,amen_cooking_biogas,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.00381154404058669,***,0.012798126640631,0.381154404058669,29.7820466042736,0.000818335388928768,3.81515343262412e-06,2142,714,714,3,0.0271256092070207,0.0282346279834603,
census,amen_cooking_electric,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.000659196793465869,***,0.00237492956156754,0.0659196793465869,27.7564776713114,0.000188873586353116,0.000512453167877908,1428,714,714,2,0.00756252039263598,0.0494746640066714,
census,amen_cooking_modern,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.0218122415748022,***,0.129123390605957,-2.18122415748022,-16.8925563931063,0.00465051553286882,3.2702751527457e-06,2142,714,714,3,0.198003549670342,0.0454648970738549,
census,amen_cooking_traditional,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.0220262284222714,***,0.865800801437237,2.20262284222714,2.54402957189548,0.00468140552313013,3.04895585373337e-06,2142,714,714,3,0.196678415957227,0.0471559976090025,
census,amen_lighting_electricity,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.0394035284556148,***,0.621849464358114,3.94035284556148,6.33650597356193,0.0053565526033308,5.21762659611289e-13,2142,714,714,3,0.36880394426875,0.0888536758372511,
census,amen_lighting_kerosene,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.0205056008807225,***,0.322508890687332,-2.05056008807225,-6.35815057284804,0.00768041964176124,0.00776122766280172,2142,714,714,3,0.355554669705146,0.0212584630410306,
census,amen_lighting_biogas,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.00030953619946884,***,0.00177763841863936,0.030953619946884,17.4127761992096,8.7898580574449e-05,0.000456404573235953,2142,714,714,3,0.00322661013209961,0.00508283456312664,
census,amen_lighting_others,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.020082629653798,***,0.090682250764139,-2.0082629653798,-22.1461526203536,0.00774299196408694,0.00969113386387423,2142,714,714,3,0.206672389712942,0.0310760913938946,
census,amen_toilet_modern,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.0175537277726262,**,0.336634870833062,-1.75537277726262,-5.21447101697649,0.00699630610395885,0.0123281055019054,2142,714,714,3,0.293383631246549,0.0262339046891084,
census,amen_toilet_ordinary,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.0636716772440994,***,0.259704638520692,6.36716772440994,24.5169580361678,0.00898716788057334,3.35099292044544e-12,2142,714,714,3,0.191711767289333,0.175192389173163,
census,amen_toilet_none,Amenities,tx_log_int_cmig_cfx_blk_none,0,-0.046075613698097,***,0.395287102648561,-4.6075613698097,-11.6562400820503,0.00540038110611582,8.61044236870269e-17,2142,714,714,3,0.331156431946023,0.245052492734051,
census,amen_toilet_any,Amenities,tx_log_int_cmig_cfx_blk_none,0,0.0468717788873425,***,0.597969062636336,4.68717788873425,7.83849563733171,0.00543592721267944,4.21514841296434e-17,2142,714,714,3,0.335841072172858,0.249850509900848,
