dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.0161188376144877,"",0.951713102409639,-1.61188376144877,-1.69366561978358,0.012004140370941,0.181156839394963,10509,3657,169,3,0.214381900187361,0.013251931930032,
hh,n_plots_owned,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,0.0116604942916984,**,1.8288799821866,1.16604942916984,0.63757569688948,0.00526047619492228,0.0279916394818289,8856,3124,169,3,1.20589376482017,0.0110004056793295,
hh,total_owned_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,-38.2402484514899,"",5484.48552872763,-3824.02484514899,-0.697244039594748,51.3671574590805,0.457644707011697,8856,3124,169,3,6981.54368462641,0.00198419028356556,
hh,cultivated_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,61.5348591296835,"",4413.93825962081,6153.48591296835,1.39410330435772,90.0963831883249,0.495554417728207,8856,3124,169,3,5834.53061055234,0.00137024169626065,
hh,cultivated_area_total_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,100.527389855463,"",3880.70484578466,10052.7389855463,2.59044152674119,78.9335354178362,0.204575062825494,10509,3657,169,3,5630.27824724116,0.00171746589976107,
hh,rented_in_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_blockA_only,50,246.82000588925,**,1128.82655756212,24682.000588925,21.8651841804907,122.825705539684,0.0465690719424924,1305,628,140,3,2531.26843681017,0.0158866459196726,
hh,share_self_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.013242604456646,"",0.842892823981961,-1.3242604456646,-1.57108995116198,0.0087765798548226,0.133213662371473,8848,3123,169,3,0.321071217018462,0.00910717457726973,
hh,share_rented_out_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,0.0125341042150246,**,0.0719684298049361,1.25341042150246,17.416114606081,0.00606983478874558,0.0404609772784148,8856,3124,169,3,0.237800819018579,0.00481410526282733,
hh,share_fallow_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.00136187110154473,"",0.0757938497590308,-0.136187110154473,-1.79680951142406,0.00683448219885085,0.842296649746847,8848,3123,169,3,0.217212826143355,0.0114392651082486,
hh,share_self_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.0759003545984676,***,0.655848080888471,-7.59003545984676,-11.5728560943025,0.0203872456197039,0.000268425335646137,8848,3123,169,3,0.429448480126574,0.0226241546612093,
hh,share_fallow_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,0.063749256676885,***,0.275300369392291,6.3749256676885,23.1562554084499,0.0210580362555773,0.00285642082827526,8848,3123,169,3,0.401504326381559,0.0274587677817044,
hh,share_both_seasons,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.0740405836021076,***,0.649820225735268,-7.40405836021076,-11.3940103231369,0.0201157660397779,0.000313040921810891,8848,3123,169,3,0.431942688938914,0.0212748173177846,
hh,n_crops_total,Cropping,tx_log_int_nocmig_cfx_blk_blockA_only,50,-0.151530258199683,"",3.54146816803811,-15.1530258199683,-4.27874121719488,0.11638913582446,0.194723309418255,8671,3600,169,3,2.26642157985992,0.0206591526153553,
