dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0259540186243141,*,0.95079678957776,2.59540186243141,2.72971247997588,0.0141881853701876,0.0696160391767993,8506,2956,133,3,0.216304638957966,0.0590868924186345,
hh,n_plots_owned,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0186444336302828,**,1.77731730902058,1.86444336302828,1.04902110251529,0.0079916213013018,0.021160099860225,7139,2517,133,3,1.12527270970169,0.0430820798691449,
hh,total_owned_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,-43.4834274738922,"",5366.11171598628,-4348.34274738922,-0.81033399555119,46.5392001093736,0.351834691485823,7139,2517,133,3,6320.88737858822,0.00872705648233363,
hh,cultivated_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,-46.5717805949425,"",4307.9897088774,-4657.17805949425,-1.08105598532357,127.872599747446,0.716288029343438,7139,2517,133,3,5095.76786514324,0.00893892527664708,
hh,cultivated_area_total_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,11.8545280042995,"",3774.44844077273,1185.45280042995,0.314073120624548,122.724351481498,0.923194730038669,8506,2956,133,3,4978.182786806,0.0108371115006459,
hh,rented_in_area_sqm,Land — agriculture,tx_log_int_nocmig_cfx_blk_khanna_full,100,14.9602619286396,"",1122.02108593224,1496.02619286396,1.3333316206094,146.718975425827,0.918984304647545,1050,504,112,3,2559.81174208002,0.167974609069709,
hh,share_self_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0138072660463725,"",0.845706561975745,-1.38072660463725,-1.63263082813452,0.0136868296256252,0.314916473598605,7132,2516,133,3,0.319714621521344,0.0172991846034485,
hh,share_rented_out_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0167745181080977,"",0.0733025422260814,1.67745181080977,22.883951359233,0.012187912151186,0.171051600178436,7139,2517,133,3,0.240315107813612,0.00998278523742346,
hh,share_fallow_wet,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00384628588183742,"",0.0717199871959308,-0.384628588183742,-5.36292048035342,0.0103111532085606,0.709730480276159,7132,2516,133,3,0.211514535485555,0.0234363256347476,
hh,share_self_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0721991084993973,***,0.662233364934526,-7.21991084993973,-10.9023664953117,0.0263495894751348,0.00699353725203784,7132,2516,133,3,0.428925933383652,0.0443374672953253,
hh,share_fallow_dry,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0567851322401195,*,0.268073194068632,5.67851322401195,21.1826969262661,0.0294545168097523,0.056016133292668,7132,2516,133,3,0.399762738352473,0.0510622934810504,
hh,share_both_seasons,Land use — wet/dry,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0676169878306057,**,0.656345996853048,-6.76169878306057,-10.3020340117569,0.0259000327455513,0.0100808157999139,7132,2516,133,3,0.431389903238914,0.0411703946712354,
hh,n_crops_total,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.169741789104693,"",3.50690441077892,-16.9741789104693,-4.84021716083762,0.150186670082345,0.260439147706413,7004,2907,133,3,2.24003392851934,0.0799611860459062,
hh,multi_season,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0562857889713145,**,0.764579702372972,-5.62857889713145,-7.36166403536796,0.028413083655341,0.0496718942427239,7004,2907,133,3,0.424289660402856,0.0480831321179196,
hh,grows_staple,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0155801300954178,"",0.910711891674487,-1.55801300954178,-1.7107638801961,0.0128684005393618,0.228163099732165,7004,2907,133,3,0.285178269147177,0.0167282403172381,
hh,grows_cashcrop,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0112148902057837,"",0.210483979085668,1.12148902057837,5.32814433407267,0.0211810624849501,0.597363799492426,7004,2907,133,3,0.407679722098863,0.0363019304666511,
hh,grows_horticulture,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.00884723862634326,"",0.379139294811637,0.884723862634326,2.3335061143527,0.0296242788697681,0.765678089642421,7004,2907,133,3,0.485205371346028,0.0482049412530229,
hh,crop_simpson_diversity,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0179218231821957,"",0.216401632169936,-1.79218231821957,-8.28174122463275,0.026715952393786,0.503651892755465,2068,1587,133,3,0.24790918431055,0.0551088063451342,
hh,staple_value_share,Cropping,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0162349662679324,"",0.548760140743359,-1.62349662679324,-2.95848132226592,0.034053367678481,0.634428890996088,2068,1587,133,3,0.47114003708963,0.0746339603887251,
hh,food_exp_total_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-29.0645006653398,"",2333.38050366407,-2906.45006653398,-1.245596276291,64.9954353278982,0.655479754857844,8506,2956,133,3,1228.35126164565,0.049679119174015,
hh,food_exp_protein_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,22.7971199729597,"",748.538094684192,2279.71199729597,3.04555240873583,39.5346313323826,0.565166919471009,8506,2956,133,3,607.720180363834,0.0264386542168933,
hh,food_exp_staples_7day,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-34.4370652268587,"",662.528440153542,-3443.70652268587,-5.19782444643099,23.6554029753742,0.147827689985389,8506,2956,133,3,442.099664951423,0.0586351808847667,
hh,food_insec_any,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0491143293067964,**,0.117250203559381,-4.91143293067964,-41.8884810566001,0.0190953861953314,0.0112163567207648,8506,2956,133,3,0.321736902002709,0.0404620830014872,
hh,food_insec_score,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.259781190074853,*,0.736652320576945,-25.9781190074854,-35.2651017065138,0.141332577029069,0.0682981709136374,8506,2956,133,3,2.33625652740969,0.0374992128925181,
hh,food_insec_worried,Consumption — food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0492408580981144,**,0.117366523205769,-4.92408580981144,-41.9547727521793,0.0191158801549169,0.0110979150754514,8506,2956,133,3,0.321875245365397,0.0401738543349505,
hh,nonfood_exp_30day,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-37.852586366431,"",1812.10492032104,-3785.2586366431,-2.08887388042216,255.434422659902,0.88241970132835,8506,2956,133,3,5232.43211797031,0.0303594516620842,
hh,nonfood_exp_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,25684.3990665357,"",97749.0079446318,2568439.90665357,26.2758667393169,23381.2529397415,0.27398412222021,8506,2956,133,3,249707.261084605,0.0266018375494486,
hh,nonfood_communication_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,456.470426386851,"",995.384669070606,45647.0426386851,45.8586956953093,287.085714834172,0.114223787399794,8506,2956,133,3,3821.02496601862,0.0214094012266383,
hh,nonfood_transport_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-713.532097505249,"",14268.2170873561,-71353.2097505249,-5.00084974273032,6260.09006412102,0.909425940172094,8506,2956,133,3,116747.724771068,0.0098582774077175,
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,49.6115879762277,"",527.9581249273,4961.15879762277,9.39687934209919,220.027907757347,0.821955680204961,8506,2956,133,3,3240.33979180749,0.00741933892643376,
hh,nonfood_ceremonies_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-4873.0458765424,"",27485.2568337792,-487304.58765424,-17.7296719692772,3852.6129319859,0.208147253677329,8506,2956,133,3,72275.4026780285,0.0101853253213932,
hh,nonfood_fuel_lighting_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,626.525095232081,**,4944.22286844248,62652.5095232082,12.6718619265933,306.305172734824,0.0427993768867964,8506,2956,133,3,4683.78174489425,0.0685530046161791,
hh,nonfood_clothing_footwear_12m,Consumption — non-food,tx_log_int_nocmig_cfx_blk_khanna_full,100,-517.663578006409,"",12594.070722345,-51766.3578006409,-4.11037534582004,632.339660909559,0.414462764708757,8506,2956,133,3,9494.99973511689,0.0882582889541514,
hh,any_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.00907695324205951,"",0.650758199130128,0.907695324205951,1.39482733436055,0.00848955467253373,0.286935030925652,8327,2956,133,3,0.476758517923738,0.0108096793250626,
hh,n_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.00194069657045036,"",1.19748442459151,0.194069657045036,0.162064451995889,0.018988682456055,0.918750797139739,8327,2956,133,3,1.15342170630494,0.0145259289156329,
hh,n_private_school,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0255123194468612,"",0.3920300928647,2.55123194468612,6.50774517344673,0.0162785509688243,0.119453875355781,8327,2956,133,3,0.741404197071192,0.0155476386987745,
hh,n_scholarship,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.046915774065168,**,0.252733043376043,-4.6915774065168,-18.5633716266225,0.0192831200784279,0.0163134141889304,8327,2956,133,3,0.622924388573598,0.0192406111369189,
hh,edu_spend_total_12m,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,478.68007308003,"",17427.5126366522,47868.007308003,2.74669187198469,1220.17791208062,0.695466688042949,8327,2956,133,3,58049.0890262601,0.00748331184378925,
hh,edu_spend_per_enrolled,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,-187.663914568436,"",15060.0907187586,-18766.3914568436,-1.2461008241782,969.292144817403,0.846779473532585,5143,2185,133,3,27945.4264986364,0.018377477230603,
hh,edu_spend_tuition_12m,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,190.126528293981,"",8567.10849888327,19012.6528293981,2.21926135660316,1097.98373924672,0.862791150299954,8327,2956,133,3,52919.9315898606,0.00605956889877057,
hh,edu_spend_books_12m,Education spending,tx_log_int_nocmig_cfx_blk_khanna_full,100,-79.3754316026009,"",2118.29763723992,-7937.54316026009,-3.74713308494385,104.368206383337,0.448292607415582,8327,2956,133,3,2720.19554114795,0.0366614502685881,
hh,any_insured,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0109049261407664,"",0.0345597743035148,1.09049261407664,31.5538117957482,0.00705983322571051,0.124826586569375,8327,2956,133,3,0.182672709717331,0.00878764746620997,
hh,n_insured,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0166164418295686,**,0.0383213823909721,1.66164418295686,43.3607578663007,0.00828445883580791,0.0469285707911527,8327,2956,133,3,0.212889172642528,0.00746746372306084,
hh,n_chronic,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0652949584415183,"",0.885858704596215,-6.52949584415183,-7.37080960007957,0.0903379218021174,0.471090244778188,8327,2956,133,3,1.07195666372181,0.0670128843535894,
hh,n_acute_illness,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.14001516634082,"",1.36722698953803,-14.001516634082,-10.2408135161324,0.14815308553958,0.346349398828504,8327,2956,133,3,1.51684571936654,0.0960519139494007,
hh,any_health_spending,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.019438536760153,"",0.781121429411073,-1.9438536760153,-2.48854224557745,0.0133374190143804,0.147368885320421,8327,2956,133,3,0.413510389159161,0.0464014202874938,
hh,hlt_spend_total,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,-251.869321260002,"",12243.7011872576,-25186.9321260002,-2.057133847093,1921.24488963057,0.895898217557525,8327,2956,133,3,37579.2137582347,0.01518520344953,
hh,hlt_spend_medicines,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,129.391813901209,"",1538.01845538968,12939.1813901209,8.4128908497672,564.466756610552,0.819046188992054,8327,2956,133,3,7795.83394389607,0.019101074749863,
hh,hlt_spend_hospital,Health,tx_log_int_nocmig_cfx_blk_khanna_full,100,-312.789886542032,"",7558.71129657929,-31278.9886542032,-4.13813776276368,1387.42010255518,0.821980116942272,8327,2956,133,3,28665.1724473124,0.0139959687726656,
hh,has_enterprise,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0138380898973975,"",0.172385715947424,1.38380898973975,8.02739938245115,0.00839852438302641,0.101796541946792,8506,2956,133,3,0.377737313498501,0.0061209352022995,
hh,n_enterprises,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0152256124405789,"",0.187274630685123,1.52256124405789,8.13009876718363,0.0100083547506598,0.130578918686674,8506,2956,133,3,0.428521303726472,0.00576382595447478,
hh,n_workers_total,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00625084032818278,"",0.308596021868094,-0.625084032818278,-2.02557385229504,0.0226656928685801,0.78314508432752,8506,2956,133,3,0.9932470191216,0.00493575719416262,
hh,revenue_12m,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,6936.04509622702,"",93551.1292311271,693604.509622702,7.41417570608993,22437.7328723214,0.757714480473199,8506,2956,133,3,642127.938888743,0.00752766693321538,
hh,expenses_12m,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-10361.1154874265,"",70143.2364778411,-1036111.54874265,-14.7713678576832,23985.0233133197,0.666458790223754,8506,2956,133,3,597170.495723227,0.00566365156776039,
hh,profit_12m,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,17297.1605836521,"",23407.892753286,1729716.05836521,73.894565247544,17902.4915092042,0.335717299003196,8506,2956,133,3,418285.267505296,0.00426460366919601,
hh,capex_12m,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,8603.48004807283,"",23303.1866930325,860348.004807283,36.9197576340288,12053.1795656015,0.476615140802386,8506,2956,133,3,238113.563321346,0.00837388342795931,
hh,sector_manufacturing,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.000597074620742399,"",0.0119809235779923,-0.0597074620742399,-4.9835441888567,0.00489307430304537,0.903065242414307,8506,2956,133,3,0.108806057406607,0.00736265284140603,
hh,sector_services,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00187482225926774,"",0.00348958939164825,-0.187482225926774,-53.7261565430825,0.00163040240719158,0.252258461533717,8506,2956,133,3,0.0589730166765634,0.00911333921521662,
hh,sector_trade,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00353217608663151,"",0.0531580783994417,-0.353217608663151,-6.64466473014684,0.0106864091345887,0.741523768816408,8506,2956,133,3,0.224361655405752,0.0126707098398789,
hh,sector_hotels,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00133671728502614,"",0.00918925206467372,-0.133671728502614,-14.5465297460376,0.00507555918535994,0.792681046763369,8506,2956,133,3,0.095424676591626,0.0143786478018142,
hh,sector_transport,Enterprise,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.000428807982141433,"",0.0055833430266372,0.0428807982141433,7.68012963014562,0.00357926300634613,0.904821015075499,8506,2956,133,3,0.0745172141775687,0.011655443569723,
hh,has_migrant,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,,"",1,,,,,4387,1727,133,3,0,,degenerate
hh,has_migrant_internal,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.010462277543995,"",0.336904490540233,1.0462277543995,3.1054135037555,0.0128047425436442,0.415364837431273,4213,1727,133,3,0.472705817135218,0.0209912769596331,
hh,has_migrant_international,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0279437325608336,*,0.707772965580123,2.79437325608336,3.94812092574482,0.0148430770985627,0.061954228189865,4213,1727,133,3,0.454837940069641,0.0185806825520799,
hh,has_only_internal,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0127050061715764,"",0.221563710964212,1.27050061715764,5.73424506941417,0.011317039333265,0.263626551249816,4213,1727,133,3,0.415346309157193,0.0101812924763605,
hh,has_only_international,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0301864611884149,*,0.592432186004103,3.01864611884149,5.09534456458545,0.0165853199643775,0.0710137924752238,4213,1727,133,3,0.491438035345694,0.0165805335710034,
hh,has_both_internal_and_international,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00224272862758086,"",0.11534077957602,-0.224272862758086,-1.94443685557257,0.012557417181202,0.858527247164217,4213,1727,133,3,0.319469166677296,0.0208695835849217,
hh,n_migrants_total,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0090593148237955,"",1.6667426487349,-0.90593148237955,-0.543534110120225,0.0349419697928161,0.795832805961799,4213,1727,133,3,1.25814969857858,0.05239044688172,
hh,n_migrants_male,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0421516589466809,*,1.20378390699795,4.21516589466809,3.50159681497991,0.0214691215165361,0.0517062820430557,4213,1727,133,3,0.818701994919484,0.0263172587389381,
hh,n_migrants_female,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0271664841044325,"",0.32961021198997,2.71664841044325,8.24200316501698,0.0248853369785048,0.276968343913501,4213,1727,133,3,0.743321631740302,0.0448266025313609,
hh,share_male_migrants,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0506555164256613,***,0.787527043151616,5.06555164256613,6.43222564433372,0.0129359982679681,0.000143744685685023,4213,1727,133,3,0.350288994592053,0.0222906459623884,
hh,share_long_term_migrants,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.059520790454148,***,0.420149364592446,5.9520790454148,14.1665787146636,0.0205298256738189,0.00438246699905982,3748,1727,133,3,0.462855837112005,0.0273188079242978,
hh,mig_reason_work,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,0.0458995235027353,**,0.803966263961705,4.58995235027353,5.70913551478593,0.0179214898508191,0.0115570751882691,4213,1727,133,3,0.397039599931871,0.0209960281066651,
hh,mig_reason_education,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.0183156917581873,"",0.210850239343515,-1.83156917581873,-8.68658808034246,0.0165748794401353,0.271157929105461,4213,1727,133,3,0.407958763945118,0.0222229903542691,
hh,mig_reason_marriage_family,Migration — HH,tx_log_int_nocmig_cfx_blk_khanna_full,100,-0.00632549178083036,"",0.0927741053111466,-0.632549178083036,-6.81816521928815,0.0126237412262088,0.617150088018269,4213,1727,133,3,0.290148687113111,0.0320541080235908,
hh,any_shock,Shocks & coping,tx_log_int_nocmig_cfx_blk_khanna_full,100,,"",1,,,,,3705,2514,133,3,0,,degenerate
