dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
hh,agro_hh,Land — agriculture,main_no_cmig,0,0.00469294730725548,"",0.956369575361643,0.469294730725548,0.490704370795242,0.0163525177688455,0.774335127068846,16955,5906,281,3,0.204277372040828,0.00373370751511082,
hh,n_plots_owned,Land — agriculture,main_no_cmig,0,-0.000430361619241293,"",1.84359866311984,-0.0430361619241293,-0.0233435632087632,0.0152122784312199,0.977450680937268,14446,5103,281,3,1.18846122824109,0.00287515306317998,
hh,total_owned_area_sqm,Land — agriculture,main_no_cmig,0,-19.6671883986247,"",5221.7886431392,-1966.71883986247,-0.376637005874702,79.3143300031759,0.80434313304019,14446,5103,281,3,6504.02999452828,0.00214893191791243,
hh,cultivated_area_sqm,Land — agriculture,main_no_cmig,0,-124.274583124339,"",4262.47649648682,-12427.4583124339,-2.91554881831647,111.872528390171,0.267582130940122,14446,5103,281,3,5522.1647409247,0.00165015722225326,
hh,cultivated_area_total_sqm,Land — agriculture,main_no_cmig,0,-41.1643397694211,"",3799.78212518332,-4116.43397694211,-1.08333421268029,103.323842817271,0.690638119204573,16955,5906,281,3,5442.18733324127,0.00159663292074252,
hh,rented_in_area_sqm,Land — agriculture,main_no_cmig,0,844.183779863208,**,1214.51985302312,84418.3779863208,69.5076146974385,392.412458314777,0.0325599808184101,2008,999,239,3,3147.22052361072,0.023849046493959,
hh,share_self_wet,Land use — wet/dry,main_no_cmig,0,-0.0236068235091837,*,0.855267972799554,-2.36068235091837,-2.76016690206595,0.0122092632255079,0.0541803615232449,14432,5096,281,3,0.311808590642733,0.00363411812413583,
hh,share_rented_out_wet,Land use — wet/dry,main_no_cmig,0,0.0165653437846692,*,0.070942358140537,1.65653437846692,23.3504273312331,0.00963784729312101,0.0867596408182836,14446,5103,281,3,0.237474130216447,0.00216230488465663,
hh,share_fallow_wet,Land use — wet/dry,main_no_cmig,0,0.00304217432335737,"",0.0657383704456084,0.304217432335737,4.62769962616346,0.00920316452156079,0.741226023354183,14432,5096,281,3,0.20381585862548,0.0047565108436034,
hh,share_self_dry,Land use — wet/dry,main_no_cmig,0,-0.108914754304839,**,0.696800766188783,-10.8914754304839,-15.6306880804048,0.0511122872547841,0.0339692697811575,14432,5096,281,3,0.413896096162244,0.00858096055235935,
hh,share_fallow_dry,Land use — wet/dry,main_no_cmig,0,0.0975750129545319,*,0.234116023766075,9.75750129545319,41.6780583340281,0.0527380677824026,0.065340763205508,14432,5096,281,3,0.378252731125604,0.011954561251149,
hh,share_both_seasons,Land use — wet/dry,main_no_cmig,0,-0.0999534963468887,**,0.691423666902499,-9.99534963468887,-14.4561867248006,0.0494237284233951,0.0440878005090583,14432,5096,281,3,0.416623652242109,0.00811440156728494,
hh,n_crops_total,Cropping,main_no_cmig,0,0.453456074237926,"",3.69802276812463,45.3456074237926,12.262122292662,0.350713613155927,0.197093259047804,14145,5820,281,3,2.36477466286735,0.0206102841446275,
hh,multi_season,Cropping,main_no_cmig,0,-0.0955645586264029,**,0.801078490113841,-9.55645586264029,-11.9294875353378,0.0411160596263855,0.0208269310916285,14145,5820,281,3,0.399202144401243,0.00941675691008326,
hh,grows_staple,Cropping,main_no_cmig,0,-0.0146467489034192,"",0.920244990346848,-1.46467489034192,-1.59161408723331,0.0124595466571701,0.240775629479549,14145,5820,281,3,0.270922561844425,0.00583431500369624,
hh,grows_cashcrop,Cropping,main_no_cmig,0,0.0384626787822213,"",0.18001464616204,3.84626787822213,21.3664163457006,0.0328029701887852,0.241978344810077,14145,5820,281,3,0.384212442342413,0.00342023280994097,
hh,grows_horticulture,Cropping,main_no_cmig,0,-0.0208719965627703,"",0.372278809666467,-2.08719965627703,-5.60654972048233,0.0475845612604549,0.661268200213599,14145,5820,281,3,0.483428232469319,0.0175818746184884,
hh,crop_simpson_diversity,Cropping,main_no_cmig,0,-0.0802467982382007,**,0.222684916431967,-8.02467982382007,-36.0360277310102,0.0389883109045366,0.0406393220603041,3900,3037,281,3,0.249111553090237,0.0142898024845365,
hh,staple_value_share,Cropping,main_no_cmig,0,0.0654928564658828,"",0.560964723280229,6.54928564658828,11.6750401135592,0.0540562538440589,0.226859282221333,3900,3037,281,3,0.465216157597066,0.0205807302580551,
hh,food_exp_total_7day,Consumption — food,main_no_cmig,0,178.391545457702,**,2216.5500839944,17839.1545457702,8.04816217534891,89.7053216476684,0.0477142724326804,16955,5906,281,3,1166.30416693642,0.0123656039294832,
hh,food_exp_protein_7day,Consumption — food,main_no_cmig,0,70.5933027657687,*,695.108696920205,7059.33027657687,10.1557214114201,42.5908034664882,0.0985428994602541,16955,5906,281,3,585.704252253088,0.00605576461671409,
hh,food_exp_staples_7day,Consumption — food,main_no_cmig,0,3.64081413365293,"",644.719027064862,364.081413365293,0.564713306233266,38.4445861082236,0.924618543442761,16955,5906,281,3,409.373091492198,0.00499825204551985,
hh,food_insec_any,Consumption — food,main_no_cmig,0,-0.0834331164319282,***,0.135499300046664,-8.34331164319282,-61.5745737455436,0.0296699590717838,0.00527083824226917,16955,5906,281,3,0.342266084792086,0.00884986148924127,
hh,food_insec_score,Consumption — food,main_no_cmig,0,-0.485271657470032,***,0.856159589360709,-48.5271657470032,-56.6800469796037,0.163179319899318,0.00319692668262779,16955,5906,281,3,2.55168002787801,0.0135914940856076,
hh,food_insec_worried,Consumption — food,main_no_cmig,0,-0.0822825757374065,***,0.136024265048997,-8.22825757374065,-60.4911011338807,0.0303142206476575,0.00705332670586576,16955,5906,281,3,0.342824327812614,0.00860707310700959,
hh,nonfood_exp_30day,Consumption — non-food,main_no_cmig,0,645.232971407319,***,1717.15533131125,64523.2971407319,37.5756904248499,213.88707576509,0.00279026844794662,16955,5906,281,3,4122.88192031996,0.00498671952521468,
hh,nonfood_exp_12m,Consumption — non-food,main_no_cmig,0,30217.5602963274,"",90938.6206427905,3021756.02963274,33.2285228022347,18655.7262027212,0.106412288764733,16955,5906,281,3,215824.168670608,0.00146760955160463,
hh,nonfood_communication_12m,Consumption — non-food,main_no_cmig,0,593.374747740884,**,1162.50699953336,59337.4747740884,51.0426817196858,294.888824409235,0.0451565748484003,16955,5906,281,3,5198.80800821161,0.00166371354291506,
hh,nonfood_transport_12m,Consumption — non-food,main_no_cmig,0,5365.02083052807,"",12143.7286689221,536502.083052806,44.179353613673,4773.52779565392,0.262013387191276,16955,5906,281,3,99629.1372662096,0.00100653797870942,
hh,nonfood_entertainment_leisure_12m,Consumption — non-food,main_no_cmig,0,11.363659014207,"",449.339360709286,1136.3659014207,2.52897030793593,147.59379844681,0.938684263510513,16955,5906,281,3,2937.86936518739,0.000638544976280575,
hh,nonfood_ceremonies_12m,Consumption — non-food,main_no_cmig,0,557.422021197799,"",24219.50629958,55742.2021197799,2.30154163467595,3651.45481518631,0.878778313261984,16955,5906,281,3,70420.5046589843,0.00107135083783549,
hh,nonfood_fuel_lighting_12m,Consumption — non-food,main_no_cmig,0,1632.78024676243,***,4343.42399673355,163278.024676243,37.5920068588825,359.587964149356,8.33750675328888e-06,16955,5906,281,3,4927.44290365128,0.0125514758162792,
hh,nonfood_clothing_footwear_12m,Consumption — non-food,main_no_cmig,0,1184.18003700269,"",11835.7999883341,118418.003700269,10.0050696883174,774.224235129795,0.12726816078818,16955,5906,281,3,8837.51994127472,0.0122959659036129,
hh,any_enrolled,Education spending,main_no_cmig,0,-0.0186282585227932,*,0.682244645069924,-1.86282585227932,-2.73043675130407,0.0104907455396468,0.0768709480464472,16562,5906,281,3,0.465617527751341,0.00188788050353961,
hh,n_enrolled,Education spending,main_no_cmig,0,-0.065811046181724,**,1.3372868354281,-6.5811046181724,-4.92123637489157,0.0256561087901493,0.0108351971955505,16562,5906,281,3,1.23675726730066,0.00339427042672646,
hh,n_private_school,Education spending,main_no_cmig,0,-0.0204830659220521,"",0.359709683129758,-2.04830659220521,-5.69433264732639,0.0236609109647866,0.387400116208695,16562,5906,281,3,0.719524615035333,0.00151087246110948,
hh,n_scholarship,Education spending,main_no_cmig,0,0.0222303350131133,"",0.323774119313153,2.22303350131133,6.86600122958322,0.0362067537634542,0.539725006019808,16562,5906,281,3,0.712653560855895,0.00820785683043956,
hh,edu_spend_total_12m,Education spending,main_no_cmig,0,-1527.56381192822,"",15271.1260400071,-152756.381192822,-10.0029546473936,1676.20745544908,0.36290992540671,16562,5906,281,3,43935.4603571633,0.000989590055013645,
hh,edu_spend_per_enrolled,Education spending,main_no_cmig,0,-25.7767597204326,"",12208.5532982823,-2577.67597204326,-0.211136889774313,1114.07698844532,0.981557213747474,10853,4478,281,3,21429.6589226558,0.00226366695342084,
hh,edu_spend_tuition_12m,Education spending,main_no_cmig,0,-2872.59828224471,*,7068.45164335871,-287259.828224471,-40.6397104653565,1518.91765465767,0.0596278787878121,16562,5906,281,3,38770.7576757655,0.000687654608294785,
hh,edu_spend_books_12m,Education spending,main_no_cmig,0,192.042499160227,"",2029.07529356228,19204.2499160227,9.46453292145079,117.468225373159,0.10320496279178,16562,5906,281,3,2568.61622557517,0.0104806691121965,
hh,any_insured,Health,main_no_cmig,0,0.0170691775643906,"",0.0428984481029091,1.70691775643906,39.7897320747907,0.0111451478146739,0.126766382011985,16562,5906,281,3,0.202634138624347,0.00610670696050464,
hh,n_insured,Health,main_no_cmig,0,0.0223342728070071,"",0.0470289726795303,2.23342728070071,47.490454361399,0.01463831937762,0.128203300548246,16562,5906,281,3,0.232180066819286,0.00519259963341012,
hh,n_chronic,Health,main_no_cmig,0,0.117733638647182,"",0.942231663421255,11.7733638647182,12.495190218899,0.147087732216502,0.424139509599389,16562,5906,281,3,1.11390799900284,0.0161284752949157,
hh,n_acute_illness,Health,main_no_cmig,0,-0.406657635991081,"",1.45117129875494,-40.6657635991081,-28.0227176722679,0.255098997677329,0.112037981592207,16562,5906,281,3,1.63492552897364,0.0219838180106335,
hh,any_health_spending,Health,main_no_cmig,0,0.0175080008584423,"",0.778898920162861,1.75080008584423,2.24778856475774,0.0363907638880493,0.630813274641676,16562,5906,281,3,0.415000668590282,0.0120954533901404,
hh,hlt_spend_total,Health,main_no_cmig,0,9559.68237150988,***,12797.5013276686,955968.237150988,74.6996005450028,3631.26722967116,0.00894376812061333,16562,5906,281,3,46965.9817991215,0.00445461203090569,
hh,hlt_spend_medicines,Health,main_no_cmig,0,2049.51480204581,***,1490.13837257332,204951.480204581,137.538556134657,511.034372164409,7.77797587119909e-05,16562,5906,281,3,8004.42832944255,0.00712953540187955,
hh,hlt_spend_hospital,Health,main_no_cmig,0,5472.1890047887,*,7925.17070868,547218.90047887,69.0482161954608,3177.24546302649,0.0861183493093011,16562,5906,281,3,38279.8777263794,0.00306683025136656,
hh,has_enterprise,Enterprise,main_no_cmig,0,-0.0163025061429421,*,0.163497433504433,-1.63025061429421,-9.97110828806988,0.00983204498368383,0.0984172706305669,16955,5906,281,3,0.369829691470827,0.00221117812985649,
hh,n_enterprises,Enterprise,main_no_cmig,0,-0.0169146581721768,"",0.177146523565096,-1.69146581721768,-9.54839972682908,0.0114422833330518,0.140462476404485,16955,5906,281,3,0.417700726015181,0.00214575749896528,
hh,n_workers_total,Enterprise,main_no_cmig,0,0.052399921549956,"",0.300688287447503,5.2399921549956,17.4266586819097,0.108674351534972,0.630059203177543,16955,5906,281,3,1.9465072871189,0.0020386778623509,
hh,revenue_12m,Enterprise,main_no_cmig,0,-30091.5119190221,"",83900.289080728,-3009151.19190221,-35.8658024289623,24457.4352921087,0.219594025660559,16955,5906,281,3,544227.332667215,0.0015741917006048,
hh,expenses_12m,Enterprise,main_no_cmig,0,-9623.07589987969,"",58688.6353243117,-962307.589987969,-16.3968302324681,21501.6546970602,0.654823690454244,16955,5906,281,3,487559.101047203,0.00159634520871033,
hh,profit_12m,Enterprise,main_no_cmig,0,-20468.4360191429,"",25211.6537564162,-2046843.60191429,-81.1864077497646,21207.9681975072,0.335312765584844,16955,5906,281,3,327502.084266177,0.000683334243419709,
hh,capex_12m,Enterprise,main_no_cmig,0,19626.691088059,"",19585.0859776015,1962669.1088059,100.212432615844,14329.0101334454,0.171872642549909,16955,5906,281,3,196725.090690831,0.00137783278821124,
hh,sector_manufacturing,Enterprise,main_no_cmig,0,0.000729416532921061,"",0.0123075128324778,0.0729416532921061,5.92659575374345,0.00685371874963701,0.915320266259929,16955,5906,281,3,0.110257639448074,0.00111855755261658,
hh,sector_services,Enterprise,main_no_cmig,0,0.00127113182083804,"",0.0038497433504433,0.127113182083804,33.0186120249202,0.00327997255801232,0.698648365972797,16955,5906,281,3,0.0619285598778656,0.00491223920483053,
hh,sector_trade,Enterprise,main_no_cmig,0,-0.0176642342471024,"",0.0508049463369109,-1.76642342471024,-34.7687292689234,0.0142189133809014,0.215163327503895,16955,5906,281,3,0.219605593727464,0.00157832970683502,
hh,sector_hotels,Enterprise,main_no_cmig,0,-0.0022243246585171,"",0.0081661222585161,-0.22243246585171,-27.2384442468695,0.00544600440716382,0.683268424339118,16955,5906,281,3,0.0899994953818023,0.000947217928308208,
hh,sector_transport,Enterprise,main_no_cmig,0,-0.000144232669215137,"",0.00437470835277648,-0.0144232669215137,-3.2969665080324,0.00349910802246061,0.967150014511464,16955,5906,281,3,0.0659986693231033,0.00111506847532161,
hh,has_migrant,Migration — HH,main_no_cmig,0,,"",1,,,,,8268,3294,281,3,0,,degenerate
hh,has_migrant_internal,Migration — HH,main_no_cmig,0,-0.0226688384218672,"",0.366594097726173,-2.26688384218672,-6.18363431448359,0.0329905287501324,0.492568452113918,7899,3294,281,3,0.481903468717758,0.00370112864318806,
hh,has_migrant_international,Migration — HH,main_no_cmig,0,0.0516792730814297,**,0.668238993710692,5.16792730814297,7.73365121877395,0.0247434170706639,0.0376462572075192,7899,3294,281,3,0.470874142351195,0.0045205832362587,
hh,has_only_internal,Migration — HH,main_no_cmig,0,-0.0175576987285197,"",0.261248185776488,-1.75576987285197,-6.7206969021945,0.0242707460796095,0.470031962781796,7899,3294,281,3,0.439341458030103,0.00567230607482705,
hh,has_only_international,Migration — HH,main_no_cmig,0,0.056790412774778,*,0.562893081761006,5.6790412774778,10.0890230516086,0.0305158963530618,0.0637906535802396,7899,3294,281,3,0.496058688573527,0.00433818486051241,
hh,has_both_internal_and_international,Migration — HH,main_no_cmig,0,-0.00511113969334779,"",0.105345911949686,-0.511113969334779,-4.85176842532716,0.0182300416059965,0.779401402234893,7899,3294,281,3,0.307017184065417,0.00248067717436096,
