lgcode,n_firms,emp_total,rev_total,cap_total,n_firms_size_2_9_workers,n_firms_size_1_worker,n_firms_size_10_50_workers,n_firms_size_51plus_workers,n_firms_manufacturing,n_firms_education,n_firms_other_services,n_firms_transport,n_firms_trade_retail,n_firms_health,n_firms_hospitality,n_firms_construction,n_firms_water_waste,n_firms_agriculture,n_firms_arts,n_firms_energy,n_firms_finance,n_firms_prof_tech,n_firms_admin_sup,n_firms_info_comm,n_firms_mining,n_firms_real_estate,n_firms_surviving_trd_tradable_goods,n_firms_surviving_trd_non_tradable_services,n_firms_surviving_trd_tradable_services,n_firms_surviving_trd_non_tradable_utilities,n_firms_surviving_agor_not_ag,n_firms_surviving_agor_agro_processing,n_firms_surviving_agor_agro_downstream_manuf,n_firms_surviving_agor_crop_livestock_primary,n_firms_surviving_agor_forestry_primary,n_firms_surviving_agor_fishery_primary,n_firms_surviving_mtier_medium_low_tech,n_firms_surviving_mtier_low_tech,n_firms_surviving_mtier_high_tech,n_firms_surviving_mtier_medium_high_tech,n_firms_surviving_modern_industrial_sector,n_firms_surviving_modern_other,n_firms_surviving_modern_public_sector,n_firms_surviving_modern_traditional_commerce,n_firms_surviving_modern_traditional_agriculture,n_firms_surviving_modern_modern_services,n_firms_surviving_modern_traditional_services,n_firms_surviving_modern_modern_manuf,median_firm_age_years_wmean,n_firms_finance_prof_info,n_firms_social_services,n_firms_utilities_mining,share_agriculture,share_manufacturing,share_construction,share_trade_retail,share_transport,share_hospitality,share_finance_prof_info,share_social_services,share_other_services,share_utilities_mining,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers,industry_hhi,industry_diversity,n_industries_present,mean_emp_per_firm,log_n_firms,log_emp_total,log_rev_total,log_cap_total,DIST
10101,421,805,13689208572,378574453,199,217,5,0,30,20,27,1,118,26,45,3,4,108,23,9,5,2,0,0,0,0,138,262,8,13,286,9,18,105,3,0,1,29,0,0,42,53,46,163,108,7,2,0,5.93586698337292,7,46,13,0.256532066508314,0.0712589073634204,0.00712589073634204,0.280285035629454,0.00237529691211401,0.106888361045131,0.0166270783847981,0.109263657957245,0.0641330166270784,0.0308788598574822,0.515439429928741,0.472684085510689,0.0118764845605701,0,0.178209330798179,0.821790669201821,10,1.91211401425178,6.04500531403601,6.69208374250663,13689208572,378574453,101
10102,202,398,730406484,191033582,51,148,2,1,15,7,18,0,73,24,7,3,1,27,7,7,13,0,0,0,0,0,42,139,13,8,163,8,4,21,6,0,3,12,0,0,25,25,31,80,27,13,1,0,5.13366336633663,13,31,8,0.133663366336634,0.0742574257425743,0.0148514851485149,0.361386138613861,0,0.0346534653465347,0.0643564356435644,0.153465346534653,0.0891089108910891,0.0396039603960396,0.732673267326733,0.252475247524753,0.0099009900990099,0.00495049504950495,0.192603666307225,0.807396333692775,9,1.97029702970297,5.31320597904179,5.98896141688986,730406484,191033582,101
10103,332,840,457252872,370987090,179,145,8,0,21,14,59,2,130,33,27,0,4,6,14,3,15,1,3,0,0,0,27,280,18,7,312,5,9,4,2,0,3,18,0,0,24,73,47,157,6,16,9,0,5.91566265060241,16,47,7,0.0180722891566265,0.0632530120481928,0,0.391566265060241,0.00602409638554217,0.0813253012048193,0.0481927710843374,0.141566265060241,0.177710843373494,0.0210843373493976,0.436746987951807,0.539156626506024,0.0240963855421687,0,0.218691029176949,0.781308970823051,9,2.53012048192771,5.80814248998044,6.73459165997295,457252872,370987090,101
10104,261,572,591595200,1735969907,111,144,6,0,47,11,24,0,92,26,18,3,3,7,16,7,3,3,1,0,0,0,54,191,6,10,216,22,16,5,1,1,4,43,0,0,57,44,37,110,6,6,1,0,6.18390804597701,6,37,10,0.0268199233716475,0.18007662835249,0.0114942528735632,0.352490421455939,0,0.0689655172413793,0.0229885057471264,0.14176245210728,0.0919540229885057,0.0383141762452107,0.551724137931035,0.425287356321839,0.0229885057471264,0,0.192833340673214,0.807166659326786,9,2.19157088122605,5.5683445037611,6.35088571671474,591595200,1735969907,101
10105,346,1070,221648568,267006736,148,178,19,1,30,18,100,0,107,24,9,4,9,20,16,5,4,0,0,0,0,0,50,278,4,14,300,17,9,20,0,0,2,28,0,0,39,122,42,116,20,4,3,0,6.17630057803468,4,42,14,0.0578034682080925,0.0867052023121387,0.0115606936416185,0.309248554913295,0,0.0260115606936416,0.0115606936416185,0.121387283236994,0.289017341040462,0.0404624277456647,0.514450867052023,0.427745664739884,0.0549132947976879,0.00289017341040462,0.207340706338334,0.792659293661666,9,3.09248554913295,5.84932477994686,6.97634807044775,221648568,267006736,101
10106,1379,3058,1366783824,1677148546,576,771,31,1,109,49,139,6,590,67,289,4,6,31,3,6,49,14,14,3,0,0,140,1155,72,12,1289,25,34,28,3,0,9,100,0,0,119,126,116,879,31,66,42,0,5.50108774474257,66,116,12,0.0224800580130529,0.079042784626541,0.00290065264684554,0.427846265409717,0.00435097897026831,0.20957215373459,0.0478607686729514,0.0841189267585207,0.100797679477883,0.00870195794053662,0.559100797679478,0.417693981145758,0.0224800580130529,0.000725163161711385,0.253355917336658,0.746644082663342,10,2.21754894851342,7.22983877815125,8.0258433441509,1366783824,1677148546,101
10107,330,615,187894776,378869193,149,176,5,0,38,18,60,2,120,50,11,0,3,15,4,1,4,1,2,0,1,0,54,265,7,4,285,15,15,13,2,0,5,33,0,0,39,70,68,131,15,5,2,0,5.82727272727273,5,68,5,0.0454545454545455,0.115151515151515,0,0.363636363636364,0.00606060606060606,0.0333333333333333,0.0151515151515152,0.206060606060606,0.181818181818182,0.0151515151515152,0.533333333333333,0.451515151515152,0.0151515151515152,0,0.224683195592287,0.775316804407713,9,1.86363636363636,5.80211837537706,6.42324696353352,187894776,378869193,101
10108,379,730,275696388,436301956,153,218,8,0,29,18,65,5,150,47,23,1,4,15,4,7,9,1,1,0,0,0,44,309,15,11,341,11,12,8,7,0,0,28,1,0,36,78,65,173,15,10,1,1,5.86279683377309,10,65,11,0.0395778364116095,0.0765171503957784,0.00263852242744063,0.395778364116095,0.0131926121372032,0.0606860158311346,0.0263852242744063,0.171503957783641,0.171503957783641,0.029023746701847,0.575197889182058,0.403693931398417,0.0211081794195251,0,0.228291365278716,0.771708634721284,10,1.92612137203166,5.94017125272043,6.59441345974978,275696388,436301956,101
10109,182,279,86605320,169203866,29,150,3,0,13,11,30,0,66,30,3,0,1,5,0,2,21,0,0,0,0,0,18,140,21,3,167,3,7,3,2,0,0,13,0,0,15,29,41,69,5,21,2,0,6.24175824175824,21,41,3,0.0274725274725275,0.0714285714285714,0,0.362637362637363,0,0.0164835164835165,0.115384615384615,0.225274725274725,0.164835164835165,0.0164835164835165,0.824175824175824,0.159340659340659,0.0164835164835165,0,0.229138992875257,0.770861007124743,8,1.53296703296703,5.20948615284142,5.63478960316925,86605320,169203866,101
10201,216,980,100289052,50174086,181,15,19,1,3,3,50,0,82,58,10,4,0,3,0,3,0,0,0,0,0,0,6,207,0,3,211,1,1,1,2,0,0,3,0,0,10,48,61,92,3,0,2,0,5.2037037037037,0,61,3,0.0138888888888889,0.0138888888888889,0.0185185185185185,0.37962962962963,0,0.0462962962962963,0,0.282407407407407,0.231481481481482,0.0138888888888889,0.0694444444444445,0.837962962962963,0.087962962962963,0.00462962962962963,0.280521262002744,0.719478737997257,8,4.53703703703704,5.37989735354046,6.88857245956536,100289052,50174086,102
