occ,k,mean_y,beta,stars,beta_pp,pct_mean,se,pval,n
Managers,0,0.0173703015772204,-0.006378195603307,***,-0.637819560330705,-36.7189687234417,0.00084921067087,1.7627875357625e-13,2142
Managers,25,0.0206366104464587,-0.0040641427801906,***,-0.406414278019064,-19.6938484192208,0.0010511316515183,0.0001258447433996,1425
Managers,50,0.0212196326344725,-0.0033519024929006,***,-0.335190249290069,-15.7962324355009,0.0011884087447017,0.0050336692342743,1203
Managers,100,0.022825882409517,-0.0017060444192231,,-0.170604441922311,-7.47416633720935,0.0014309805628067,0.234080766928215,939
Professionals,0,0.0312847396701875,0.0003427378909997,,0.0342737890999723,1.09554336910891,0.0003909990769389,0.381015707435532,2142
Professionals,25,0.0338769472629159,0.0004071636479758,,0.040716364797588,1.2018900192391,0.0005037937734612,0.419383712755888,1425
Professionals,50,0.0349995017898842,0.0003609531919431,,0.0360953191943107,1.03130951437552,0.0006427162593274,0.574699130235497,1203
Professionals,100,0.0366184368041767,0.0003549156388894,,0.0354915638889419,0.969226624247752,0.0008364100929448,0.671616080192999,939
Technicians,0,0.0118661231096918,-0.000270074633601,,-0.0270074633601012,-2.27601408736796,0.0002747331521484,0.325919492336386,2142
Technicians,25,0.0135689472888584,-0.0008585947032566,**,-0.0858594703256616,-6.32764417886433,0.0003760509899385,0.0228611537404458,1425
Technicians,50,0.0141066353461905,-0.0012435482145856,**,-0.12435482145856,-8.81534245458061,0.0004913366000689,0.0117578122205205,1203
Technicians,100,0.0150601484395419,-0.001426992974145,*,-0.142699297414504,-9.47529156086091,0.0007327236691051,0.052369373109763,939
Office assistants,0,0.0099403215887613,0.0003217254597058,,0.0321725459705858,3.23656993220023,0.0002564485986462,0.210056271152258,2142
Office assistants,25,0.0111696196316781,2.66754836590836e-05,,0.0026675483659083,0.238821773155366,0.0003346643969383,0.936503008821808,1425
Office assistants,50,0.0113971177525474,-0.0004430427347411,,-0.0443042734741188,-3.88732260524518,0.0003851574644679,0.250711715103546,1203
Office assistants,100,0.0122198932107397,-0.0007893422197096,,-0.0789342219709694,-6.45948541527325,0.000552227823214,0.153896148705497,939
Service & sales,0,0.0506750100488116,0.000192394435422,,0.0192394435422037,0.379663339458083,0.0009276547514207,0.835757679035408,2142
Service & sales,25,0.0571424243397464,-0.0013278292313132,,-0.132782923131321,-2.32371875477046,0.0012398166943904,0.284719688661685,1425
Service & sales,50,0.0590123972989819,-0.0027478521196028,*,-0.274785211960284,-4.65639805426147,0.0015274536157268,0.0727761611711842,1203
Service & sales,100,0.0617818455693121,-0.0060906050184693,***,-0.609060501846935,-9.858243894052,0.0022812988773865,0.0079871551821394,939
Agricultural occ.,0,0.667233174164653,0.0039311030222946,,0.393110302229468,0.589164803925741,0.0031679964857442,0.21505826104246,2142
Agricultural occ.,25,0.652176795005383,0.0029044564738627,,0.290445647386271,0.445348024662352,0.0039723769742265,0.465040661229424,1425
Agricultural occ.,50,0.648428161806132,0.0007474080613534,,0.0747408061353491,0.115264589877105,0.004579070110795,0.870425547408197,1203
Agricultural occ.,100,0.640528197294036,0.0053587731908449,,0.535877319084494,0.836617843442884,0.0059246653102428,0.366435947316021,939
Craft & trades,0,0.0615363965226041,0.0039854498535756,***,0.398544985357562,6.47657334324354,0.0011601172326939,0.0006259863631697,2142
Craft & trades,25,0.063665275945734,0.0025796478942742,*,0.257964789427427,4.05189148394342,0.0014924628663135,0.0845587354363201,1425
Craft & trades,50,0.0645832304541951,0.0014121122678651,,0.141211226786511,2.18649989778172,0.0017811033122393,0.428346822254145,1203
Craft & trades,100,0.0654558134630519,0.0018270051061826,,0.182700510618261,2.79120372893068,0.0022420809884921,0.415768143122646,939
Machine operators,0,0.0153747796463934,-0.0001186450034563,,-0.0118645003456329,-0.771685878985333,0.0003440313162715,0.730296161372892,2142
Machine operators,25,0.0179167400696923,0.0022412894709846,***,0.224128947098466,12.5094713785349,0.0006692272693085,0.0008754843202008,1425
Machine operators,50,0.0179801766930225,0.0017887481404212,***,0.178874814042124,9.94844584099885,0.0006191284109798,0.0040731292146241,1203
Machine operators,100,0.0186665925796954,0.0024395098404018,***,0.243950984040187,13.0688545860022,0.0008486826007911,0.0043251177511133,939
Elementary,0,0.132340358935594,-0.0015128007648107,,-0.151280076481072,-1.14311369334199,0.0020796340212532,0.46719766400596,2142
Elementary,25,0.127062572030975,-0.0022926198051885,,-0.229261980518859,-1.80432346720457,0.0025305929787566,0.365416515271152,1425
Elementary,50,0.125646144789812,0.0027502126863809,,0.275021268638091,2.188855607931,0.0029969139117222,0.359338577333457,1203
Elementary,100,0.124436712051032,0.000382182788436,,0.038218278843604,0.307130252910658,0.0037087875741685,0.917991152715771,939
Armed forces,0,0.0021054629966107,-0.0005793721927811,,-0.0579372192781144,-27.5175670963477,0.0005180111114133,0.263749333993355,2142
Armed forces,25,0.0024910492866504,0.0002570352259982,,0.0257035225998227,10.3183516831915,0.0009293270722529,0.782221577567819,1425
Armed forces,50,0.0023233939143156,0.0005382098907345,,0.0538209890734535,23.1648145163131,0.0009575714063806,0.574391867280924,1203
Armed forces,100,0.0020689658149598,-0.0006036076395846,,-0.0603607639584674,-29.174365048481,0.0010120038919822,0.551308524797219,939
