dataset,variable,group,label,keep
census,absent_hh_share,Migrants & migration,Share of HH with migrant member,Y
census,amen_toilet_none,Amenities,No toilet,Y
census,amen_toilet_ordinary,Amenities,Ordinary toilet,Y
census,amen_toilet_modern,Amenities,Modern toilet,Y
census,amen_toilet_any,Amenities,Any toilet,Y
census,amen_water_traditional,Amenities,Traditional water source,Y
census,amen_water_piped,Amenities,Piped water,Y
census,amen_lighting_others,Amenities,Other lighting,Y
census,amen_lighting_biogas,Amenities,Biogas lighting,Y
census,amen_lighting_kerosene,Amenities,Kerosene lighting,Y
census,amen_lighting_electricity,Amenities,Electricity for lighting,Y
census,amen_cooking_kerosene,Amenities,Cooks with kerosene,Y
census,amen_cooking_wood,Amenities,Cooks with wood,Y
census,amen_cooking_biogas,Amenities,Cooks with biogas,Y
census,amen_cooking_electric,Amenities,Cooks with electricity,Y
census,amen_cooking_lpg,Amenities,Cooks with LPG,Y
census,amen_cooking_traditional,Amenities,Traditional cooking fuel,Y
census,amen_cooking_modern,Amenities,Modern cooking fuel,Y
census,edu_school_attend_6_16,Education,School attendance 6–16,Y
census,edu_school_attend_6_16_female,Education,Female attendance 6–16,Y
census,edu_school_attend_6_16_male,Education,Male attendance 6–16,Y
census,edu_years_mean,Education,Mean years of schooling,Y
census,edu_attain_primary_plus,Education,Attained primary+,Y
census,edu_attain_secondary_plus,Education,Attained secondary+,Y
census,amen_asset_count_mean,Assets (durables),Durables per HH (count),Y
census,edu_attain_higher_secondary_plus,Education,Attained higher-secondary+,Y
census,housing_own,Housing,Own dwelling,Y
census,housing_rented,Housing,Rented dwelling,Y
census,housing_foundation_modern,Housing,Modern foundation,Y
census,housing_foundation_traditional,Housing,Traditional foundation,Y
census,housing_roof_modern,Housing,Modern roof,Y
census,housing_roof_traditional,Housing,Traditional roof,Y
census,edu_attain_tertiary,Education,Attained tertiary,Y
census,edu_literate_male,Education,Male literacy,Y
census,amen_assets_mobile,Assets (durables),Owns mobile,Y
census,amen_assets_tv,Assets (durables),Owns TV,Y
census,ent_other,HH enterprise,Other enterprise,Y
census,ent_transport,HH enterprise,Transport enterprise,Y
census,ent_services,HH enterprise,Services enterprise,Y
census,ent_trade,HH enterprise,Trade enterprise,Y
census,ent_cottage,HH enterprise,Cottage industry,Y
census,ent_has_nonagro,HH enterprise,Has non-ag enterprise,Y
census,left_without_parents,Left-behind children,Without parents,Y
census,left_not_with_both,Left-behind children,Not with both parents,Y
census,left_with_relatives,Left-behind children,Left with relatives,Y
census,left_mother_only,Left-behind children,Left with mother only,Y
census,left_father_only,Left-behind children,Left with father only,Y
census,share_women,HH demographics,Female population share,Y
census,share_men,HH demographics,Male population share,Y
census,head_female_elderly,HH demographics,Female elderly head,Y
census,head_young_share,HH demographics,Young head,Y
census,head_elderly_share,HH demographics,Elderly head,Y
census,head_age_mean,HH demographics,Mean head age,Y
census,amen_assets_fridge,Assets (durables),Owns fridge,Y
census,amen_assets_computer,Assets (durables),Owns computer,Y
census,amen_assets_internet,Assets (durables),Has internet,Y
census,amen_assets_landline,Assets (durables),Has landline,Y
census,amen_assets_cycle,Assets (durables),Owns bicycle,Y
census,amen_assets_motorcycle,Assets (durables),Owns motorcycle,Y
census,amen_assets_radio,Assets (durables),Owns radio,Y
census,amen_assets_car,Assets (durables),Owns car,Y
census,fem_ownership_house,Female autonomy,Female owns house,Y
census,fem_ownership_land,Female autonomy,Female owns land,Y
census,fem_ownership_both,Female autonomy,Female owns house + land,Y
census,fem_share_of_ag_workers,Female autonomy,Female share of ag workers,Y
census,fem_ag_specialization_ratio,Female autonomy,Female ag-specialisation ratio,Y
census,head_female_share,HH demographics,Female-headed HH,Y
census,amen_assets_none,Assets (durables),No durables,Y
census,edu_literate_female,Education,Female literacy,Y
census,fem_wage_share_of_employment,Female autonomy,Female share of wage emp,Y
census,mort_children_dead_mean,Child mortality,Mean children dead,Y
census,ind_health,Industry (sector),Health sector,Y
census,ind_education,Industry (sector),Education sector,Y
census,ind_public_admin_defence,Industry (sector),Public admin & defence,Y
census,ind_finance_real_estate_prof,Industry (sector),Finance / real estate / prof,Y
census,ind_transport_accommodation,Industry (sector),Transport & accommodation,Y
census,ind_wholesale_retail,Industry (sector),Wholesale & retail trade,Y
census,ind_construction,Industry (sector),Construction,Y
census,ind_manufacturing,Industry (sector),Manufacturing,Y
