dataset,outcome,baseline,cmig_log,lag1,lag2,lag3,lag4,lag5,lag10,sig05/8,sign/8
census,Migrant-HH share,+0.006**,-0.005,+0.005*,+0.017***,+0.017***,+0.017***,+0.017***,-0.001,5/8,6/8
hh,log(intl remit),+0.497,-0.409,-0.121,+0.580*,+0.471,+0.403*,+0.345*,-0.014,0/8,5/8
hh,log(# intl migrants),+0.037*,+0.042,+0.011,+0.036*,+0.018,+0.024,+0.021*,-0.003,0/8,7/8
census,Durables / HH,+0.061**,-0.069,+0.065**,+0.066**,+0.065**,+0.064**,+0.063**,+0.008,6/8,7/8
census,Modern housing,+0.021***,-0.037,+0.022***,+0.023***,+0.022***,+0.022***,+0.023***,+0.026,6/8,7/8
census,Toilet adoption,+0.059***,-0.042,+0.058***,+0.066***,+0.064***,+0.064***,+0.065***,-0.005,6/8,6/8
census,Literate (pop 6+),+0.007***,-0.011,+0.008***,+0.007***,+0.007***,+0.007***,+0.007***,+0.002,6/8,7/8
census,"Literate, female",+0.010***,-0.006,+0.010***,+0.010***,+0.010***,+0.010***,+0.010***,+0.005,6/8,7/8
census,School attendance 6-16,+0.009***,+0.004,+0.009***,+0.004,+0.004,+0.004,+0.004,+0.009*,2/8,8/8
hh,Health spending total,+6603**,+7753,-2744,+2282*,+978.935,+1651,+1271,+1102,1/8,7/8
census,Agriculture (emp),-0.006,+0.023*,-0.005,-0.011**,-0.011**,-0.011**,-0.011**,-0.003,4/8,7/8
census,Manufacturing (emp),+0.000,-0.014***,+0.000,+0.001,+0.000,+0.000,+0.000,+0.001,1/8,7/8
census,Construction (emp),+0.008***,-0.006,+0.008***,+0.010***,+0.010***,+0.010***,+0.010***,+0.006,6/8,7/8
census,Trade & retail (emp),-0.001,+0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,0/8,7/8
census,Finance/RE (emp),-0.002***,+0.005**,-0.002***,-0.001,-0.001,-0.001,-0.001,-0.001,3/8,7/8
census,Public admin (emp),+0.001,-0.008,+0.001,+0.001,+0.001,+0.001,+0.001,-0.010*,0/8,6/8
census,Managers,-0.004***,+0.003,-0.004***,-0.004***,-0.004***,-0.004***,-0.004***,+0.001,6/8,6/8
census,Professionals,+0.000,+0.002,+0.000,+0.001,+0.001,+0.001,+0.001,+0.000,0/8,8/8
census,Technicians,-0.001**,-0.000,-0.001***,-0.001,-0.001,-0.001,-0.001,+0.001,2/8,7/8
census,Service & sales,-0.001,+0.004,-0.002,-0.000,-0.001,-0.001,-0.001,-0.003,0/8,7/8
census,Craft & trades,+0.003*,-0.025***,+0.002,+0.003**,+0.003**,+0.003**,+0.004**,+0.005*,5/8,7/8
census,Machine operators,+0.002***,-0.005**,+0.002***,+0.002***,+0.002***,+0.002***,+0.002***,+0.002,7/8,7/8
hh,Own-cult wet,-0.037**,+0.025,-0.008,-0.036**,-0.008,-0.010,-0.010,-0.005,2/8,7/8
hh,Own-cult dry,-0.056,-0.154,+0.026,-0.054,-0.052*,-0.026,-0.023,-0.008,0/8,7/8
hh,Both seasons,-0.059,-0.158,+0.023,-0.053,-0.048,-0.024,-0.021,-0.010,0/8,7/8
hh,Fallow wet,+0.014,+0.062,+0.012,+0.016,+0.007,+0.011,+0.009,-0.009,0/8,7/8
hh,Fallow dry,+0.046,+0.233*,-0.036,+0.036,+0.050,+0.025,+0.021,+0.003,0/8,7/8
hh,Crop diversity,-0.125***,+0.082,+0.105**,-0.049*,-0.054**,-0.038*,-0.026*,-0.037,3/8,6/8
hh,Horticulture,-0.185***,+0.138,+0.197***,-0.018,+0.026,+0.012,+0.007,-0.115***,3/8,3/8
hh,Owns plough,+0.008,-0.150,-0.089,-0.020,-0.008,-0.027,-0.026,+0.032,0/8,2/8
hh,Powered machinery,-0.002,-0.006,+0.011,-0.006,-0.000,+0.008,+0.009,-0.002,0/8,5/8
hh,Irrigation equip,+0.054,+0.065,+0.072*,+0.081**,+0.049,+0.050*,+0.044**,-0.027,2/8,7/8
hh,Food/wk,+1.562,-406.688,-16.823,+1.453,-80.738,-21.267,-18.491,+37.785,0/8,3/8
hh,Protein/wk,-13.048,-127.847,+3.971,+6.052,-26.928,-19.293,-16.670,+11.117,0/8,5/8
hh,Non-food/yr,+44313,-2755,-30291,+988.416,-17793*,-10632,-8854,+24388,0/8,3/8
hh,Clothing/yr,+2636**,-7423**,-793.097,+1976**,+1298*,+1670***,+1375***,+278.202,5/8,6/8
hh,Fuel/yr,+646.546,+1789,-322.563,+18.136,-184.899,-78.755,-57.154,+242.999,0/8,4/8
hh,Food insec,-0.046,-0.823,+0.093,+0.223,+0.211,+0.157,+0.129,-0.120,0/8,3/8
nec_panel,All new firms,-0.007,+0.192***,-0.008,-0.002,-0.010,+0.004,+0.004,+0.010,1/8,4/8
nec_panel,Size 1,-0.008,+0.217***,-0.007,-0.002,-0.015,-0.004,-0.010,+0.042,1/8,6/8
nec_panel,Size 2-9,-0.001,+0.251***,-0.006,-0.006,-0.013,-0.001,-0.001,-0.008,1/8,7/8
nec_panel,Size 10-50,-0.004,+0.132**,-0.007,-0.004,-0.008,-0.015,-0.011,+0.024,1/8,6/8
nec_panel,Mfg entry,-0.020,+0.252***,-0.019,-0.011,-0.014,-0.015,-0.025,+0.009,1/8,6/8
nec_panel,Trade entry,-0.004,+0.263***,-0.005,-0.011,-0.023,-0.001,-0.009,+0.022,1/8,6/8
nec_panel,Hospo entry,-0.026,+0.246***,-0.028,-0.037*,-0.060***,-0.043**,-0.035*,+0.061*,3/8,6/8
nec_cs,log(n_firms),-0.129*,-0.123*,-0.134*,-0.132*,-0.149**,-0.160**,-0.158**,-0.183***,4/8,8/8
nec_cs,log(emp),-0.142,-0.137,-0.147*,-0.145*,-0.167**,-0.187**,-0.185**,-0.215***,4/8,8/8
nec_cs,log(rev),-0.196,-0.190,-0.210,-0.206,-0.237*,-0.251**,-0.244*,-0.296**,2/8,8/8
nec_cs,log(cap),-0.289*,-0.283*,-0.298**,-0.291*,-0.316**,-0.318**,-0.309**,-0.342***,5/8,8/8
nec_cs,Industry diversity,+0.013**,+0.013**,+0.013**,+0.012**,+0.011**,+0.009*,+0.009*,+0.007,5/8,8/8
nec_cs,Female-led,+0.010*,+0.012*,+0.011*,+0.012*,+0.011*,+0.011*,+0.011*,+0.013**,1/8,8/8
