outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_asset_count_mean,S0_baseline,0,0,log_int,FALSE,0.0341962920732268,"",0.0217181402773024,0.115804001919754,2.66992412165453,1.29316091786062,1428,714,+0.034 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S0_baseline,25,0,log_int,FALSE,0.0614242057719339,**,0.0252339155808846,0.0152932949718432,2.89141403469394,1.30682007516563,950,475,+0.061 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S0_baseline,50,0,log_int,FALSE,0.0898753820316497,***,0.0273167296751242,0.00109022090696528,2.95665686724969,1.32801346481541,802,401,+0.090 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S0_baseline,100,0,log_int,FALSE,0.0966469895346332,***,0.0304821194248738,0.00167227891265294,3.02976983994328,1.35787816070551,626,313,+0.097 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag1,0,1,log_int,FALSE,0.0316053677610802,"",0.0221551451730285,0.15414807605061,2.66992412165453,1.29316091786062,1428,714,+0.032 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag1,25,1,log_int,FALSE,0.064657414455142,**,0.0263458775633407,0.014479421970839,2.89141403469394,1.30682007516563,950,475,+0.065 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag1,50,1,log_int,FALSE,0.0951922429087781,***,0.0286145637325021,0.000960067650465146,2.95665686724969,1.32801346481541,802,401,+0.095 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag1,100,1,log_int,FALSE,0.104012859308613,***,0.0318800962332903,0.00122618882303884,3.02976983994328,1.35787816070551,626,313,+0.104 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag2,0,2,log_int,FALSE,0.0283778386900552,"",0.023755570506806,0.232649888811302,2.66992412165453,1.29316091786062,1428,714,+0.028 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag2,25,2,log_int,FALSE,0.0658285252496933,**,0.0265574659115709,0.0135323853131429,2.89141403469394,1.30682007516563,950,475,+0.066 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag2,50,2,log_int,FALSE,0.0968008837257957,***,0.0287178687739669,0.000822550288886901,2.95665686724969,1.32801346481541,802,401,+0.097 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag2,100,2,log_int,FALSE,0.104889880757008,***,0.0318373961767458,0.00109922848339203,3.02976983994328,1.35787816070551,626,313,+0.105 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag3,0,3,log_int,FALSE,0.0327859862356451,"",0.0226013160314616,0.147324673798588,2.66992412165453,1.29316091786062,1428,714,+0.033 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag3,25,3,log_int,FALSE,0.0654326943870676,**,0.0264880775312754,0.0138520582428377,2.89141403469394,1.30682007516563,950,475,+0.065 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag3,50,3,log_int,FALSE,0.0972457384015452,***,0.0282748429138326,0.00064453335956342,2.95665686724969,1.32801346481541,802,401,+0.097 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag3,100,3,log_int,FALSE,0.107179471868066,***,0.0316786277849144,0.000807449038655911,3.02976983994328,1.35787816070551,626,313,+0.107 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag4,0,4,log_int,FALSE,0.0319685743072611,"",0.0222072851825521,0.150432656281711,2.66992412165453,1.29316091786062,1428,714,+0.032 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag4,25,4,log_int,FALSE,0.0638572739316747,**,0.0266964583859945,0.0171466560051199,2.89141403469394,1.30682007516563,950,475,+0.064 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag4,50,4,log_int,FALSE,0.0964178187725525,***,0.0281722145396222,0.000684631110098976,2.95665686724969,1.32801346481541,802,401,+0.096 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag4,100,4,log_int,FALSE,0.108819719094925,***,0.0316186944479256,0.00065706650556327,3.02976983994328,1.35787816070551,626,313,+0.109 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag5,0,5,log_int,FALSE,0.033204968548086,"",0.0230343560123258,0.149870952959333,2.66992412165453,1.29316091786062,1428,714,+0.033 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag5,25,5,log_int,FALSE,0.0631880585914774,**,0.0273185397889312,0.0211493332992717,2.89141403469394,1.30682007516563,950,475,+0.063 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag5,50,5,log_int,FALSE,0.0982395766542093,***,0.0286128463869045,0.000658296964185186,2.95665686724969,1.32801346481541,802,401,+0.098 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag5,100,5,log_int,FALSE,0.111310078565202,***,0.0320274585101317,0.000582231625372002,3.02976983994328,1.35787816070551,626,313,+0.111 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag10,0,10,log_int,FALSE,-0.0666985963571344,**,0.029956773117272,0.0262927399733532,2.66992412165453,1.29316091786062,1428,714,-0.067 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag10,25,10,log_int,FALSE,0.00805067261849341,"",0.052416225448522,0.877997417593296,2.89141403469394,1.30682007516563,950,475,+0.008 units (+0% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag10,50,10,log_int,FALSE,0.0524675814840384,"",0.0572145659270265,0.359678492442804,2.95665686724969,1.32801346481541,802,401,+0.052 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lag10,100,10,log_int,FALSE,0.109260080907712,**,0.0512234518372911,0.033704156028233,3.02976983994328,1.35787816070551,626,313,+0.109 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_log,0,0,log_int,TRUE,0.0452785492300677,"",0.0437057614889757,0.300559983266889,2.66992412165453,1.29316091786062,1428,714,+0.045 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_log,25,0,log_int,TRUE,-0.068537367073413,"",0.0993861792241812,0.490779062744892,2.89141403469394,1.30682007516563,950,475,-0.069 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_log,50,0,log_int,TRUE,-0.1116153447549,"",0.123792119789603,0.367793203282859,2.95665686724969,1.32801346481541,802,401,-0.112 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_log,100,0,log_int,TRUE,-0.194279913391023,*,0.116896602834326,0.0975209590965333,3.02976983994328,1.35787816070551,626,313,-0.194 units (-6% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_linear,0,0,lin_int,FALSE,0.218628137239628,**,0.086138605985322,0.0113574243177852,2.66992412165453,1.29316091786062,1428,714,+0.219 units (+8% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_linear,25,0,lin_int,FALSE,0.0643776367724194,"",0.125726093157634,0.608856778379497,2.89141403469394,1.30682007516563,950,475,+0.064 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_linear,50,0,lin_int,FALSE,-0.0699695095370337,"",0.151833987933277,0.64517171870385,2.95665686724969,1.32801346481541,802,401,-0.070 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_both_linear,100,0,lin_int,FALSE,-0.283511808876961,*,0.159240417126953,0.075983379071324,3.02976983994328,1.35787816070551,626,313,-0.284 units (-9% of mean),
