outcome_group,dataset,outcome,spec,threshold,lag,c_mig_log_flag,c_fx_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.137622014809615,**,0.0685175994463589,0.0451500214239042,0.629362628813075,0.752448862030234,8075,475,+13.8% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.211277773288588,***,0.068100527410986,0.00203390768383727,0.651811081833188,0.760949448248393,7600,475,+21.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.143922640352973,**,0.0703170733774316,0.0412319729599918,0.693815502357397,0.777128488793962,6650,475,+14.4% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.0768562217395632,"",0.0665597628624513,0.248797166519391,0.629362628813075,0.752448862030234,8075,475,+7.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.147228683840714,**,0.0682441154549582,0.0314776973280265,0.651811081833188,0.760949448248393,7600,475,+14.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0894957626580961,"",0.0663205973089378,0.177839387410391,0.693815502357397,0.777128488793962,6650,475,+8.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.0574841041205534,*,0.0295990863486662,0.0527181735416931,0.0629903231249837,0.249146002448027,8075,475,+5.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.00816088538960126,"",0.0288311740084708,0.777256192137864,0.0659463341164315,0.254633822091372,7600,475,+0.8% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.0619039151863801,**,0.0254154896801185,0.015231484688196,0.0723541969277862,0.266236295934941,6650,475,+6.2% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.0375492536751913,"",0.0287931486182538,0.192831122777809,0.0629903231249837,0.249146002448027,8075,475,+3.8% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,-0.00314812497711642,"",0.0277052643138453,0.909579908342767,0.0659463341164315,0.254633822091372,7600,475,-0.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_construction,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0414277890182089,"",0.025188984182966,0.100699046199623,0.0723541969277862,0.266236295934941,6650,475,+4.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.121633957880418,**,0.05859693335763,0.0384534765726623,1.03342177489394,0.795684974640244,8075,475,+12.2% change (log outcome),""
