outcome_group,dataset,outcome,spec,threshold,treatment_type,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_asset_count_mean,S0_baseline,25,log_int,0.0614242057719339,**,0.0252339155808846,0.0152932949718432,2.89141403469394,1.30682007516563,950,475,+0.061 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_fx_alone,25,fx_alone,0.373302840932055,"",0.332705327226707,0.262420955085316,2.89141403469394,1.30682007516563,950,475,+0.373 units (+13% of mean),
Assets / amenities,census,amen_assets_car,S0_baseline,25,log_int,-0.00236694805797878,***,0.00070953342353613,0.000916950231407464,0.0144371932551387,0.0172204882008469,950,475,-0.24pp (-16% of mean),
Assets / amenities,census,amen_assets_car,S_fx_alone,25,fx_alone,-0.00667447697502823,"",0.00762645711293101,0.381922481631733,0.0144371932551387,0.0172204882008469,950,475,-0.67pp (-46% of mean),
Assets / amenities,census,amen_assets_computer,S0_baseline,25,log_int,-0.0048169837215701,***,0.00164035592836267,0.00348034045000404,0.0641021908365583,0.083480240479912,950,475,-0.48pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_fx_alone,25,fx_alone,0.0160798261345206,"",0.0250033705249642,0.520466081258107,0.0641021908365583,0.083480240479912,950,475,+1.61pp (+25% of mean),
Assets / amenities,census,amen_assets_cycle,S0_baseline,25,log_int,0.00378238438539699,*,0.00216302645475149,0.0809982089408585,0.255511159741158,0.316363652467823,950,475,+0.38pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_fx_alone,25,fx_alone,0.056097892758807,**,0.0224297846802801,0.0127191101081943,0.255511159741158,0.316363652467823,950,475,+5.61pp (+22% of mean),
Assets / amenities,census,amen_assets_fridge,S0_baseline,25,log_int,-0.00567499614125487,"",0.00469397674386763,0.227267339848194,0.0951943443733883,0.135565942444229,950,475,-0.57pp (-6% of mean),
Assets / amenities,census,amen_assets_fridge,S_fx_alone,25,fx_alone,0.0176564741212661,"",0.0624619494014653,0.777548855975518,0.0951943443733883,0.135565942444229,950,475,+1.77pp (+19% of mean),
Assets / amenities,census,amen_assets_internet,S0_baseline,25,log_int,-0.0291242202895321,***,0.00803895369678534,0.000322796153343034,0.159992730393393,0.200404760833903,950,475,-2.91pp (-18% of mean),
Assets / amenities,census,amen_assets_internet,S_fx_alone,25,fx_alone,0.070943807663559,"",0.108577654645635,0.513820191715736,0.159992730393393,0.200404760833903,950,475,+7.09pp (+44% of mean),
Assets / amenities,census,amen_assets_landline,S0_baseline,25,log_int,0.00334950775108554,**,0.00135350678235096,0.0136840707922475,0.0347956222715259,0.0477657257005235,950,475,+0.33pp (+10% of mean),
Assets / amenities,census,amen_assets_landline,S_fx_alone,25,fx_alone,0.016739272289067,"",0.0174770111221507,0.338657908449018,0.0347956222715259,0.0477657257005235,950,475,+1.67pp (+48% of mean),
Assets / amenities,census,amen_assets_mobile,S0_baseline,25,log_int,0.0246298778097315,***,0.00550085231315549,0.0000094737448391616,0.773493542179108,0.187412297778411,950,475,+2.46pp (+3% of mean),
Assets / amenities,census,amen_assets_mobile,S_fx_alone,25,fx_alone,-0.125405151369021,**,0.0621791894679194,0.0442761011365987,0.773493542179108,0.187412297778411,950,475,-12.54pp (-16% of mean),
Assets / amenities,census,amen_assets_motorcycle,S0_baseline,25,log_int,0.0086467051586272,**,0.00381868019972144,0.0240055433066724,0.127868405788444,0.131815208419157,950,475,+0.86pp (+7% of mean),
Assets / amenities,census,amen_assets_motorcycle,S_fx_alone,25,fx_alone,0.0603702449704635,"",0.0516179483605942,0.242766184285087,0.127868405788444,0.131815208419157,950,475,+6.04pp (+47% of mean),
Assets / amenities,census,amen_assets_none,S0_baseline,25,log_int,0.00104209424043765,"",0.0025949567885013,0.68817088402077,0.100245695776512,0.0799007626627199,950,475,+0.10pp (+1% of mean),
Assets / amenities,census,amen_assets_none,S_fx_alone,25,fx_alone,0.0321366191525581,"",0.0290335419068694,0.268907636870681,0.100245695776512,0.0799007626627199,950,475,+3.21pp (+32% of mean),
Assets / amenities,census,amen_assets_radio,S0_baseline,25,log_int,0.0017367171986816,"",0.00687181392011713,0.800586013010225,0.450012100498177,0.181167897897572,950,475,+0.17pp (+0% of mean),
Assets / amenities,census,amen_assets_radio,S_fx_alone,25,fx_alone,0.0500723557626057,"",0.0688288447631213,0.467284482317083,0.450012100498177,0.181167897897572,950,475,+5.01pp (+11% of mean),
Assets / amenities,census,amen_assets_tv,S0_baseline,25,log_int,-0.00190869406859039,"",0.00514332330651224,0.710727871934396,0.382459974190735,0.200491807172147,950,475,-0.19pp (-0% of mean),
Assets / amenities,census,amen_assets_tv,S_fx_alone,25,fx_alone,0.0377002222296342,"",0.0621982062322325,0.544718332236125,0.382459974190735,0.200491807172147,950,475,+3.77pp (+10% of mean),
Assets / amenities,census,amen_cooking_biogas,S0_baseline,25,log_int,-0.000137613638538401,"",0.0017982119106583,0.939031294494854,0.015488037395696,0.0291345443813548,1425,475,-0.01pp (-1% of mean),
Assets / amenities,census,amen_cooking_biogas,S_fx_alone,25,fx_alone,0.00963668369931144,"",0.0107127560863815,0.368815343966657,0.015488037395696,0.0291345443813548,1425,475,+0.96pp (+62% of mean),
Assets / amenities,census,amen_cooking_electric,S0_baseline,25,log_int,0.000497028312878343,**,0.000245319230987987,0.0433195435169107,0.00238724102276648,0.00852116596699019,950,475,+0.05pp (+21% of mean),
Assets / amenities,census,amen_cooking_electric,S_fx_alone,25,fx_alone,0.000850207062826898,"",0.00275021880830671,0.757349648625142,0.00238724102276648,0.00852116596699019,950,475,+0.09pp (+36% of mean),
Assets / amenities,census,amen_cooking_kerosene,S0_baseline,25,log_int,0.00530726231998603,**,0.00230422698332337,0.0216955277523616,0.0231593404006335,0.0628736066244297,1425,475,+0.53pp (+23% of mean),
Assets / amenities,census,amen_cooking_kerosene,S_fx_alone,25,fx_alone,-0.0370273975685722,"",0.0257621567843012,0.151298613636314,0.0231593404006335,0.0628736066244297,1425,475,-3.70pp (-160% of mean),
Assets / amenities,census,amen_cooking_lpg,S0_baseline,25,log_int,0.00409877603291266,"",0.00718772601620247,0.568780674988034,0.147392857949522,0.218559292389676,1425,475,+0.41pp (+3% of mean),
Assets / amenities,census,amen_cooking_lpg,S_fx_alone,25,fx_alone,0.169444045410033,***,0.0549517470130676,0.00216512996890054,0.147392857949522,0.218559292389676,1425,475,+16.94pp (+115% of mean),
Assets / amenities,census,amen_cooking_modern,S0_baseline,25,log_int,0.00406483383941117,"",0.00666411143362611,0.542181354667733,0.164312430867186,0.223207274656949,1425,475,+0.41pp (+2% of mean),
Assets / amenities,census,amen_cooking_modern,S_fx_alone,25,fx_alone,0.184954015109964,***,0.0520214033848444,0.000415372022994431,0.164312430867186,0.223207274656949,1425,475,+18.50pp (+113% of mean),
Assets / amenities,census,amen_cooking_traditional,S0_baseline,25,log_int,-0.00350786550024643,"",0.00664763405724851,0.597963992279355,0.830846952009908,0.222060036708862,1425,475,-0.35pp (-0% of mean),
Assets / amenities,census,amen_cooking_traditional,S_fx_alone,25,fx_alone,-0.185780311408427,***,0.0523744748311654,0.000428154867400725,0.830846952009908,0.222060036708862,1425,475,-18.58pp (-22% of mean),
Assets / amenities,census,amen_cooking_wood,S0_baseline,25,log_int,0.00570822971575282,"",0.00927298700569701,0.538469740458495,0.722266412318828,0.277180338058469,1425,475,+0.57pp (+1% of mean),
Assets / amenities,census,amen_cooking_wood,S_fx_alone,25,fx_alone,-0.00848252493378173,"",0.0539915623595306,0.875226360066297,0.722266412318828,0.277180338058469,1425,475,-0.85pp (-1% of mean),
Assets / amenities,census,amen_lighting_biogas,S0_baseline,25,log_int,0.000256850140491384,**,0.000111684012238058,0.021893635978805,0.00176961893489486,0.00272718600928573,1425,475,+0.03pp (+15% of mean),
Assets / amenities,census,amen_lighting_biogas,S_fx_alone,25,fx_alone,-0.00163045428176927,"",0.00148737145878321,0.273548564730846,0.00176961893489486,0.00272718600928573,1425,475,-0.16pp (-92% of mean),
Assets / amenities,census,amen_lighting_electricity,S0_baseline,25,log_int,0.0128180631866533,"",0.00786052397731006,0.103620385500588,0.659417391464645,0.35616188377898,1425,475,+1.28pp (+2% of mean),
