outcome_group,dataset,outcome,spec,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_asset_count_mean,S0_baseline,25,0.0614242057719339,**,0.0252339155808846,0.0152932949718432,2.89141403469394,1.30682007516563,950,475,+0.061 (mean 2.891),
Assets / amenities,census,amen_asset_count_mean,S_levels,25,0.072372988262219,***,0.0136112775384356,0.000000162711840813052,2.89141403469394,1.30682007516563,950,475,+0.072 (mean 2.891),""
Assets / amenities,census,amen_assets_car,S0_baseline,25,-0.00236694805797878,***,0.00070953342353613,0.000916950231407464,0.0144371932551387,0.0172204882008469,950,475,-0.24pp (-16% of mean),
Assets / amenities,census,amen_assets_car,S_levels,25,-0.00169952098797871,***,0.000340220676507437,0.000000827251457928625,0.0144371932551387,0.0172204882008469,950,475,-0.17pp (-12% of mean),""
Assets / amenities,census,amen_assets_computer,S0_baseline,25,-0.0048169837215701,***,0.00164035592836267,0.00348034045000404,0.0641021908365583,0.083480240479912,950,475,-0.48pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_levels,25,-0.00160274592573032,**,0.000799937637039265,0.0456828145038965,0.0641021908365583,0.083480240479912,950,475,-0.16pp (-3% of mean),""
Assets / amenities,census,amen_assets_cycle,S0_baseline,25,0.00378238438539699,*,0.00216302645475149,0.0809982089408585,0.255511159741158,0.316363652467823,950,475,+0.38pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_levels,25,0.00121897583127973,"",0.00105349622367416,0.247823830336744,0.255511159741158,0.316363652467823,950,475,+0.12pp (+0% of mean),""
Assets / amenities,census,amen_assets_fridge,S0_baseline,25,-0.00567499614125487,"",0.00469397674386763,0.227267339848194,0.0951943443733883,0.135565942444229,950,475,-0.57pp (-6% of mean),
Assets / amenities,census,amen_assets_fridge,S_levels,25,0.00146748470714035,"",0.00234699007133494,0.532099735420524,0.0951943443733883,0.135565942444229,950,475,+0.15pp (+2% of mean),""
Assets / amenities,census,amen_assets_internet,S0_baseline,25,-0.0291242202895321,***,0.00803895369678534,0.000322796153343034,0.159992730393393,0.200404760833903,950,475,-2.91pp (-18% of mean),
Assets / amenities,census,amen_assets_internet,S_levels,25,-0.0181610345837476,***,0.00395595691992307,0.00000566331532998901,0.159992730393393,0.200404760833903,950,475,-1.82pp (-11% of mean),""
Assets / amenities,census,amen_assets_landline,S0_baseline,25,0.00334950775108554,**,0.00135350678235096,0.0136840707922475,0.0347956222715259,0.0477657257005235,950,475,+0.33pp (+10% of mean),
Assets / amenities,census,amen_assets_landline,S_levels,25,0.00123582290112773,*,0.000644261023610009,0.0556858219216161,0.0347956222715259,0.0477657257005235,950,475,+0.12pp (+4% of mean),""
Assets / amenities,census,amen_assets_mobile,S0_baseline,25,0.0246298778097315,***,0.00550085231315549,0.0000094737448391616,0.773493542179108,0.187412297778411,950,475,+2.46pp (+3% of mean),
Assets / amenities,census,amen_assets_mobile,S_levels,25,0.0123249717637058,***,0.00302853501987253,0.0000551625300254979,0.773493542179108,0.187412297778411,950,475,+1.23pp (+2% of mean),""
Assets / amenities,census,amen_assets_motorcycle,S0_baseline,25,0.0086467051586272,**,0.00381868019972144,0.0240055433066724,0.127868405788444,0.131815208419157,950,475,+0.86pp (+7% of mean),
Assets / amenities,census,amen_assets_motorcycle,S_levels,25,0.0131341213869719,***,0.00208907242410592,0.000000000734979807897624,0.127868405788444,0.131815208419157,950,475,+1.31pp (+10% of mean),""
Assets / amenities,census,amen_assets_none,S0_baseline,25,0.00104209424043765,"",0.0025949567885013,0.68817088402077,0.100245695776512,0.0799007626627199,950,475,+0.10pp (+1% of mean),
Assets / amenities,census,amen_assets_none,S_levels,25,0.000610005117040863,"",0.00138283206437744,0.659321904850165,0.100245695776512,0.0799007626627199,950,475,+0.06pp (+1% of mean),""
Assets / amenities,census,amen_assets_radio,S0_baseline,25,0.0017367171986816,"",0.00687181392011713,0.800586013010225,0.450012100498177,0.181167897897572,950,475,+0.17pp (+0% of mean),
Assets / amenities,census,amen_assets_radio,S_levels,25,0.00688990165759382,*,0.00350649743635347,0.0500099505505437,0.450012100498177,0.181167897897572,950,475,+0.69pp (+2% of mean),""
