outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S0_baseline,0,0,log_int,FALSE,log/lin,0.0528060792050392,"",0.0634244133102631,0.407723425933948,5,0.716186257619939,714,714,+0.053 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S0_baseline,25,0,log_int,FALSE,log/lin,-0.021730123993589,"",0.0547701330087335,0.693032419441192,5,0.655482876524281,469,475,-0.022 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S0_baseline,50,0,log_int,FALSE,log/lin,-0.0159242149380167,"",0.0493992301364324,0.748382242938007,5,0.668159224457614,399,401,-0.016 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S0_baseline,100,0,log_int,FALSE,log/lin,-0.00759516988520865,"",0.0463929915735176,0.870658486480796,5,0.657962148658457,305,313,-0.008 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag1,0,1,log_int,FALSE,log/lin,0.0504661953466505,"",0.0666920287599629,0.451597149736641,5,0.716186257619939,714,714,+0.050 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag1,25,1,log_int,FALSE,log/lin,-0.0178205226776179,"",0.0527336337209101,0.736653908130079,5,0.655482876524281,469,475,-0.018 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag1,50,1,log_int,FALSE,log/lin,-0.0160144126431273,"",0.0488415905008474,0.744221560274428,5,0.668159224457614,399,401,-0.016 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag1,100,1,log_int,FALSE,log/lin,-0.0000209660477315729,"",0.0482045994833384,0.999654809976041,5,0.657962148658457,305,313,-0.000 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag2,0,2,log_int,FALSE,log/lin,0.0545233899019172,"",0.0670779818349545,0.418884941558121,5,0.716186257619939,714,714,+0.055 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag2,25,2,log_int,FALSE,log/lin,-0.017938719278174,"",0.0519836674206183,0.73130158784047,5,0.655482876524281,469,475,-0.018 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag2,50,2,log_int,FALSE,log/lin,-0.0174684225452624,"",0.0493342444589481,0.72460637497859,5,0.668159224457614,399,401,-0.017 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag2,100,2,log_int,FALSE,log/lin,-0.00628927118118097,"",0.0473287227211575,0.894851747581839,5,0.657962148658457,305,313,-0.006 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag3,0,3,log_int,FALSE,log/lin,0.0480877567652073,"",0.0669798076897602,0.475022225124335,5,0.716186257619939,714,714,+0.048 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag3,25,3,log_int,FALSE,log/lin,-0.013671901878524,"",0.0513752314160495,0.79110818141889,5,0.655482876524281,469,475,-0.014 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag3,50,3,log_int,FALSE,log/lin,-0.0122742546248023,"",0.0483314036733041,0.80045643942405,5,0.668159224457614,399,401,-0.012 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag3,100,3,log_int,FALSE,log/lin,-0.00581522337109186,"",0.0482290295134861,0.904541525997311,5,0.657962148658457,305,313,-0.006 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag4,0,4,log_int,FALSE,log/lin,0.0335038564420657,"",0.0628741847429878,0.595698007222958,5,0.716186257619939,714,714,+0.034 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag4,25,4,log_int,FALSE,log/lin,0.000102313360835482,"",0.0497169829788496,0.998365207518859,5,0.655482876524281,469,475,+0.000 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag4,50,4,log_int,FALSE,log/lin,0.00261165941705873,"",0.0460386282222283,0.954964137536305,5,0.668159224457614,399,401,+0.003 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag4,100,4,log_int,FALSE,log/lin,0.00822219381454469,"",0.049324166043234,0.868323519048034,5,0.657962148658457,305,313,+0.008 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag5,0,5,log_int,FALSE,log/lin,0.0272653920422921,"",0.0622017311665993,0.662401175692536,5,0.716186257619939,714,714,+0.027 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag5,25,5,log_int,FALSE,log/lin,0.00120460945967703,"",0.0499367527043341,0.980838986636446,5,0.655482876524281,469,475,+0.001 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag5,50,5,log_int,FALSE,log/lin,0.00467298415948465,"",0.0454119756520617,0.918408346291493,5,0.668159224457614,399,401,+0.005 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag5,100,5,log_int,FALSE,log/lin,0.0139074408469707,"",0.0499053748100675,0.781715807350785,5,0.657962148658457,305,313,+0.014 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag6,0,6,log_int,FALSE,log/lin,0.0293630852423988,"",0.0622572249284206,0.638551982671648,5,0.716186257619939,714,714,+0.029 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag6,25,6,log_int,FALSE,log/lin,0.000765425400587217,"",0.0482327479657332,0.987393989191994,5,0.655482876524281,469,475,+0.001 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag6,50,6,log_int,FALSE,log/lin,0.00671647141653575,"",0.0448999476881142,0.881627504945586,5,0.668159224457614,399,401,+0.007 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag6,100,6,log_int,FALSE,log/lin,0.0179401304135994,"",0.0519878611510557,0.731571534353568,5,0.657962148658457,305,313,+0.018 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag7,0,7,log_int,FALSE,log/lin,0.021478082301959,"",0.0628605013294826,0.733548355108535,5,0.716186257619939,714,714,+0.021 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag7,25,7,log_int,FALSE,log/lin,0.000715491531094483,"",0.0476100712895077,0.988062197465142,5,0.655482876524281,469,475,+0.001 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag7,50,7,log_int,FALSE,log/lin,0.00843242337662541,"",0.044634151213276,0.850836099627019,5,0.668159224457614,399,401,+0.008 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag7,100,7,log_int,FALSE,log/lin,0.0208813783958615,"",0.0526648071123395,0.693533794776418,5,0.657962148658457,305,313,+0.021 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag8,0,8,log_int,FALSE,log/lin,0.0150143854254268,"",0.0639684692443461,0.815069246456264,5,0.716186257619939,714,714,+0.015 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag8,25,8,log_int,FALSE,log/lin,-0.000602412664217271,"",0.0490240874528883,0.990238674104843,5,0.655482876524281,469,475,-0.001 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag8,50,8,log_int,FALSE,log/lin,0.00812392432166646,"",0.0444429331928452,0.855619428922407,5,0.668159224457614,399,401,+0.008 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag8,100,8,log_int,FALSE,log/lin,0.0250148176279287,"",0.05321483197757,0.640477321441138,5,0.657962148658457,305,313,+0.025 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag9,0,9,log_int,FALSE,log/lin,0.00716275522264192,"",0.0654373198805643,0.913130163057741,5,0.716186257619939,714,714,+0.007 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag9,25,9,log_int,FALSE,log/lin,0.000351766389034954,"",0.0498022797281657,0.994389044792989,5,0.655482876524281,469,475,+0.000 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag9,50,9,log_int,FALSE,log/lin,0.00653772611994589,"",0.0441982799316811,0.88293871328815,5,0.668159224457614,399,401,+0.007 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag9,100,9,log_int,FALSE,log/lin,0.0296773132265196,"",0.0541352024189441,0.586144143096556,5,0.657962148658457,305,313,+0.030 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag10,0,10,log_int,FALSE,log/lin,0.00445651853530595,"",0.0651786403222448,0.945669951537046,5,0.716186257619939,714,714,+0.004 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag10,25,10,log_int,FALSE,log/lin,0.00580916312860413,"",0.0473909763031476,0.902871247657477,5,0.655482876524281,469,475,+0.006 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag10,50,10,log_int,FALSE,log/lin,0.011628236994963,"",0.0442224879028586,0.793555302781007,5,0.668159224457614,399,401,+0.012 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_lin_lag10,100,10,log_int,FALSE,log/lin,0.0267669123435073,"",0.0542782399082697,0.624208173215024,5,0.657962148658457,305,313,+0.027 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag0,0,0,log_int,TRUE,log/log,0.0528118164948163,"",0.0640898646898967,0.412536729593735,5,0.716186257619939,714,714,+0.053 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag0,25,0,log_int,TRUE,log/log,-0.0250697831556255,"",0.0545783916590194,0.647740427394759,5,0.655482876524281,469,475,-0.025 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag0,50,0,log_int,TRUE,log/log,-0.015713999984481,"",0.0504650555981598,0.756665146206218,5,0.668159224457614,399,401,-0.016 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag0,100,0,log_int,TRUE,log/log,-0.0122864077861314,"",0.0464858528339806,0.792701063273232,5,0.657962148658457,305,313,-0.012 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag1,0,1,log_int,TRUE,log/log,0.0513872911168566,"",0.0669975670835099,0.445487884707038,5,0.716186257619939,714,714,+0.051 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag1,25,1,log_int,TRUE,log/log,-0.0199660666455448,"",0.0525578318828489,0.705440695627135,5,0.655482876524281,469,475,-0.020 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag1,50,1,log_int,TRUE,log/log,-0.015333622437597,"",0.0497066016222512,0.758859775484389,5,0.668159224457614,399,401,-0.015 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag1,100,1,log_int,TRUE,log/log,-0.00519497335400709,"",0.0481470392028878,0.914535838084315,5,0.657962148658457,305,313,-0.005 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag2,0,2,log_int,TRUE,log/log,0.0547994890016455,"",0.0675263352701096,0.419630799213099,5,0.716186257619939,714,714,+0.055 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag2,25,2,log_int,TRUE,log/log,-0.0203226155891992,"",0.0518619328193372,0.696622951889822,5,0.655482876524281,469,475,-0.020 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag2,50,2,log_int,TRUE,log/log,-0.0168609435596854,"",0.0503925063354932,0.739182652900724,5,0.668159224457614,399,401,-0.017 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag2,100,2,log_int,TRUE,log/log,-0.0110878407755172,"",0.0473624726344813,0.815919452976733,5,0.657962148658457,305,313,-0.011 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag3,0,3,log_int,TRUE,log/log,0.0481386647032286,"",0.0672767016298465,0.476501832065358,5,0.716186257619939,714,714,+0.048 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag3,25,3,log_int,TRUE,log/log,-0.0152346401940035,"",0.0510443570214673,0.766438315300099,5,0.655482876524281,469,475,-0.015 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag3,50,3,log_int,TRUE,log/log,-0.0103297978574664,"",0.0492091851868123,0.834495051543417,5,0.668159224457614,399,401,-0.010 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag3,100,3,log_int,TRUE,log/log,-0.0100101046944502,"",0.048326708413113,0.836800032016052,5,0.657962148658457,305,313,-0.010 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag4,0,4,log_int,TRUE,log/log,0.0333569807055978,"",0.0619693755072554,0.591976540247469,5,0.716186257619939,714,714,+0.033 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag4,25,4,log_int,TRUE,log/log,0.00225977235785121,"",0.0497848894584507,0.963954522813255,5,0.655482876524281,469,475,+0.002 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag4,50,4,log_int,TRUE,log/log,0.00686968088752714,"",0.0468357356725888,0.883914486115765,5,0.668159224457614,399,401,+0.007 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag4,100,4,log_int,TRUE,log/log,0.0063836886830044,"",0.0498097766249692,0.898568103253068,5,0.657962148658457,305,313,+0.006 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag5,0,5,log_int,TRUE,log/log,0.026785994767653,"",0.0609718604589406,0.661694805275279,5,0.716186257619939,714,714,+0.027 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag5,25,5,log_int,TRUE,log/log,0.00416602939251061,"",0.0501941050432088,0.934143619504908,5,0.655482876524281,469,475,+0.004 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag5,50,5,log_int,TRUE,log/log,0.00906737315786578,"",0.0462422171583023,0.845254004958859,5,0.668159224457614,399,401,+0.009 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag5,100,5,log_int,TRUE,log/log,0.0121269273004481,"",0.0504405057772353,0.811049964677437,5,0.657962148658457,305,313,+0.012 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag6,0,6,log_int,TRUE,log/log,0.0286650230308819,"",0.0609588657691537,0.639551333978744,5,0.716186257619939,714,714,+0.029 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag6,25,6,log_int,TRUE,log/log,0.00476564992450377,"",0.0487623878192057,0.922487895556422,5,0.655482876524281,469,475,+0.005 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag6,50,6,log_int,TRUE,log/log,0.0114626843411034,"",0.0458183563906268,0.80336625431271,5,0.668159224457614,399,401,+0.011 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag6,100,6,log_int,TRUE,log/log,0.0164481971162866,"",0.0525694847708783,0.755752307183775,5,0.657962148658457,305,313,+0.016 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag7,0,7,log_int,TRUE,log/log,0.0202251672475332,"",0.0608468084779659,0.740518350973154,5,0.716186257619939,714,714,+0.020 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag7,25,7,log_int,TRUE,log/log,0.0058794442696258,"",0.0481376391540936,0.903219174589138,5,0.655482876524281,469,475,+0.006 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag7,50,7,log_int,TRUE,log/log,0.0140856178719278,"",0.0453465432553352,0.757241482344324,5,0.668159224457614,399,401,+0.014 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag7,100,7,log_int,TRUE,log/log,0.0195323848947163,"",0.0530941564051184,0.714612837109637,5,0.657962148658457,305,313,+0.020 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag8,0,8,log_int,TRUE,log/log,0.0142487667544966,"",0.0618055132417687,0.818298330530029,5,0.716186257619939,714,714,+0.014 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag8,25,8,log_int,TRUE,log/log,0.00435481150833569,"",0.0493647866861505,0.930013447190129,5,0.655482876524281,469,475,+0.004 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag8,50,8,log_int,TRUE,log/log,0.0134793119951924,"",0.0449915072947829,0.765593915637824,5,0.668159224457614,399,401,+0.013 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag8,100,8,log_int,TRUE,log/log,0.0228531150742969,"",0.0533316180564118,0.670237613558527,5,0.657962148658457,305,313,+0.023 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag9,0,9,log_int,TRUE,log/log,0.00762963992781113,"",0.0635819720277387,0.904806467611505,5,0.716186257619939,714,714,+0.008 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag9,25,9,log_int,TRUE,log/log,0.00434721925171355,"",0.0497342681072573,0.930652827373615,5,0.655482876524281,469,475,+0.004 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag9,50,9,log_int,TRUE,log/log,0.0111556950625422,"",0.0446263518069436,0.80351759899921,5,0.668159224457614,399,401,+0.011 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag9,100,9,log_int,TRUE,log/log,0.0265610858127051,"",0.0539283582879369,0.624641021948582,5,0.657962148658457,305,313,+0.027 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag10,0,10,log_int,TRUE,log/log,0.0037374229573231,"",0.0622620820544462,0.952293578325903,5,0.716186257619939,714,714,+0.004 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag10,25,10,log_int,TRUE,log/log,0.01117848033456,"",0.0471072244547449,0.813275961810314,5,0.655482876524281,469,475,+0.011 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag10,50,10,log_int,TRUE,log/log,0.017744855798937,"",0.0442539708071725,0.689962427368663,5,0.668159224457614,399,401,+0.018 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_log_log_lag10,100,10,log_int,TRUE,log/log,0.024832122316324,"",0.0540307757474017,0.647927843744196,5,0.657962148658457,305,313,+0.025 index pts (baseline 0.000),""
