beta,se,pval,n,n_muni,mean_y,sd_y,dataset,outcome,lag,estimator,threshold,err,stars
-0.13712701669360353,0.08885478561410459,0.12829915708138384,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,0,ols_log,25,,
-0.1434354887292107,0.08540355082022191,0.09852807029267074,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,1,ols_log,25,,*
-0.14135450839667765,0.08621025725699685,0.10658644454082689,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,2,ols_log,25,,
-0.1642878844758481,0.08224289418607753,0.050541385500392,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,3,ols_log,25,,*
-0.18763649948215916,0.07899415216816146,0.02091989983523912,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,4,ols_log,25,,**
-0.18658617549566583,0.07954058589960371,0.02248867516288744,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,5,ols_log,25,,**
-0.18706702710832113,0.07792469455259872,0.019654608675630403,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,6,ols_log,25,,**
-0.19181143866532158,0.07614497349391547,0.014597331809258263,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,7,ols_log,25,,**
-0.19647550093588717,0.07705188382862056,0.013488336387019073,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,8,ols_log,25,,**
-0.20171535638736862,0.07605191443134042,0.010335614969903206,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,9,ols_log,25,,**
-0.21649948619315312,0.07117354660146338,0.0035506236139086766,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,10,ols_log,25,,***
-0.13321373197071604,0.08824503456038126,0.1366721017209609,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,0,ols_log,25,,
-0.14044086320551386,0.08491043916418921,0.10362729685582961,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,1,ols_log,25,,
-0.1379793236009752,0.08587101191049733,0.11361983378647067,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,2,ols_log,25,,
-0.16006887673828302,0.08229280319257383,0.056699923220702386,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,3,ols_log,25,,*
-0.18382056806936095,0.078584578704068,0.022856503495852776,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,4,ols_log,25,,**
-0.18280000257168313,0.07892221965907076,0.024165713525990284,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,5,ols_log,25,,**
-0.18384095703134362,0.07709337170992805,0.020444799018019433,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,6,ols_log,25,,**
-0.1887330223453034,0.07538679016772659,0.015184503501239233,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,7,ols_log,25,,**
-0.19327989654726657,0.07641407744919305,0.014216931601121585,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,8,ols_log,25,,**
-0.19826406582194062,0.07570557143907455,0.011282469537123863,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,9,ols_log,25,,**
-0.21419283704578432,0.07088477119325953,0.0037602284265019215,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,10,ols_log,25,,***
-0.13228745941459802,0.09088537475151935,0.15100516486541005,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,0,ols_log,25,,
-0.1402896894107243,0.08732335217926139,0.11367846461156117,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,1,ols_log,25,,
-0.13764802205484003,0.08822310338973871,0.12424186980412766,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,2,ols_log,25,,
-0.15887225174619307,0.0845640957393683,0.06539982367070274,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,3,ols_log,25,,*
-0.18178254581941283,0.08076017179629141,0.028265924627415506,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,4,ols_log,25,,**
-0.18073798053552315,0.08105149209156609,0.029707697017304024,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,5,ols_log,25,,**
-0.18133554641356017,0.07900991159624819,0.02542883691599873,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,6,ols_log,25,,**
-0.18567583393792786,0.07699522973470836,0.019130258135377387,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,7,ols_log,25,,**
-0.19013226621443402,0.07803426564225897,0.017975913604519667,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,8,ols_log,25,,**
-0.19564623601390652,0.0774431134708302,0.014328261345545767,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,9,ols_log,25,,**
-0.21074922827013545,0.07226678746440815,0.005058157257046503,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,10,ols_log,25,,***
-0.3379673068902876,0.13874449701629527,0.014854912895339911,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,0,ppml,25,,**
-0.345388973658647,0.1360993822321825,0.011156117180339153,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,1,ppml,25,,**
-0.3341697332885438,0.13518726311493465,0.01343961659424453,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,2,ppml,25,,**
-0.3556965026795346,0.12480308422097042,0.00437107353058197,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,3,ppml,25,,***
-0.4011750772027873,0.11317658710901682,0.00039308614904975947,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,4,ppml,25,,***
-0.40656943289979175,0.11278432879444103,0.0003123455840250422,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,5,ppml,25,,***
-0.40404126005840185,0.10963670197633354,0.0002284569505337508,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,6,ppml,25,,***
-0.4125073251993687,0.10768754236803206,0.00012783394024773465,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,7,ppml,25,,***
-0.41855760325032815,0.11112195343984192,0.00016545211338847565,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,8,ppml,25,,***
-0.4156219305618174,0.11331536838847009,0.0002446141605798591,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,9,ppml,25,,***
-0.42236296549863955,0.10189296512630905,3.3957183026345206e-05,469,475,5922.115789473684,21945.84396323633,nec_cs_full,emp_total,10,ppml,25,,***
-0.3297999011074442,0.1361448690807315,0.015417567579446345,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,0,ppml,25,,**
-0.3376233736987148,0.13347468735714316,0.011422724194650957,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,1,ppml,25,,**
-0.32656365268670257,0.1326351480045623,0.013811844056496048,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,2,ppml,25,,**
-0.34914326733097634,0.1221233073527895,0.004250585255916706,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,3,ppml,25,,***
-0.39278572125615613,0.11039102799533469,0.0003735032609235578,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,4,ppml,25,,***
-0.3967433773896675,0.11027149349265332,0.00032082406900202365,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,5,ppml,25,,***
-0.39332052244591476,0.1071477734900159,0.0002417706306589995,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,6,ppml,25,,***
-0.4026493596275425,0.10529600336570627,0.00013131685563494422,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,7,ppml,25,,***
