outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag0,0,0,log_int,True,ppml,-0.044654294425104,,0.06273561510993193,0.4765976795865452,1.3644568938686585,2.709997915493293,12258,714,-4.5% change in expected count (β·meanY ≈ -0.06 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag0,25,0,log_int,True,ppml,-0.01616832875922113,,0.04882974294008264,0.740556563322216,1.6042105263157895,2.9717083017280546,8190,475,-1.6% change in expected count (β·meanY ≈ -0.03 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag0,50,0,log_int,True,ppml,0.008209580984999973,,0.05694210353750846,0.885362930670375,1.6467165419783873,3.045976436455202,6930,401,+0.8% change in expected count (β·meanY ≈ +0.01 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag0,100,0,log_int,True,ppml,0.008031646968134167,,0.06773169823706318,0.9056078516440582,1.7255946041888535,3.222110097029431,5400,313,+0.8% change in expected count (β·meanY ≈ +0.01 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag1,0,1,log_int,True,ppml,-0.027868191641924937,,0.05975718044895235,0.6409598384329733,1.3644568938686585,2.709997915493293,12258,714,-2.8% change in expected count (β·meanY ≈ -0.04 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag1,25,1,log_int,True,ppml,1.0911289016387975e-05,,0.04673473911173139,0.9998137156827873,1.6042105263157895,2.9717083017280546,8190,475,+0.0% change in expected count (β·meanY ≈ +0.00 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag1,50,1,log_int,True,ppml,0.03252743544450438,,0.05321546224130474,0.5410405031482022,1.6467165419783873,3.045976436455202,6930,401,+3.3% change in expected count (β·meanY ≈ +0.05 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag1,100,1,log_int,True,ppml,0.028102983589044856,,0.06255667514435716,0.6532582717887458,1.7255946041888535,3.222110097029431,5400,313,+2.8% change in expected count (β·meanY ≈ +0.05 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag2,0,2,log_int,True,ppml,-0.0028184473833093603,,0.05917937801735493,0.9620147101611667,1.4097874443895204,2.76728789279066,11577,714,-0.3% change in expected count (β·meanY ≈ -0.00 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag2,25,2,log_int,True,ppml,0.034699250387538266,,0.04531447670404803,0.4438291433595649,1.6575851393188854,3.033669187296308,7735,475,+3.5% change in expected count (β·meanY ≈ +0.06 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag2,50,2,log_int,True,ppml,0.07781752775365315,,0.049758122097990964,0.11783727538020417,1.7017749743288837,3.110275368858948,6545,401,+7.8% change in expected count (β·meanY ≈ +0.13 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag2,100,2,log_int,True,ppml,0.054724545444756724,,0.05854469880382222,0.349918136688657,1.7874459688028566,3.291953090284069,5100,313,+5.5% change in expected count (β·meanY ≈ +0.10 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag3,0,3,log_int,True,ppml,0.007203375225294416,,0.05532084796913905,0.8963996021900418,1.4706757703081232,2.8305337385595943,10896,714,+0.7% change in expected count (β·meanY ≈ +0.01 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag3,25,3,log_int,True,ppml,0.04187738492139001,,0.04163092966920615,0.31445405292141704,1.7290789473684212,3.1011625740650697,7280,475,+4.2% change in expected count (β·meanY ≈ +0.07 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag3,50,3,log_int,True,ppml,0.0908280203389763,**,0.042764274345455516,0.03367659359472541,1.7750935162094763,3.1801817117916507,6160,401,+9.1% change in expected count (β·meanY ≈ +0.16 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_agriculture,S_ppml_lag3,100,3,log_int,True,ppml,0.06447219347248347,,0.050170119452638835,0.19876728014290546,1.8626198083067094,3.366367639178474,4800,313,+6.4% change in expected count (β·meanY ≈ +0.12 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_construction,S_ppml_lag0,0,0,log_int,True,ppml,-0.22082158457690157,*,0.11772020577763213,0.060680387917673606,0.09165888577653283,0.5710049701569282,5238,714,-22.1% change in expected count (β·meanY ≈ -0.02 firms),
Firm entry — by industry (PPML),nec_panel_ppml,new_firms_construction,S_ppml_lag0,25,0,log_int,True,ppml,-0.11896092474531739,,0.11165481705314426,0.28667922765521503,0.11695906432748537,0.6544020240536909,3960,475,-11.9% change in expected count (β·meanY ≈ -0.01 firms),
