outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag6,0,6,log_int,FALSE,log/lin,0.0294085342854371,"",0.0230920546095787,0.203243361164234,2.66992412165453,1.29316091786062,1428,714,714,+0.029 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag6,25,6,log_int,FALSE,log/lin,0.0643718105176127,**,0.0272437530707835,0.0185398828310526,2.89141403469394,1.30682007516563,950,475,475,+0.064 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag6,50,6,log_int,FALSE,log/lin,0.0985487384275127,***,0.0286716234960567,0.000649522540054166,2.95665686724969,1.32801346481541,802,401,401,+0.099 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag6,100,6,log_int,FALSE,log/lin,0.110514206472306,***,0.031912795364486,0.000608795079475736,3.02976983994328,1.35787816070551,626,313,313,+0.111 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag7,0,7,log_int,FALSE,log/lin,0.0129634657533868,"",0.0230495874470981,0.574009130019463,2.66992412165453,1.29316091786062,1428,714,714,+0.013 units (+0% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag7,25,7,log_int,FALSE,log/lin,0.0703022670893836,**,0.0275696942112273,0.0110863816674488,2.89141403469394,1.30682007516563,950,475,475,+0.070 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag7,50,7,log_int,FALSE,log/lin,0.105093732186597,***,0.0293666398467924,0.000387717033343937,2.95665686724969,1.32801346481541,802,401,401,+0.105 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag7,100,7,log_int,FALSE,log/lin,0.118537934999181,***,0.0321731107326454,0.000270200329238265,3.02976983994328,1.35787816070551,626,313,313,+0.119 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag8,0,8,log_int,FALSE,log/lin,-0.00391514513703822,"",0.0232397110246638,0.866262978012727,2.66992412165453,1.29316091786062,1428,714,714,-0.004 units (-0% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag8,25,8,log_int,FALSE,log/lin,0.0735489884319846,**,0.0287933089731525,0.0109493426759577,2.89141403469394,1.30682007516563,950,475,475,+0.074 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag8,50,8,log_int,FALSE,log/lin,0.110845287488921,***,0.0304896426376257,0.000313654125664067,2.95665686724969,1.32801346481541,802,401,401,+0.111 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag8,100,8,log_int,FALSE,log/lin,0.128029004472751,***,0.0326336829002335,0.000107507898044146,3.02976983994328,1.35787816070551,626,313,313,+0.128 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag9,0,9,log_int,FALSE,log/lin,-0.0336237046789988,"",0.0247696846706099,0.175066530542969,2.66992412165453,1.29316091786062,1428,714,714,-0.034 units (-1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag9,25,9,log_int,FALSE,log/lin,0.0689950273055889,**,0.0333862328244758,0.0393171200345673,2.89141403469394,1.30682007516563,950,475,475,+0.069 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag9,50,9,log_int,FALSE,log/lin,0.117359474160159,***,0.0344266963000035,0.000718345787469339,2.95665686724969,1.32801346481541,802,401,401,+0.117 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_lin_lag9,100,9,log_int,FALSE,log/lin,0.146690857085465,***,0.0343598210455364,0.0000260565137866341,3.02976983994328,1.35787816070551,626,313,313,+0.147 units (+5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag6,0,6,log_int,TRUE,log/log,0.0147540528935205,"",0.0536828804745092,0.783520929282761,2.66992412165453,1.29316091786062,1428,714,714,+0.015 units (+1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag6,25,6,log_int,TRUE,log/log,-0.141778488021043,"",0.125581422526814,0.259478750368666,2.89141403469394,1.30682007516563,950,475,475,-0.142 units (-5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag6,50,6,log_int,TRUE,log/log,-0.123030127388508,"",0.158571945340702,0.438288278096905,2.95665686724969,1.32801346481541,802,401,401,-0.123 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag6,100,6,log_int,TRUE,log/log,-0.154780251125133,"",0.150089938394781,0.303222327309322,3.02976983994328,1.35787816070551,626,313,313,-0.155 units (-5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag7,0,7,log_int,TRUE,log/log,-0.108105593537812,*,0.0642421511390129,0.0928549238970927,2.66992412165453,1.29316091786062,1428,714,714,-0.108 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag7,25,7,log_int,TRUE,log/log,-0.158875950847778,"",0.163572611736917,0.331900752575475,2.89141403469394,1.30682007516563,950,475,475,-0.159 units (-5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag7,50,7,log_int,TRUE,log/log,-0.0790820270796221,"",0.192471413932458,0.681382939946053,2.95665686724969,1.32801346481541,802,401,401,-0.079 units (-3% of mean),
