dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,absent_hh_share,S0_baseline,25,0,FALSE,0.00633557221410122,**,0.00278834661245888,0.0235239474392341,0.237475060617869,0.133108691850646,1425,475,
census,absent_hh_share,S1_cmig_log,25,0,TRUE,-0.00450484089854983,"",0.0130722199571594,0.730539099585644,0.237475060617869,0.133108691850646,1425,475,
census,absent_hh_share,S2_lag1,25,1,FALSE,0.00521124287816913,*,0.00288841197233944,0.0718362542086535,0.237475060617869,0.133108691850646,1425,475,
census,absent_hh_share,S3_lag2,25,2,FALSE,0.0168124146973247,***,0.00270229906327456,0.00000000108320840337447,0.279999101062171,0.116327589028262,950,475,
census,absent_hh_share,S4_lag3,25,3,FALSE,0.0168373424464078,***,0.00265191034187315,0.000000000507485725879461,0.279999101062171,0.116327589028262,950,475,
census,absent_hh_share,S5_lag4,25,4,FALSE,0.0168846144488435,***,0.00264057031999809,0.000000000386895149617644,0.279999101062171,0.116327589028262,950,475,
census,absent_hh_share,S6_lag5,25,5,FALSE,0.0171044455659379,***,0.00269001707310989,0.000000000479823048738658,0.279999101062171,0.116327589028262,950,475,
census,absent_hh_share,S7_lag10,25,10,FALSE,-0.000775970392534484,"",0.0053834141728148,0.8854504369454,0.279999101062171,0.116327589028262,950,475,
census,amen_asset_count_mean,S0_baseline,25,0,FALSE,0.0614242057719339,**,0.0252339155808846,0.0152932949718432,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S1_cmig_log,25,0,TRUE,-0.068537367073413,"",0.0993861792241812,0.490779062744892,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S2_lag1,25,1,FALSE,0.064657414455142,**,0.0263458775633407,0.014479421970839,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S3_lag2,25,2,FALSE,0.0658285252496933,**,0.0265574659115709,0.0135323853131429,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S4_lag3,25,3,FALSE,0.0654326943870676,**,0.0264880775312754,0.0138520582428377,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S5_lag4,25,4,FALSE,0.0638572739316747,**,0.0266964583859945,0.0171466560051199,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S6_lag5,25,5,FALSE,0.0631880585914774,**,0.0273185397889312,0.0211493332992717,2.89141403469394,1.30682007516563,950,475,
census,amen_asset_count_mean,S7_lag10,25,10,FALSE,0.00805067261849341,"",0.052416225448522,0.877997417593296,2.89141403469394,1.30682007516563,950,475,
