dataset,outcome,n_specs,beta_baseline,pval_base,mean_y,sign_match,n_other_specs,sig05_count,sig10_count,beta_min,beta_max,beta_mean,beta_sd,sign_share,stability
census,absent_hh_share,8.00000,0.00634,0.02352,0.23748,5.00000,7.00000,5.00000,6.00000,-0.00450,0.01710,0.00924,0.00886,0.71429,mostly_stable
census,amen_asset_count_mean,8.00000,0.06142,0.01529,2.89141,6.00000,7.00000,6.00000,6.00000,-0.06854,0.06583,0.04049,0.04824,0.85714,stable_sig
census,amen_assets_car,8.00000,-0.00237,0.00092,0.01444,6.00000,7.00000,7.00000,7.00000,-0.00245,0.00848,-0.00081,0.00380,0.85714,stable_sig
census,amen_assets_computer,8.00000,-0.00482,0.00348,0.06410,6.00000,7.00000,6.00000,6.00000,-0.00503,0.00904,-0.00246,0.00492,0.85714,stable_sig
census,amen_assets_cycle,8.00000,0.00378,0.08100,0.25551,6.00000,7.00000,0.00000,6.00000,-0.00906,0.00393,0.00185,0.00455,0.85714,stable_null
census,amen_assets_fridge,8.00000,-0.00567,0.22727,0.09519,6.00000,7.00000,0.00000,0.00000,-0.00575,0.01881,-0.00214,0.00850,0.85714,stable_null
census,amen_assets_internet,8.00000,-0.02912,0.00032,0.15999,6.00000,7.00000,6.00000,6.00000,-0.03046,0.03955,-0.01886,0.02453,0.85714,stable_sig
census,amen_assets_landline,8.00000,0.00335,0.01368,0.03480,5.00000,7.00000,6.00000,6.00000,-0.00523,0.00337,0.00128,0.00347,0.71429,mostly_stable
census,amen_assets_mobile,8.00000,0.02463,0.00001,0.77349,6.00000,7.00000,6.00000,6.00000,-0.00718,0.02563,0.01839,0.01286,0.85714,stable_sig
census,amen_assets_motorcycle,8.00000,0.00865,0.02401,0.12787,6.00000,7.00000,6.00000,6.00000,-0.00903,0.00926,0.00660,0.00633,0.85714,stable_sig
census,amen_assets_none,8.00000,0.00104,0.68817,0.10025,6.00000,7.00000,0.00000,0.00000,-0.00385,0.01846,0.00277,0.00659,0.85714,stable_null
census,amen_assets_radio,8.00000,0.00174,0.80059,0.45001,5.00000,7.00000,0.00000,0.00000,-0.01401,0.00174,-0.00190,0.00619,0.71429,stable_null
census,amen_assets_tv,8.00000,-0.00191,0.71073,0.38246,6.00000,7.00000,1.00000,1.00000,-0.02436,0.02095,-0.00259,0.01214,0.85714,noisy
census,amen_cooking_biogas,8.00000,-0.00014,0.93903,0.01549,5.00000,7.00000,0.00000,0.00000,-0.00863,0.00050,-0.00124,0.00303,0.71429,stable_null
census,amen_cooking_electric,8.00000,0.00050,0.04332,0.00239,6.00000,7.00000,7.00000,7.00000,-0.00132,0.00159,0.00045,0.00080,0.85714,stable_sig
census,amen_cooking_kerosene,8.00000,0.00531,0.02170,0.02316,2.00000,7.00000,3.00000,3.00000,-0.04621,0.00624,-0.00451,0.01708,0.28571,fragile_sig
census,amen_cooking_lpg,8.00000,0.00410,0.56878,0.14739,6.00000,7.00000,4.00000,4.00000,-0.00149,0.01515,0.00865,0.00695,0.85714,noisy
census,amen_cooking_modern,8.00000,0.00406,0.54218,0.16431,5.00000,7.00000,4.00000,4.00000,-0.00723,0.01623,0.00766,0.00914,0.71429,noisy
census,amen_cooking_traditional,8.00000,-0.00351,0.59796,0.83085,6.00000,7.00000,4.00000,4.00000,-0.01612,0.00966,-0.00724,0.00967,0.85714,noisy
census,amen_cooking_wood,8.00000,0.00571,0.53847,0.72227,6.00000,7.00000,0.00000,0.00000,-0.02664,0.03800,0.00370,0.01745,0.85714,stable_null
census,amen_lighting_biogas,8.00000,0.00026,0.02189,0.00177,6.00000,7.00000,6.00000,7.00000,-0.00048,0.00141,0.00043,0.00052,0.85714,stable_sig
census,amen_lighting_electricity,8.00000,0.01282,0.10362,0.65942,6.00000,7.00000,4.00000,4.00000,-0.03819,0.01848,0.00783,0.01934,0.85714,noisy
census,amen_lighting_kerosene,8.00000,-0.01675,0.02380,0.31327,5.00000,7.00000,6.00000,6.00000,-0.02205,0.02732,-0.01119,0.01773,0.71429,mostly_stable
census,amen_lighting_others,8.00000,0.01340,0.00767,0.05358,6.00000,7.00000,6.00000,6.00000,-0.00728,0.02780,0.01789,0.01202,0.85714,stable_sig
census,amen_toilet_any,8.00000,0.05875,0.00000,0.65791,5.00000,7.00000,6.00000,6.00000,-0.04185,0.06558,0.04096,0.04100,0.71429,mostly_stable
census,amen_toilet_modern,8.00000,-0.01311,0.18104,0.37497,5.00000,7.00000,0.00000,0.00000,-0.01476,0.03523,-0.00348,0.01753,0.71429,stable_null
census,amen_toilet_none,8.00000,-0.05819,0.00000,0.33596,5.00000,7.00000,6.00000,6.00000,-0.06552,0.04136,-0.04057,0.04115,0.71429,mostly_stable
census,amen_toilet_ordinary,8.00000,0.07103,0.00000,0.28148,5.00000,7.00000,6.00000,7.00000,-0.07613,0.07567,0.04382,0.05767,0.71429,mostly_stable
census,amen_water_piped,8.00000,-0.00635,0.38946,0.60473,2.00000,7.00000,0.00000,0.00000,-0.00716,0.03472,0.00366,0.01324,0.28571,stable_null
census,amen_water_traditional,8.00000,0.01381,0.05644,0.37866,6.00000,7.00000,1.00000,2.00000,-0.06263,0.01464,-0.00236,0.02496,0.85714,noisy
census,edu_attain_higher_secondary_plus,8.00000,-0.00073,0.64938,0.13011,5.00000,7.00000,0.00000,0.00000,-0.00161,0.00234,-0.00052,0.00135,0.71429,stable_null
census,edu_attain_primary_plus,8.00000,-0.00628,0.05265,0.84650,5.00000,7.00000,4.00000,6.00000,-0.01286,0.01483,-0.00533,0.01042,0.71429,noisy
census,edu_attain_secondary_plus,8.00000,-0.00979,0.00078,0.55526,6.00000,7.00000,6.00000,6.00000,-0.01166,0.00535,-0.00768,0.00629,0.85714,stable_sig
census,edu_attain_tertiary,8.00000,-0.00139,0.14047,0.05175,5.00000,7.00000,2.00000,5.00000,-0.00187,0.00661,-0.00032,0.00292,0.71429,noisy
census,edu_literate,8.00000,0.00739,0.00059,0.63998,6.00000,7.00000,6.00000,6.00000,-0.01057,0.00753,0.00416,0.00622,0.85714,stable_sig
census,edu_literate_female,8.00000,0.01037,0.00002,0.55176,6.00000,7.00000,6.00000,6.00000,-0.00567,0.01048,0.00728,0.00557,0.85714,stable_sig
census,edu_literate_male,8.00000,0.00544,0.01140,0.73526,6.00000,7.00000,6.00000,6.00000,-0.01421,0.00558,0.00211,0.00682,0.85714,stable_sig
census,edu_school_attend_6_16,8.00000,0.00902,0.00023,0.84414,7.00000,7.00000,2.00000,3.00000,0.00357,0.00944,0.00571,0.00274,1.00000,fragile_sig
census,edu_school_attend_6_16_female,8.00000,0.01317,0.00003,0.82752,7.00000,7.00000,2.00000,6.00000,0.00441,0.01383,0.00726,0.00388,1.00000,fragile_sig
census,edu_school_attend_6_16_male,8.00000,0.00491,0.02045,0.86033,7.00000,7.00000,2.00000,3.00000,0.00147,0.00933,0.00360,0.00272,1.00000,fragile_sig
census,edu_years_mean,8.00000,-0.02318,0.37411,7.15431,5.00000,7.00000,0.00000,1.00000,-0.02864,0.20697,0.01260,0.08029,0.71429,stable_null
census,emp_share_employee,8.00000,0.00204,0.43395,0.23087,2.00000,7.00000,0.00000,1.00000,-0.01740,0.00239,-0.00183,0.00641,0.28571,stable_null
census,emp_share_employer,8.00000,-0.00004,0.96060,0.02186,2.00000,7.00000,0.00000,1.00000,-0.00200,0.00620,0.00107,0.00235,0.28571,stable_null
census,emp_share_self_employed,8.00000,0.00106,0.72828,0.67660,6.00000,7.00000,0.00000,0.00000,-0.00294,0.01559,0.00450,0.00544,0.85714,stable_null
census,emp_share_unpaid_family_worker,8.00000,-0.00305,0.18373,0.07067,6.00000,7.00000,4.00000,4.00000,-0.00611,0.00476,-0.00374,0.00369,0.85714,noisy
census,ent_cottage,3.00000,0.01216,0.00075,0.05828,1.00000,2.00000,2.00000,2.00000,-0.02812,0.01216,-0.00138,0.02316,0.50000,mostly_stable
census,ent_has_nonagro,3.00000,-0.00673,0.11762,0.13678,2.00000,2.00000,1.00000,1.00000,-0.04907,-0.00656,-0.02079,0.02450,1.00000,noisy
census,ent_other,3.00000,-0.02006,0.00024,0.12312,1.00000,2.00000,2.00000,3.00000,-0.02006,0.05073,0.00394,0.04053,0.50000,mostly_stable
census,ent_services,3.00000,0.00293,0.64056,0.19027,1.00000,2.00000,0.00000,0.00000,-0.05710,0.00293,-0.01721,0.03454,0.50000,stable_null
census,ent_trade,3.00000,0.00690,0.08897,0.16336,2.00000,2.00000,0.00000,2.00000,0.00653,0.02230,0.01191,0.00900,1.00000,stable_null
census,ent_transport,3.00000,-0.00168,0.09514,0.01173,2.00000,2.00000,0.00000,2.00000,-0.00170,-0.00080,-0.00139,0.00051,1.00000,stable_null
census,fem_ag_specialization_ratio,8.00000,0.05607,0.00001,1.05372,5.00000,7.00000,6.00000,6.00000,-0.07885,0.05679,0.03057,0.04984,0.71429,mostly_stable
census,fem_employment_rate,8.00000,0.00190,0.68706,0.63438,6.00000,7.00000,2.00000,2.00000,-0.04218,0.02014,-0.00143,0.01768,0.85714,noisy
census,fem_ownership_both,8.00000,-0.00059,0.69980,0.08500,1.00000,7.00000,0.00000,0.00000,-0.00103,0.00116,0.00014,0.00067,0.14286,stable_null
census,fem_ownership_house,8.00000,-0.00082,0.64734,0.09333,6.00000,7.00000,0.00000,0.00000,-0.00174,0.00444,-0.00016,0.00191,0.85714,stable_null
census,fem_ownership_land,8.00000,-0.00114,0.59313,0.17123,4.00000,7.00000,0.00000,0.00000,-0.00603,0.00536,-0.00046,0.00311,0.57143,stable_null
census,fem_share_of_ag_workers,8.00000,0.01680,0.00000,0.53502,6.00000,7.00000,6.00000,6.00000,-0.00991,0.01680,0.01147,0.00923,0.85714,stable_sig
census,fem_wage_share_of_employment,8.00000,-0.00170,0.51324,0.14471,3.00000,7.00000,0.00000,0.00000,-0.00170,0.00120,-0.00019,0.00098,0.42857,stable_null
census,fert_birth_dau_mean,8.00000,0.01802,0.02206,1.16965,5.00000,7.00000,2.00000,2.00000,-0.03147,0.02132,0.00138,0.01647,0.71429,fragile_sig
census,fert_birth_mean,8.00000,0.03891,0.01092,2.43737,5.00000,7.00000,2.00000,2.00000,-0.06178,0.04471,0.00772,0.03313,0.71429,fragile_sig
census,fert_birth_son_mean,8.00000,0.02089,0.00788,1.26772,5.00000,7.00000,2.00000,2.00000,-0.03031,0.02339,0.00634,0.01676,0.71429,fragile_sig
census,fert_births_last12m_rate,8.00000,0.00298,0.00778,0.07588,6.00000,7.00000,2.00000,2.00000,-0.00629,0.00314,0.00112,0.00305,0.85714,fragile_sig
census,fert_births_last12m_share,8.00000,0.00299,0.00659,0.07565,6.00000,7.00000,2.00000,2.00000,-0.00659,0.00315,0.00108,0.00315,0.85714,fragile_sig
census,flfp_agri,8.00000,0.00599,0.25504,0.47820,2.00000,7.00000,1.00000,1.00000,-0.03761,0.01162,-0.00211,0.01513,0.28571,noisy
census,flfp_all,8.00000,0.00388,0.40580,0.64761,6.00000,7.00000,2.00000,2.00000,-0.03959,0.01923,0.00044,0.01703,0.85714,noisy
census,flfp_chores_only,8.00000,-0.01523,0.00015,0.21653,6.00000,7.00000,6.00000,7.00000,-0.01586,0.02344,-0.00973,0.01342,0.85714,stable_sig
census,flfp_nonagri,8.00000,-0.00409,0.15981,0.15618,2.00000,7.00000,0.00000,0.00000,-0.00469,0.00852,0.00069,0.00471,0.28571,stable_null
census,flfp_wage,8.00000,0.00071,0.62135,0.07942,7.00000,7.00000,0.00000,3.00000,0.00071,0.00300,0.00185,0.00106,1.00000,stable_null
census,gap_lfp_m_minus_f,8.00000,-0.01755,0.00008,0.14728,6.00000,7.00000,6.00000,6.00000,-0.01880,0.00188,-0.01352,0.00865,0.85714,stable_sig
census,gap_nonagri_m_minus_f,8.00000,0.00280,0.48634,0.15273,2.00000,7.00000,0.00000,1.00000,-0.02575,0.00412,-0.00400,0.00956,0.28571,stable_null
census,head_age_mean,8.00000,0.00400,0.95430,46.54717,2.00000,7.00000,0.00000,0.00000,-0.32585,0.19889,-0.03254,0.14319,0.28571,stable_null
census,head_elderly_share,8.00000,-0.00074,0.62142,0.22316,6.00000,7.00000,0.00000,0.00000,-0.00700,0.00241,-0.00174,0.00261,0.85714,stable_null
census,head_female_elderly,8.00000,0.00047,0.52117,0.05116,6.00000,7.00000,0.00000,0.00000,-0.00001,0.00203,0.00049,0.00065,0.85714,stable_null
census,head_female_share,8.00000,0.00479,0.08729,0.25522,6.00000,7.00000,5.00000,6.00000,-0.00173,0.02302,0.00793,0.00705,0.85714,noisy
census,head_young_share,8.00000,0.00001,0.99439,0.12900,5.00000,7.00000,0.00000,0.00000,-0.00215,0.00657,0.00132,0.00252,0.71429,stable_null
census,hh_death_12m,3.00000,-0.00049,0.41434,0.02986,1.00000,2.00000,0.00000,0.00000,-0.00049,0.00275,0.00060,0.00186,0.50000,stable_null
census,housing_foundation_modern,8.00000,0.02104,0.00111,0.27720,6.00000,7.00000,6.00000,6.00000,-0.03697,0.02637,0.01538,0.02121,0.85714,stable_sig
census,housing_foundation_traditional,8.00000,-0.02126,0.00088,0.71823,6.00000,7.00000,6.00000,6.00000,-0.02422,0.03627,-0.01530,0.02085,0.85714,stable_sig
census,housing_own,8.00000,0.00406,0.01477,0.91098,1.00000,7.00000,2.00000,2.00000,-0.00709,0.00449,-0.00052,0.00371,0.14286,fragile_sig
census,housing_rented,8.00000,-0.00424,0.00368,0.06753,6.00000,7.00000,2.00000,2.00000,-0.00440,0.00355,-0.00107,0.00249,0.85714,fragile_sig
census,housing_roof_modern,8.00000,-0.00051,0.95038,0.63502,4.00000,7.00000,0.00000,1.00000,-0.07043,0.01514,-0.00714,0.02614,0.57143,stable_null
